Title,Sales Rank: 30 days avg.,Sales Rank: 90 days avg.,Buy Box: Current,Buy Box: Stock,New: Current,New: Highest,Referral Fee %,"New, 3rd Party FBM: 30 days avg.",Lowest FBM Seller,"Count of retrieved live offers: New, FBM",ASIN,Product Codes: EAN,Product Codes: UPC,Parent ASIN,Brand,Prime Eligible (Amazon offer),Custom_SKU,Google_Search_Link,Match,Amazon_link,Extraction_Link,Store,Price,Min Price,Max Price,Amazon_List_price,Can_List,Blacklisted,Curr_Listed?,Buy Box ðŸšš: Stock,"New, 3rd Party FBM ðŸšš: 30 days avg.",Prime Eligible (Buy Box),Buy Box : Current,Buy Box : Stock,Buy Bo : Current,Buy Box ðŸšš: Current,Curr_match,Buy Box 🚚: Stock,"New, 3rd Party FBM 🚚: 30 days avg.",Buy Box 🚚: Current
"Kate Spade New York Blossom Lane 16-Piece Dinnerware Set, 20.70 LB, White",129360.0,118282.0,,6.0,,300.0,,,ANZYNJW9IIF9C,0.0,B08QJBSD1Y,882864867025,882864867025,B08VZPD1K2,Kate Spade New York,,GB882864867025,https://www.google.com/search?q=882864867025+Kate+Spade+New+York+Blossom+Lane+16-Piece+Dinnerware+Set%2C+20.70+LB%2C+White&tbm=shop,Y,https://www.amazon.com/dp/B08QJBSD1Y?psc=1,"https://www.google.com/shopping/product/5118429991616593102/offers?q=882864867025&prds=cid:5118429991616593102,cond:1",English Elm,196.97,334.849,368.3339,334.849,Y,V,1.0,,,yes,,,,,0.0,,,
"Kate Spade New York Crown Point 8"" X 10"" Frame, 3.15 LB, Silver",183819.0,199155.0,67.49,2.0,67.49,156.99,,,AQBAQNXY48TCK,3.0,B00A7HYRMI,882864290663,882864290663,B0C38Z8GWP,Kate Spade New York,,GB882864290663,https://www.google.com/search?q=882864290663+Kate+Spade+New+York+Crown+Point+8%22+X+10%22+Frame%2C+3.15+LB%2C+Silver&tbm=shop,Y,https://www.amazon.com/dp/B00A7HYRMI?psc=1,"https://www.google.com/shopping/product/4833031240326208705/offers?q=0882864290663&prds=cid:4833031240326208705,cond:1",,,,,,N,V,0.0,,,,,,,,,,,
Kate Spade New York Knott Pebbled Leather Medium Crossbody Tote Milk Glass One Size,273266.0,262926.0,348.0,24.0,348.0,522.0,,,-,0.0,B09NVW51XT,196021061394,196021061394,B0CVZSYBFY,Kate Spade New York,,GB196021061394,https://www.google.com/search?q=196021061394+Kate+Spade+New+York+Knott+Pebbled+Leather+Medium+Crossbody+Tote+Milk+Glass+One+Size&tbm=shop,Y,https://www.amazon.com/dp/B09NVW51XT?psc=1,https://click.linksynergy.com/deeplink?id=JxnXys6GxZs&mid=3184&murl=https://www.macys.com/shop/product/kate-spade-new-york-knott-pebbled-leather-medium-crossbody-tote?ID=16246480,,,,,,N,V,0.0,,,,,,,,,,,
"Kate Spade New York Ks Garden Doodle 4Pc Accent Plate, 4.10",194063.0,216143.0,,,,59.95,,,A3LIZLPRJO6YR2,1.0,B09MV1GN92,882864867919,882864867919,B0CCRT6XWF,Kate Spade New York,,GB882864867919,https://www.google.com/search?q=882864867919+Kate+Spade+New+York+Ks+Garden+Doodle+4Pc+Accent+Plate%2C+4.10&tbm=shop,Y,https://www.amazon.com/dp/B09MV1GN92?psc=1,"https://www.google.com/shopping/product/8965327224682917826/offers?q=0882864867919&prds=cid:8965327224682917826,cond:1",,,,,,N,V,0.0,,,,,,,,,,,
Kate Spade New York Laurel Street Red 4-Piece Place Setting,435893.0,390463.0,,1.0,,85.0,,,-,0.0,B07SZKBL5C,882864796950,882864796950,B0CGWWYPVJ,Kate Spade New York,,GB882864796950,https://www.google.com/search?q=882864796950+Kate+Spade+New+York+Laurel+Street+Red+4-Piece+Place+Setting&tbm=shop,Y,https://www.amazon.com/dp/B07SZKBL5C?psc=1,"https://www.google.com/shopping/product/8817589672738469385/offers?q=0882864796950&prds=cid:8817589672738469385,cond:1",,,,,,N,V,0.0,,,,,,,,,,,
Kate Spade New York Protective Hardshell Case Compatible with Apple iPhone 14 - Hollyhock Floral Clear [KSIPH-222-HHCCS],129688.0,102828.0,,,52.34,52.34,,,ANZYNJW9IIF9C,,B0BBZ524RT,650450081588,650450081588,,Kate Spade New York,,GB650450081588,https://www.google.com/search?q=650450081588+Kate+Spade+New+York+Protective+Hardshell+Case+Compatible+with+Apple+iPhone+14+-+Hollyhock+Floral+Clear+%5BKSIPH-222-HHCCS%5D&tbm=shop,Y,https://www.amazon.com/dp/B0BBZ524RT?psc=1,"https://www.google.com/shopping/product/13174099823570637175/offers?q=0650450081588&prds=cid:13174099823570637175,cond:1",eBay,30.79,52.343,57.5773,52.343,Y,V,1.0,,,,,,,,,,,
"Kate Spade New York Take Note Large Leatherette Initial Notebook, Bound Journal Includes 168 Lined Pages, G (Blue)",229189.0,224286.0,49.11,1.0,49.11,75.62,,,ANZYNJW9IIF9C,1.0,B07MNXTCVN,825466975132,825466975132,B08XK8FZCH,Kate Spade New York,,GB825466975132,https://www.google.com/search?q=825466975132+Kate+Spade+New+York+Take+Note+Large+Leatherette+Initial+Notebook%2C+Bound+Journal+Includes+168+Lined+Pages%2C+G+%28Blue%29&tbm=shop,Y,https://www.amazon.com/dp/B07MNXTCVN?psc=1,"https://www.google.com/shopping/product/4043883941689332768/offers?q=0825466975132&prds=cid:4043883941689332768,cond:1",eBay - euphoric_operations,15.0,25.5,28.05,49.11,Y,V,1.0,,,,,,,,,,,
"Kate Spade New York Wickford 5-Piece Flatware Set, 1.05 LB, Metallic",153725.0,157978.0,48.22,12.0,48.22,140.63,,,A3OCAWGEXJ7YSD,3.0,B00NP0NK1I,882864514899,882864514899,B0988F5RDY,Kate Spade New York,,GB882864514899,https://www.google.com/search?q=882864514899+Kate+Spade+New+York+Wickford+5-Piece+Flatware+Set%2C+1.05+LB%2C+Metallic&tbm=shop,Y,https://www.amazon.com/dp/B00NP0NK1I?psc=1,"https://www.google.com/shopping/product/16737379436934269554/offers?q=0882864514899&prds=cid:16737379436934269554,cond:1",Macy's,63.75,108.375,119.2125,119.2125,Y,V,1.0,,,,,,,,,,,
"Kate Spade New York Willow Drive8482 Purpose Bowl, 1.13 LB, Taupe/Grey",135757.0,133445.0,,,,36.49,,,-,,B07T5YSLGK,882864793850,882864793850,B0CGWCTX1D,Kate Spade,,GB882864793850,https://www.google.com/search?q=882864793850+Kate+Spade+New+York+Willow+Drive8482+Purpose+Bowl%2C+1.13+LB%2C+Taupe%2FGrey&tbm=shop,Y,https://www.amazon.com/dp/B07T5YSLGK?psc=1,"https://www.google.com/shopping/product/14120081416690925649/offers?q=0882864793850&prds=cid:14120081416690925649,cond:1",replacements.com,25.99,44.183,48.6013,44.183,Y,V,1.0,,,,,,,,,,,
Kate Spade New York Women's Metro Three-Hand Black Leather Watch (Model: KSW1767),181258.0,130115.0,,,,198.0,,,-,,B0B5TML89T,796483584532,796483584532,B084RP37T7,Kate Spade New York,,GB796483584532,https://www.google.com/search?q=796483584532+Kate+Spade+New+York+Women%27s+Metro+Three-Hand+Black+Leather+Watch+%28Model%3A+KSW1767%29&tbm=shop,Y,https://www.amazon.com/dp/B0B5TML89T?psc=1,"https://www.google.com/shopping/product/5018716656979242885/offers?q=796483584532&prds=cid:5018716656979242885,cond:1",eBay - japan_025_store,345.97,588.149,646.9639,588.149,Y,V,1.0,,,yes,,,,,0.0,,,
"KATE SPADE Wickford Soup Bowl, 0.80 LB, White",101323.0,94005.0,,,36.99,60.0,,,ANZYNJW9IIF9C,1.0,B002AGJSG4,882864202406,882864202406,B0BZSVDZZ4,Kate Spade New York,,GB882864202406,https://www.google.com/search?q=882864202406+KATE+SPADE+Wickford+Soup+Bowl%2C+0.80+LB%2C+White&tbm=shop,Y,https://www.amazon.com/dp/B002AGJSG4?psc=1,"https://www.google.com/shopping/product/11197361139771889257/offers?q=0882864202406&prds=cid:11197361139771889257,cond:1",Zola,20.99,35.683,39.2513,36.99,Y,V,1.0,,,,,,,,,,,
Mens New Balance Fresh Foam X 1080v12,2447.0,2499.0,,,222.4,280.82,,,ANZYNJW9IIF9C,,B0B5X6NFNX,196307488617,196307488617,B096NKPSY5,New Balance,,GB196307488617,https://www.google.com/search?q=196307488617+Mens+New+Balance+Fresh+Foam+X+1080v12&tbm=shop,Y,https://www.amazon.com/dp/B0B5X6NFNX?psc=1,"https://www.google.com/shopping/product/3202738360708349292/offers?q=196307488617&prds=cid:3202738360708349292,cond:1",Fleet Feet,120.0,204.0,224.4,222.4,Y,V,1.0,,,,,,,,,,,
Mens New Balance Fresh Foam X 1080v12,2458.0,2517.0,,,,294.02,,,-,,B0B5X6V4H1,196307488570,196307488570,B096NKPSY5,New Balance,,GB196307488570,https://www.google.com/search?q=196307488570+Mens+New+Balance+Fresh+Foam+X+1080v12&tbm=shop,Y,https://www.amazon.com/dp/B0B5X6V4H1?psc=1,"https://www.google.com/shopping/product/15664027095816032069/offers?q=196307488570&prds=cid:15664027095816032069,cond:1",,,,,,N,V,0.0,,,no,,,,,0.0,,,
Mens New Balance Fresh Foam X 1080v12,2418.0,2499.0,,,,276.57,,,-,,B0B8X6PRKN,196307488686,196307488686,B096NKPSY5,New Balance,,GB196307488686,https://www.google.com/search?q=196307488686+Mens+New+Balance+Fresh+Foam+X+1080v12&tbm=shop,Y,https://www.amazon.com/dp/B0B8X6PRKN?psc=1,"https://www.google.com/shopping/product/11176449715943915821/offers?q=196307488686&prds=cid:11176449715943915821,cond:1",,,,,,N,V,0.0,,,no,,,,,0.0,,,
Mens New Balance Fresh Foam X 1080v12,2494.0,2407.0,,,,276.57,,,-,1.0,B0B5X6FYVT,196307488662,196307488662,B096NKPSY5,New Balance,,GB196307488662,https://www.google.com/search?q=196307488662+Mens+New+Balance+Fresh+Foam+X+1080v12&tbm=shop,Y,https://www.amazon.com/dp/B0B5X6FYVT?psc=1,"https://www.google.com/shopping/product/15034339636126671433/offers?q=196307488662&prds=cid:15034339636126671433,cond:1",,,,,,N,V,0.0,,,no,,,,,0.0,,$189.95,
Mens New Balance Fresh Foam X 1080v12,2167.0,2754.0,,,,276.57,,,-,1.0,B0B8X5D6XN,196307488808,196307488808,B096NKPSY5,New Balance,,GB196307488808,https://www.google.com/search?q=196307488808+Mens+New+Balance+Fresh+Foam+X+1080v12&tbm=shop,Y,https://www.amazon.com/dp/B0B8X5D6XN?psc=1,"https://www.google.com/shopping/product/17069883695534887766/offers?q=196307488808&prds=cid:17069883695534887766,cond:1",,,,,,N,V,0.0,,,no,,,,,0.0,,$197.73,
Mens New Balance Fresh Foam X 1080v12,1976.0,2825.0,,,198.0,284.86,,207.76$,A3ERVGYWNCMJRK,1.0,B0B8X69ZGV,196307488792,196307488792,B096NKPSY5,New Balance,no,GB196307488792,https://www.google.com/search?q=196307488792+Mens+New+Balance+Fresh+Foam+X+1080v12&tbm=shop,Y,https://www.amazon.com/dp/B0B8X69ZGV?psc=1,"https://www.google.com/shopping/product/11502363238091026672/offers?q=196307488792&prds=cid:11502363238091026672,cond:1",,,,,,N,V,0.0,,,,,,,,0.0,,,
"New Balance 1010 - Tiago Lemos Forest Green/Black US Men's 13, Women's 14.5 Medium",116289.0,130542.0,,,,171.86,,,-,,B0C18RZV7C,196432821631,196432821631,B08BBCXH47,New Balance,,GB196432821631,https://www.google.com/search?q=196432821631+New+Balance+1010+-+Tiago+Lemos+Forest+Green%2FBlack+US+Men%27s+13%2C+Women%27s+14.5+Medium&tbm=shop,Y,https://www.amazon.com/dp/B0C18RZV7C?psc=1,"https://www.google.com/shopping/product/8604396979858108191/offers?q=0196432821631&prds=cid:8604396979858108191,cond:1",Freestyleshop,110.0,187.0,205.7,187.0,Y,V,1.0,,,,,,,,,,,
New Balance 237v1 Black/Magnet 2 11 D (M),282936.0,521038.0,,,,177.09,,,-,2.0,B09SZQK1QR,195907743928,195907743928,B0BHMR9X78,New Balance,,GB195907743928,https://www.google.com/search?q=195907743928+New+Balance+237v1+Black%2FMagnet+2+11+D+%28M%29&tbm=shop,Y,https://www.amazon.com/dp/B09SZQK1QR?psc=1,"https://www.google.com/shopping/product/8215270998490170302/offers?q=195907743928&prds=cid:8215270998490170302,cond:1",,,,,,N,V,0.0,,,no,,,,,0.0,,$110.87,
New Balance 237v1 Black/Magnet 2 9.5 D (M),230580.0,479052.0,,,152.99,177.09,,,ANZYNJW9IIF9C,1.0,B09SZPLCWG,195907743898,195907743898,B0BHMR9X78,New Balance,,GB195907743898,https://www.google.com/search?q=195907743898+New+Balance+237v1+Black%2FMagnet+2+9.5+D+%28M%29&tbm=shop,Y,https://www.amazon.com/dp/B09SZPLCWG?psc=1,"https://www.google.com/shopping/product/12792825886329727703/offers?q=0195907743898&prds=cid:12792825886329727703,cond:1",Orleans Shoe Co.,79.95,135.915,149.5065,152.99,Y,V,1.0,,,,,,,,,,,
New Balance 237v1 Black/Vintage Rose 10 B (M),940295.0,849803.0,,,,159.47,,,-,,B09X4HVDXQ,195907764831,195907764831,B0CKTMD44H,New Balance,,GB195907764831,https://www.google.com/search?q=195907764831+New+Balance+237v1+Black%2FVintage+Rose+10+B+%28M%29&tbm=shop,Y,https://www.amazon.com/dp/B09X4HVDXQ?psc=1,"https://www.google.com/shopping/product/16482330799881616223/offers?q=0195907764831&prds=cid:16482330799881616223,cond:1",,,,,,N,V,0.0,,,,,,,,,,,
