Title,Sales Rank: 30 days avg.,Sales Rank: 90 days avg.,Buy Box: Current,Buy Box: Stock,New: Current,New: Highest,Referral Fee %,"New, 3rd Party FBM: 30 days avg.",Lowest FBM Seller,"Count of retrieved live offers: New, FBM",ASIN,Product Codes: EAN,Product Codes: UPC,Parent ASIN,Brand,Prime Eligible (Amazon offer),Custom_SKU,Google_Search_Link,Match,Amazon_link,Extraction_Link,Store,Price,Min Price,Max Price,Amazon_List_price,Can_List,Blacklisted,Curr_Listed?,Buy Box ðŸšš: Stock,"New, 3rd Party FBM ðŸšš: 30 days avg.",Prime Eligible (Buy Box),Buy Box : Current,Buy Box : Stock,Buy Bo : Current,Buy Box ðŸšš: Current,Curr_match,Buy Box 🚚: Stock,"New, 3rd Party FBM 🚚: 30 days avg.",Buy Box 🚚: Current
"THE NORTH FACE Men's Belleview Stretch Down Jacket, TNF Black, Large",473623,428319,,,,399.98,,,-,,B0B54RDHL9,196000000000.0,GB196246341738,196246341738.0,B0C78H33BW,THE NORTH FACE,,https://www.google.com/search?q=196246341738+THE+NORTH+FACE+Men%27s+Belleview+Stretch+Down+Jacket%2C+TNF+Black%2C+Large&tbm=shop,Y,https://www.amazon.com/dp/B0B54RDHL9?psc=1,"https://www.google.com/shopping/product/5801573369599983834/offers?q=196246341738&prds=cid:5801573369599983834,cond:1",,,,,,N,V,0.0,,,yes,,,,,0.0,,$271.35,
"THE NORTH FACE Men's 1996 Retro Nuptse Jacket, Black, 2XL",215347,265687,,,380.67,520.99,,,A27VKVINMW856Q,1.0,B098RJ8592,195000000000.0,GB195437058578,195437058578.0,B0CNL22CT5,THE NORTH FACE,,https://www.google.com/search?q=195437058578+THE+NORTH+FACE+Men%27s+1996+Retro+Nuptse+Jacket%2C+Black%2C+2XL&tbm=shop,Y,https://www.amazon.com/dp/B098RJ8592?psc=1,"https://www.google.com/shopping/product/1068599953247243719/offers?q=195437058578&prds=cid:1068599953247243719,cond:1",,,,,,N,V,0.0,,,no,,,,,0.0,,$338.28,
"THE NORTH FACE Women's Freedom Insulated Bib (Standard and Plus Size) - Short, TNF Black, X-Small Short",122291,110801,,,,372.77,,,-,1.0,B097NKR3D8,195000000000.0,GB195438244291,195438244291.0,B0CLNW2V9M,THE NORTH FACE,,https://www.google.com/search?q=195438244291+THE+NORTH+FACE+Women%27s+Freedom+Insulated+Bib+%28Standard+and+Plus+Size%29+-+Short%2C+TNF+Black%2C+X-Small+Short&tbm=shop,Y,https://www.amazon.com/dp/B097NKR3D8?psc=1,"https://www.google.com/shopping/product/6023784572163261873/offers?q=195438244291&prds=cid:6023784572163261873,cond:1",,,,,,N,V,0.0,,,yes,,,,,0.0,,$328.24,
"THE NORTH FACE Men's Carto Triclimate Waterproof Jacket, TNF Black, Small",153348,106567,,,356.58,356.58,,,A27VKVINMW856Q,2.0,B097NHL74J,195000000000.0,GB195437180040,195437180040.0,B07CRSN79R,THE NORTH FACE,,https://www.google.com/search?q=195437180040+THE+NORTH+FACE+Men%27s+Carto+Triclimate+Waterproof+Jacket%2C+TNF+Black%2C+Small&tbm=shop,Y,https://www.amazon.com/dp/B097NHL74J?psc=1,"https://www.google.com/shopping/product/7865579238641413033/offers?q=195437180040&prds=cid:7865579238641413033,cond:1",,,,,,N,V,0.0,,,no,,,,,0.0,,$302.07,
"THE NORTH FACE Women's Gotham Parka, TNF Black, XX-Large",271924,160968,,,355.79,356.87,,,A20FLYA0IW2L9O,1.0,B0BZ8VXZJH,197000000000.0,GB196573193444,196573193444.0,B0BZ8SYFWH,THE NORTH FACE,,https://www.google.com/search?q=196573193444+THE+NORTH+FACE+Women%27s+Gotham+Parka%2C+TNF+Black%2C+XX-Large&tbm=shop,Y,https://www.amazon.com/dp/B0BZ8VXZJH?psc=1,"https://www.google.com/shopping/product/5111815401596451630/offers?q=196573193444&prds=cid:5111815401596451630,cond:1",,,,,,N,V,0.0,,,no,,,,,0.0,,$356.83,
"THE NORTH FACE Men's 1996 Retro Nuptse Jacket, Black, XL",217314,265329,,,348.33,523.2,,,A27VKVINMW856Q,1.0,B098RG71DX,195000000000.0,GB195437058530,195437058530.0,B0CNL22CT5,THE NORTH FACE,,https://www.google.com/search?q=195437058530+THE+NORTH+FACE+Men%27s+1996+Retro+Nuptse+Jacket%2C+Black%2C+XL&tbm=shop,Y,https://www.amazon.com/dp/B098RG71DX?psc=1,"https://www.google.com/shopping/product/4385739090700179819/offers?q=195437058530&prds=cid:4385739090700179819,cond:1",,,,,,N,V,0.0,,,yes,,,,,0.0,,$305.23,
"THE NORTH FACE Men's Clement Triclimate Jacket, Harbor Blue/Gravel/TNF Black, Small",232826,258040,,,348.33,360,,,A27VKVINMW856Q,1.0,B09V5P6JBB,196000000000.0,GB196249247730,196249247730.0,B07CHXPSRM,THE NORTH FACE,,https://www.google.com/search?q=196249247730+THE+NORTH+FACE+Men%27s+Clement+Triclimate+Jacket%2C+Harbor+Blue%2FGravel%2FTNF+Black%2C+Small&tbm=shop,Y,https://www.amazon.com/dp/B09V5P6JBB?psc=1,"https://www.google.com/shopping/product/2292596037017656464/offers?q=196249247730&prds=cid:2292596037017656464,cond:1",,,,,,N,V,0.0,,,yes,,,,,0.0,,$349.33,
"THE NORTH FACE Men's Antora Triclimate, Shady Blue/Summit Navy, Small",360111,219565,,,346.03,346.03,,,A27VKVINMW856Q,1.0,B09V3GPBC8,196000000000.0,GB196249103265,196249103265.0,B0B74ZTX58,THE NORTH FACE,,https://www.google.com/search?q=196249103265+THE+NORTH+FACE+Men%27s+Antora+Triclimate%2C+Shady+Blue%2FSummit+Navy%2C+Small&tbm=shop,Y,https://www.amazon.com/dp/B09V3GPBC8?psc=1,"https://www.google.com/shopping/product/12737832869448362842/offers?q=196249103265&prds=cid:12737832869448362842,cond:1",,,,,,N,V,0.0,,,yes,,,,,0.0,,$346.03,
"THE NORTH FACE Women's Gotham Parka, TNF Black, X-Large",275487,161779,,,338,356.79,,,-,2.0,B0BZ8TBBTC,197000000000.0,GB196573193154,196573193154.0,B0BZ8SYFWH,THE NORTH FACE,,https://www.google.com/search?q=196573193154+THE+NORTH+FACE+Women%27s+Gotham+Parka%2C+TNF+Black%2C+X-Large&tbm=shop,Y,https://www.amazon.com/dp/B0BZ8TBBTC?psc=1,"https://www.google.com/shopping/product/10398402342472873896/offers?q=196573193154&prds=cid:10398402342472873896,cond:1",,,,,,N,V,0.0,,,no,,,,,0.0,,$341.00,
"THE NORTH FACE Terra 65 L Backpacking Backpack, TNF Black/TNF Black, Small/Medium",298130,207980,,,324.18,325.18,,,A27VKVINMW856Q,,B08BW3FGZK,192000000000.0,GB192361702836,192361702836.0,B07LC7WG67,THE NORTH FACE,,https://www.google.com/search?q=192361702836+THE+NORTH+FACE+Terra+65+L+Backpacking+Backpack%2C+TNF+Black%2FTNF+Black%2C+Small%2FMedium&tbm=shop,Y,https://www.amazon.com/dp/B08BW3FGZK?psc=1,"https://www.google.com/shopping/product/11157958501741206834/offers?q=192361702836&prds=cid:11157958501741206834,cond:1",,,,,,N,V,0.0,,,no,,,,,0.0,,$271.89,
