Title,Sales Rank: 30 days avg.,Sales Rank: 90 days avg.,Buy Box: Current,Buy Box: Stock,New: Current,New: Highest,"New, 3rd Party FBM 🚚: 30 days avg.",Lowest FBM Seller,"Count of retrieved live offers: New, FBM",ASIN,Product Codes: EAN,Product Codes: UPC,Parent ASIN,Brand,Prime Eligible (Buy Box),Buy Bo : Current,Custom_SKU,Match,Google_Search_Link,Amazon_link,Extraction_Link,Store,Price,Min Price,Max Price,Amazon_List_price,Can_List
"Kate Spade New York Insulated Lunch Tote, Small Lunch Cooler, Cute Lunch Bag for Women, Thermal Bag with Double Zipper Close and Carrying Handle, Gold Dot with Script",2427.0,2416.0,29.95,172.0,29.95,$34.95 ,,-,0.0,B09N9W8KT6,0825466141506,825466141506,B08XMSXY1Y,Kate Spade New York,yes,,GB825466141506,N,https://www.google.com/search?q=825466141506+Kate+Spade+New+York+Insulated+Lunch+Tote%2C+Small+Lunch+Cooler%2C+Cute+Lunch+Bag+for+Women%2C+Thermal+Bag+with+Double+Zipper+Close+and+Carrying+Handle%2C+Gold+Dot+with+Script&tbm=shop,https://www.amazon.com/dp/B09N9W8KT6?psc=1,Not Found,Not Found,,,,,N
"Kate Spade New York Insulated Lunch Tote, Small Lunch Cooler, Cute Lunch Bag for Women, Blue Thermal Bag with Double Zipper Close and Carrying Handle, Joy Dot",2400.0,2389.0,,,,$34.95 ,,-,,B0B4YFBLX6,0825466152977,825466152977,B08XMSXY1Y,Kate Spade New York,yes,,GB825466152977,Y,https://www.google.com/search?q=825466152977+Kate+Spade+New+York+Insulated+Lunch+Tote%2C+Small+Lunch+Cooler%2C+Cute+Lunch+Bag+for+Women%2C+Blue+Thermal+Bag+with+Double+Zipper+Close+and+Carrying+Handle%2C+Joy+Dot&tbm=shop,https://www.amazon.com/dp/B0B4YFBLX6?psc=1,"https://www.google.com/shopping/product/382015446572892194/offers?q=825466152977&prds=cid:382015446572892194,cond:1",Not Found,,,,,N
"Kate Spade New York Cute Lunch Bag for Women, Large Capacity Lunch Tote, Blue Adult Lunch Box with Silver Thermal Insulated Interior Lining and Storage Pocket, Flower Bed",2408.0,2405.0,34.95,84.0,34.95,$34.95 ,,-,0.0,B0BNP1ZH7T,0825466161566,825466161566,B08XMSXY1Y,Kate Spade New York,yes,,GB825466161566,Y,https://www.google.com/search?q=825466161566+Kate+Spade+New+York+Cute+Lunch+Bag+for+Women%2C+Large+Capacity+Lunch+Tote%2C+Blue+Adult+Lunch+Box+with+Silver+Thermal+Insulated+Interior+Lining+and+Storage+Pocket%2C+Flower+Bed&tbm=shop,https://www.amazon.com/dp/B0BNP1ZH7T?psc=1,"https://www.google.com/shopping/product/11061708861976899347/offers?q=825466161566&prds=cid:11061708861976899347,cond:1",Not Found,,,,,N
"Kate Spade New York Cute Lunch Bag for Women, Large Capacity Lunch Tote, Adult Lunch Box with Silver Thermal Insulated Interior Lining and Storage Pocket, Candy Stripe",2431.0,2397.0,34.95,67.0,34.95,$34.95 ,,-,0.0,B08LP3FW6R,0825466122246,825466122246,B08XMSXY1Y,Kate Spade New York,yes,,GB825466122246,N,https://www.google.com/search?q=825466122246+Kate+Spade+New+York+Cute+Lunch+Bag+for+Women%2C+Large+Capacity+Lunch+Tote%2C+Adult+Lunch+Box+with+Silver+Thermal+Insulated+Interior+Lining+and+Storage+Pocket%2C+Candy+Stripe&tbm=shop,https://www.amazon.com/dp/B08LP3FW6R?psc=1,Not Found,Not Found,,,,,N
"Kate Spade New York Cute Lunch Bag for Women, Large Capacity Lunch Tote, Adult Lunch Box with Silver Thermal Insulated Interior Lining and Storage Pocket, Spring Plaid",2401.0,2395.0,34.95,89.0,34.95,$34.95 ,,-,0.0,B0BNP1KGTJ,0825466161573,825466161573,B08XMSXY1Y,Kate Spade New York,yes,,GB825466161573,N,https://www.google.com/search?q=825466161573+Kate+Spade+New+York+Cute+Lunch+Bag+for+Women%2C+Large+Capacity+Lunch+Tote%2C+Adult+Lunch+Box+with+Silver+Thermal+Insulated+Interior+Lining+and+Storage+Pocket%2C+Spring+Plaid&tbm=shop,https://www.amazon.com/dp/B0BNP1KGTJ?psc=1,Not Found,Not Found,,,,,N
"Kate Spade New York Cute Lunch Bag for Women, Large Capacity Lunch Tote, Adult Lunch Box with Silver Thermal Insulated Interior Lining and Storage Pocket, Floral Garden",2375.0,2381.0,34.95,499.0,34.95,$34.95 ,$34.95 ,-,0.0,B09N9WFPC5,0825466141995,825466141995,B08XMSXY1Y,Kate Spade New York,yes,,GB825466141995,Y,https://www.google.com/search?q=825466141995+Kate+Spade+New+York+Cute+Lunch+Bag+for+Women%2C+Large+Capacity+Lunch+Tote%2C+Adult+Lunch+Box+with+Silver+Thermal+Insulated+Interior+Lining+and+Storage+Pocket%2C+Floral+Garden&tbm=shop,https://www.amazon.com/dp/B09N9WFPC5?psc=1,"https://www.google.com/shopping/product/14433683513378028357/offers?q=825466141995&prds=cid:14433683513378028357,cond:1",Not Found,,,,,N
"Kate Spade New York Cute Lunch Bag for Women, Large Capacity Lunch Tote, Pink Adult Lunch Box with Silver Thermal Insulated Interior Lining and Storage Pocket, Lemon Toss",2414.0,2392.0,34.95,242.0,34.95,$34.95 ,$34.95 ,-,0.0,B0BNP2LTJS,0825466161689,825466161689,B08XMSXY1Y,Kate Spade New York,yes,,GB825466161689,Y,https://www.google.com/search?q=825466161689+Kate+Spade+New+York+Cute+Lunch+Bag+for+Women%2C+Large+Capacity+Lunch+Tote%2C+Pink+Adult+Lunch+Box+with+Silver+Thermal+Insulated+Interior+Lining+and+Storage+Pocket%2C+Lemon+Toss&tbm=shop,https://www.amazon.com/dp/B0BNP2LTJS?psc=1,"https://www.google.com/shopping/product/11061708861976899347/offers?q=825466161689&prds=cid:11061708861976899347,cond:1",Not Found,,,,,N
"Kate Spade New York Cute Lunch Bag for Women, Large Capacity Lunch Tote, Adult Lunch Box with Silver Thermal Insulated Interior Lining and Storage Pocket, Rise and Shine",2409.0,2386.0,34.95,118.0,34.95,$34.95 ,,-,0.0,B0C543LNTD,0825466163690,825466163690,B08XMSXY1Y,Kate Spade New York,yes,,GB825466163690,Y,https://www.google.com/search?q=825466163690+Kate+Spade+New+York+Cute+Lunch+Bag+for+Women%2C+Large+Capacity+Lunch+Tote%2C+Adult+Lunch+Box+with+Silver+Thermal+Insulated+Interior+Lining+and+Storage+Pocket%2C+Rise+and+Shine&tbm=shop,https://www.amazon.com/dp/B0C543LNTD?psc=1,"https://www.google.com/shopping/product/6662433328296668183/offers?q=825466163690&prds=cid:6662433328296668183,cond:1",Zola,34.99,59.48,66.13,,N
"Kate Spade New York Cute Lunch Bag for Women, Large Capacity Lunch Tote, Adult Lunch Box with Silver Thermal Insulated Interior Lining and Storage Pocket (Modern Leopard)",2366.0,2393.0,34.95,122.0,34.95,$34.95 ,$82.05 ,ANZYNJW9IIF9C,1.0,B0CCSV2Z62,0825466164642,825466164642,B08XMSXY1Y,Kate Spade New York,yes,,GB825466164642,Y,https://www.google.com/search?q=825466164642+Kate+Spade+New+York+Cute+Lunch+Bag+for+Women%2C+Large+Capacity+Lunch+Tote%2C+Adult+Lunch+Box+with+Silver+Thermal+Insulated+Interior+Lining+and+Storage+Pocket+%28Modern+Leopard%29&tbm=shop,https://www.amazon.com/dp/B0CCSV2Z62?psc=1,"https://www.google.com/shopping/product/11061708861976899347/offers?q=825466164642&prds=cid:11061708861976899347,cond:1",Not Found,,,,,N
"Kate Spade New York Insulated Lunch Tote, Small Lunch Cooler, Cute Lunch Bag for Women, Pink Thermal Bag with Double Zipper Close and Carrying Handle, Blush Rugby Stripe",8774.0,7201.0,29.95,66.0,29.95,$57.28 ,,-,0.0,B074PH7YMC,0825466948686,825466948686,B092GDH4J4,Kate Spade New York,yes,,GB825466948686,Y,https://www.google.com/search?q=825466948686+Kate+Spade+New+York+Insulated+Lunch+Tote%2C+Small+Lunch+Cooler%2C+Cute+Lunch+Bag+for+Women%2C+Pink+Thermal+Bag+with+Double+Zipper+Close+and+Carrying+Handle%2C+Blush+Rugby+Stripe&tbm=shop,https://www.amazon.com/dp/B074PH7YMC?psc=1,"https://www.google.com/shopping/product/693636317376982873/offers?q=825466948686&prds=cid:693636317376982873,cond:1",Bon + Co Party Studio,40.0,68.0,75.6,,N
