Title,Sales Rank: 30 days avg.,Sales Rank: 90 days avg.,Buy Box: Current,Buy Box: Stock,New: Current,New: Highest,"New, 3rd Party FBM 🚚: 30 days avg.",Lowest FBM Seller,"Count of retrieved live offers: New, FBM",ASIN,Product Codes: EAN,Product Codes: UPC,Parent ASIN,Brand,Prime Eligible (Buy Box)
"BIRKENSTOCK 1019635 Women's Slippers, Earthy Vegan Light Rose, 8.5 US",6410,11374,,,$125.00 ,$180.00 ,,-,0,B08WZ2XLM4,4.06142E+12,4061416556570,B00BUQ4ADQ,Birkenstock,no
"Birkenstock Men's Arizona Soft Footbed Sandals, Black 051193, 12 Narrow",6520,11581,$97.99 ,86,$97.99 ,$156.95 ,$97.99 ,A1KWJVS57NX03I,3,B000GLJ81U,4.01387E+12,4013871060055,B00BUQ4ADQ,Birkenstock,no
Birkenstock Unisex Adults Arizona Soft Footbed Suede Leather Sandals - Taupe - USW6/M4/EU37,6501,11405,,,$194.67 ,$219.95 ,$214.59 ,A2PM2LFH21HQNQ,1,B071Z6XMP2,4.04071E+12,4040714342689,B00BUQ4ADQ,Birkenstock,no
"Birkenstock Men's Arizona NL Dunkelbraun Open-Toe Sandals, Dark Brown, 50 EU",6439,11486,$188.01 ,1,$164.21 ,$229.95 ,$188.01 ,A2PM2LFH21HQNQ,1,B003AQCOX2,4.01387E+12,4013871065494,B00BUQ4ADQ,Birkenstock,no
Birkenstock Unisex Arizona Stone Sandals - 12-12.5 D(M) US Men,6513,11506,,,$159.13 ,$175.00 ,$182.93 ,A2PM2LFH21HQNQ,1,B000UWMZFQ,4.01387E+12,4013871744948,B00BUQ4ADQ,Birkenstock,no
"Birkenstock Women's Arizona, Brown, 10 AU",6418,11351,,,$145.95 ,$200.99 ,,-,0,B00UI027IU,4.04071E+12,4040714059310,B00BUQ4ADQ,Birkenstock,no
Birkenstock Arizona 40 Narrow White Birko Flor,6546,11525,,,$139.95 ,$149.95 ,$139.95 ,-,0,B07N14ZY5V,0886454234747,0886454234747,B00BUQ4ADQ,Birkenstock,no
Birkenstock Unisex Arizona Velvet Gray Sandals - 37 N EU / 6-6.5 2A(N) US,6504,11406,$134.95 ,7,$134.95 ,$149.95 ,$134.95 ,A75YKTBGJI3V4,2,B007C1O83K,0886454028308,0886454028308,B00BUQ4ADQ,Birkenstock,no
Birkenstock Arizona Shearling Mink Suede 9 US Womens / 7 US Mens,6431,11338,,,$175.34 ,$236.35 ,$176.57 ,AB8PP5ABO5Y5C,3,B071NSFMFD,4.05261E+12,4052605384999,B00BUQ4ADQ,Birkenstock,no
"Birkenstock Men's Soft Arizona Suede Sandals, Taupe, Tan, 13 Medium US",6510,11462,,,$139.00 ,$159.95 ,$141.22 ,-,4,B000W0BVKQ,0809410342775,0809410342775,B00BUQ4ADQ,Birkenstock,no
Birkenstock Arizona Leather White Sandals/Slides US Women 9.0 / Men 7.0,6469,11362,,,$111.67 ,$236.21 ,$156.00 ,A1C20BH4U0AX41,3,B00UFPRH4M,4.01387E+12,4013871022244,B00BUQ4ADQ,Birkenstock,yes
"Birkenstock Women's Arizona Birko-Flo Mocca Sandals - L8 M6 39,0",6459,11479,,,$114.00 ,$199.95 ,$141.86 ,A1JIMDWAF1I1XQ,2,B000XW4S3U,4.04071E+12,4040714059181,B00BUQ4ADQ,Birkenstock,no
Birkenstock Unisex Arizona Tobacco Oiled Leather Sandals - 46 M EU/13-13.5 B(M) US Men,5423,7849,$124.96 ,2,$124.96 ,$149.94 ,$118.77 ,A1C20BH4U0AX41,3,B00EE49W5W,0886454263495,0886454263495,B00BUQ4ADQ,Birkenstock,no
Birkenstock New Women's Arizona Slide Sandal Washed Metallic Port 37 N,6488,11680,$129.99 ,1,$129.99 ,$135.00 ,$129.99 ,A3DQY03E03JMV9,1,B07NPZ33XT,0802436628113,0802436628113,B00BUQ4ADQ,Birkenstock,no
Birkenstock Women's Arizona Birko-Flo Mocha Sandals - 35 W EU / 4-4.5 W US,6429,11375,,,$159.13 ,$159.13 ,$182.93 ,A2PM2LFH21HQNQ,1,B000XW1DGA,4.04071E+12,4040714059143,B00BUQ4ADQ,Birkenstock,yes
Arizona Soft Footbed,6571,11593,$218.47 ,1,$194.67 ,$277.32 ,$188.19 ,A2PM2LFH21HQNQ,2,B071S6B4Q8,4.04071E+12,4040714342757,B00BUQ4ADQ,Birkenstock,no
