Title,Sales Rank: 30 days avg.,Sales Rank: 90 days avg.,Buy Box: Current,Buy Box: Stock,New: Current,New: Highest,"New, 3rd Party FBM 🚚: 30 days avg.",Lowest FBM Seller,"Count of retrieved live offers: New, FBM",ASIN,Product Codes: EAN,Product Codes: UPC,Parent ASIN,Brand,Prime Eligible (Buy Box)
"BIRKENSTOCK Women's Heels Open Toe Sandals , Grey Iron Iron , 13 US",6627,11514,,,,$298.95 ,$231.85 ,-,,B071NMDJ4K,4.052E+12,4052001263379,B00BUQ4ADQ,Birkenstock,no
Birkenstock Womens Arizona Soft Foot Bed Double Buckle Metallic Sandals - Metallic Silver - US10/EU41,6416,11386,,,,$199.95 ,$217.85 ,-,,B01N79F4MD,4.05406E+12,4054056337739,B00BUQ4ADQ,Birkenstock,yes
"Birkenstock Unisex-Adult Arizona Soft Footbed Mules, Blau, 8 Narrow",6505,11452,,,,$275.65 ,$237.47 ,-,,B000MSW1ES,4.01387E+12,4013871002017,B00BUQ4ADQ,Birkenstock,no
"Birkenstock Men's Heels Open Toe Sandals, Mocha, 10.5 UK",6636,11672,,,,$220.95 ,,-,,B00GWP9CV0,4.04071E+12,4040714343006,B00BUQ4ADQ,Birkenstock,no
"Birkenstock Women's Arizona Birko-Flo Mocca Sandals - M13 46,0",6505,11489,,,,$199.95 ,,-,,B000XW3F8E,4.04071E+12,4040714059259,B00BUQ4ADQ,Birkenstock,yes
Birkenstock Unisex Arizona Havana Sandals - 46 M EU / 13-13.5 D(M) US,6536,11478,,,,$276.95 ,$281.78 ,-,,B00KYDZQUW,4.052E+12,4052001142612,B00BUQ4ADQ,Birkenstock,no
"Birkenstock Men's Flatform Sandals, White, 38",6434,11410,,,,$258.53 ,$164.15 ,-,,B000MSWXBO,4.01387E+12,4013871033349,B00BUQ4ADQ,Birkenstock,no
Birkenstock Arizona Mules/Clogs Men Brown - UK:12 - Mules,6538,11591,,,,$229.95 ,$229.33 ,-,,B00UJP5BBY,4.04071E+12,4040714059372,B00BUQ4ADQ,Birkenstock,no
Arizona Soft Footbed,6397,11465,,,,$258.98 ,$143.80 ,-,,B01N98T0N5,4.05406E+12,4054056337692,B00BUQ4ADQ,Birkenstock,no
"Birkenstock Women's Open-Back Sandal, ICY Metallic Anthracite, 7",5999,10604,,,,$140.95 ,,-,,B07ZQJ7RDT,4.04373E+12,4043734658068,B001EJNMXS,Birkenstock,no
"Birkenstock Women's Sandal, Tabacco Brown, 5",5996,10735,,,,$253.95 ,$99.00 ,-,,B07KYKKHF3,4.04448E+12,4044477321714,B001EJNMXS,Birkenstock,no
"Birkenstock Women's Passe-pouces Mayari Birko-flor Graceful Taupe Sandal, 5.5 Wide",5992,10885,,,,$197.48 ,$189.85 ,-,,B07YLW6PS3,4.04373E+12,4043734791604,B001EJNMXS,Birkenstock,no
"Birkenstock Women's Mayari Sandal,Toffee,36 EU/5-5.5 M US",6047,10795,,,,$150.00 ,$97.31 ,-,,B005HESY7A,0809410271198,0809410271198,B001EJNMXS,Birkenstock,no
"Birkenstock Women's Passe-pouces Mayari Birko-Flor Gold Sandal, 10 Wide",6029,10839,,,,$99.00 ,,-,,B07ZS841M8,4.04373E+12,4043734794681,B001EJNMXS,Birkenstock,no
