Title,Sales Rank: 30 days avg.,Sales Rank: 90 days avg.,Buy Box: Current,Buy Box: Stock,New: Current,Referral Fee %,"New, 3rd Party FBM: 30 days avg.",Lowest FBM Seller,"Count of retrieved live offers: New, FBM",ASIN,Product Codes: EAN,Product Codes: UPC,Parent ASIN,Brand,Prime Eligible (Amazon offer),Custom_SKU,Google_Search_Link,Match,Amazon_link,Extraction_Link,Store,Price,Min Price,Max Price,Amazon_List_price,Can_List,Black_list,PID
"New Balance Men's 520 V8 Running Shoe, Black/Black, 13",6388,9842,,,,,,-,,B0B1Q73NGD,196432847761,196432847761,B0C8BW5WNS,New Balance,,GB196432847761,https://www.google.com/search?q=196432847761+New+Balance+Men%27s+520+V8+Running+Shoe%2C+Black%2FBlack%2C+13&tbm=shop,Y,https://www.amazon.com/dp/B0B1Q73NGD?psc=1,"https://www.google.com/shopping/product/13280898280129075158/offers?q=196432847761&prds=cid:13280898280129075158,cond:1",Zappos.com,53.6,91.12,101.3,101.3,Y,V,9987415628512979131
"New Balance Men's Fresh Foam X 1080 Unlaced V1 Running Shoe, Black/White, 12",121523,113813,,,214.56,,,ANZYNJW9IIF9C,1,B096N752VY,196071069500,196071069500,B0CVTTYB7K,New Balance,,GB196071069500,https://www.google.com/search?q=196071069500+New+Balance+Men%27s+Fresh+Foam+X+1080+Unlaced+V1+Running+Shoe%2C+Black%2FWhite%2C+12&tbm=shop,Y,https://www.amazon.com/dp/B096N752VY?psc=1,"https://www.google.com/shopping/product/17113204871839440075/offers?q=196071069500&prds=cid:17113204871839440075,cond:1",Fleet Feet,120,204,226.8,213.56,Y,V,9971484125770422661
"New Balance Women's More V2 Trail Running Shoe, Garnet/Harvest Gold, 7.5",290115,332393,,,,,,-,,B08PCDPZCS,195481407674,195481407674,B084XSTHCY,New Balance,,GB195481407674,https://www.google.com/search?q=195481407674+New+Balance+Women%27s+More+V2+Trail+Running+Shoe%2C+Garnet%2FHarvest+Gold%2C+7.5&tbm=shop,Y,https://www.amazon.com/dp/B08PCDPZCS?psc=1,"https://www.google.com/shopping/product/10402264036987728063/offers?q=195481407674&prds=cid:10402264036987728063,cond:1",Lyst,119.99,203.98,226.78,226.78,Y,V,9964514811395548067
"New Balance Men's Fresh Foam X 860 V12 Running Shoe, Mountain Teal/Sulphur Yellow, 8 M",34601,49277,,,168.28,,,A2B9B9OGF1VYTL,1,B096WJKKK1,195481440855,195481440855,B0B9BRT7LY,New Balance,,GB195481440855,https://www.google.com/search?q=195481440855+New+Balance+Men%27s+Fresh+Foam+X+860+V12+Running+Shoe%2C+Mountain+Teal%2FSulphur+Yellow%2C+8+M&tbm=shop,Y,https://www.amazon.com/dp/B096WJKKK1?psc=1,"https://www.google.com/shopping/product/3371698995623259646/offers?q=195481440855&prds=cid:3371698995623259646,cond:1",Confluence Running,94.99,161.48,179.53,167.28,Y,V,9846794016786407968
"New Balance Women's Dynasoft Nergize V3 Cross Trainer, White/White, 11",1361,1417,,,,,,-,,B096NMV16C,195907587546,195907587546,B0BKM7P9Z4,New Balance,,GB195907587546,https://www.google.com/search?q=195907587546+New+Balance+Women%27s+Dynasoft+Nergize+V3+Cross+Trainer%2C+White%2FWhite%2C+11&tbm=shop,Y,https://www.amazon.com/dp/B096NMV16C?psc=1,"https://www.google.com/shopping/product/10210180957421107172/offers?q=195907587546&prds=cid:10210180957421107172,cond:1",6pm.com,56,95.2,105.84,105.84,Y,V,9745081436562801661
"New Balance Women's 515 V3 Sneaker, Nb Burgundy/White/Black, 9",2245,2706,,,,,,-,,B09YB6V4H4,196432438228,196432438228,B0B5NR1Z2V,New Balance,,GB196432438228,https://www.google.com/search?q=196432438228+New+Balance+Women%27s+515+V3+Sneaker%2C+Nb+Burgundy%2FWhite%2FBlack%2C+9&tbm=shop,Y,https://www.amazon.com/dp/B09YB6V4H4?psc=1,"https://www.google.com/shopping/product/8515335835248669500/offers?q=196432438228&prds=cid:8515335835248669500,cond:1",DSW,84.99,144.48,160.63,160.63,Y,V,9650494425706308454
"New Balance Women's Fresh Foam Roav V1 Running Shoe, Black/Grey, 8.5 Wide",262,512,,,,,,-,,B093QLDS16,195907563861,195907563861,B089S7TS2F,New Balance,,GB195907563861,https://www.google.com/search?q=195907563861+New+Balance+Women%27s+Fresh+Foam+Roav+V1+Running+Shoe%2C+Black%2FGrey%2C+8.5+Wide&tbm=shop,Y,https://www.amazon.com/dp/B093QLDS16?psc=1,"https://www.google.com/shopping/product/16405623774787294959/offers?q=195907563861&prds=cid:16405623774787294959,cond:1",Zappos.com,90.63,154.07,171.29,171.29,Y,V,9634882630548408956
"New Balance Men's Composite Toe 589 V1 Industrial Shoe, Black/Toro Red, 9 X-Wide",20330,26615,,,,,,-,,B07RK8FFZ6,194182194517,194182194517,B01N0JFM9T,New Balance,yes,GB194182194517,https://www.google.com/search?q=194182194517+New+Balance+Men%27s+Composite+Toe+589+V1+Industrial+Shoe%2C+Black%2FToro+Red%2C+9+X-Wide&tbm=shop,Y,https://www.amazon.com/dp/B07RK8FFZ6?psc=1,"https://www.google.com/shopping/product/12932378617959906684/offers?q=194182194517&prds=cid:12932378617959906684,cond:1",Zappos.com,119.95,203.91,226.71,226.71,Y,V,96132634391786482
"New Balance Women's Fresh Foam Roav V1 Running Shoe, Gray/Gray, 8 Wide US",260,509,,,,,,A2650U6VN1Z6TA,1,B093QJQMYQ,195907563564,195907563564,B089S7TS2F,New Balance,,GB195907563564,https://www.google.com/search?q=195907563564+New+Balance+Women%27s+Fresh+Foam+Roav+V1+Running+Shoe%2C+Gray%2FGray%2C+8+Wide+US&tbm=shop,Y,https://www.amazon.com/dp/B093QJQMYQ?psc=1,"https://www.google.com/shopping/product/9131067252017368360/offers?q=195907563564&prds=cid:9131067252017368360,cond:1",Rack Room Shoes,89.99,152.98,170.08,170.08,Y,V,9556155289303473420
"New Balance Women's 515 V3 Sneaker, Natural Indigo/Logwood, 8.5 Wide",2254,2666,,,,,,-,,B08BN84T8N,194768578380,194768578380,B0B5NR1Z2V,New Balance,,GB194768578380,https://www.google.com/search?q=194768578380+New+Balance+Women%27s+515+V3+Sneaker%2C+Natural+Indigo%2FLogwood%2C+8.5+Wide&tbm=shop,Y,https://www.amazon.com/dp/B08BN84T8N?psc=1,"https://www.google.com/shopping/product/96034054701795142/offers?q=194768578380&prds=cid:96034054701795142,cond:1",Kohl's,74.99,127.48,141.73,141.73,Y,V,9536339805367746482
