Title,Sales Rank: 30 days avg.,Sales Rank: 90 days avg.,Buy Box: Current,Buy Box: Stock,New: Current,New: Highest,"New, 3rd Party FBM 🚚: 30 days avg.",Lowest FBM Seller,"Count of retrieved live offers: New, FBM",ASIN,Product Codes: EAN,Product Codes: UPC,Parent ASIN,Brand,Prime Eligible (Buy Box)
"BIRKENSTOCK 1019635 Women's Slippers, Earthy Vegan Light Rose, 8.5 US",6410,11374,,,$125.00 ,$180.00 ,,-,0,B08WZ2XLM4,4.06142E+12,4061416556570,B00BUQ4ADQ,Birkenstock,no
Birkenstock Arizona 40 Narrow White Birko Flor,6546,11525,,,$139.95 ,$149.95 ,$139.95 ,-,0,B07N14ZY5V,0886454234747,0886454234747,B00BUQ4ADQ,Birkenstock,no
"BIRKENSTOCK Women's Heels Open Toe Sandals , Grey Iron Iron , 13 US",6627,11514,,,,$298.95 ,$231.85 ,-,,B071NMDJ4K,4.052E+12,4052001263379,B00BUQ4ADQ,Birkenstock,no
Birkenstock Womens Arizona Soft Foot Bed Double Buckle Metallic Sandals - Metallic Silver - US10/EU41,6416,11386,,,,$199.95 ,$217.85 ,-,,B01N79F4MD,4.05406E+12,4054056337739,B00BUQ4ADQ,Birkenstock,yes
"Birkenstock Women's Sandals, Black Birko-flor??, 3.5 UK Narrow",6550,11547,$119.86 ,25,$119.86 ,$154.27 ,,-,0,B000GLI39I,4.01387E+12,4013871036623,B00BUQ4ADQ,Birkenstock,yes
"Birkenstock Men's Arizona Soft Footbed Limited Edition Narrow Sandals, Sky (Sky/Sky), 41",6524,11442,,,$235.94 ,$253.73 ,$235.94 ,-,1,B07FKBB1FC,0802436406995,0802436406995,B00BUQ4ADQ,Birkenstock,no
"Birkenstock Unisex-Adult Arizona Soft Footbed Mules, Blau, 8 Narrow",6505,11452,,,,$275.65 ,$237.47 ,-,,B000MSW1ES,4.01387E+12,4013871002017,B00BUQ4ADQ,Birkenstock,no
"Birkenstock Men's Heels Open Toe Sandals, Mocha, 10.5 UK",6636,11672,,,,$220.95 ,,-,,B00GWP9CV0,4.04071E+12,4040714343006,B00BUQ4ADQ,Birkenstock,no
Birkenstock Unisex Arizona BS Leather Dark Brown Sandals 13 W / 11 M US,6478,11388,$106.85 ,8,$106.85 ,$269.99 ,,-,0,B00901JRYA,0736399021547,0736399021547,B00BUQ4ADQ,Birkenstock,yes
Birkenstock Unisex Arizona Brown Birko Flor Sandals - 11-11.5 B(M) US Women/9-9.5 B(M) US Men,6405,11361,,,$148.98 ,$148.98 ,$139.60 ,-,1,B000UWNNZC,4.01387E+12,4013871037736,B00BUQ4ADQ,Birkenstock,no
"Birkenstock Women's Arizona Birko-Flo Mocca Sandals - M13 46,0",6505,11489,,,,$199.95 ,,-,,B000XW3F8E,4.04071E+12,4040714059259,B00BUQ4ADQ,Birkenstock,yes
Birkenstock Unisex Arizona Havana Sandals - 46 M EU / 13-13.5 D(M) US,6536,11478,,,,$276.95 ,$281.78 ,-,,B00KYDZQUW,4.052E+12,4052001142612,B00BUQ4ADQ,Birkenstock,no
"Birkenstock Men's Flatform Sandals, White, 38",6434,11410,,,,$258.53 ,$164.15 ,-,,B000MSWXBO,4.01387E+12,4013871033349,B00BUQ4ADQ,Birkenstock,no
Birkenstock Arizona 41 Black Birko Flor,6468,11521,$104.60 ,106,$104.60 ,$155.78 ,$105.00 ,-,0,B07N14NNYR,0736399021240,0736399021240,B00BUQ4ADQ,Birkenstock,yes
Birkenstock Women's Arizona Birko-Flo Tabacco Brown Sandals - 39 M EU,6566,11734,$135.00 ,1,$135.00 ,$397.21 ,$225.08 ,-,1,B00432B38O,4.04071E+12,4040714888781,B00BUQ4ADQ,Birkenstock,no
