"Title","Sales Rank: 30 days avg.","Sales Rank: 90 days avg.","Buy Box 🚚: Current","Buy Box 🚚: Stock","New: Current","New: Highest","New, 3rd Party FBM 🚚: 30 days avg.","Lowest FBM Seller","Count of retrieved live offers: New, FBM","ASIN","Product Codes: EAN","Product Codes: UPC","Parent ASIN","Brand","Prime Eligible (Buy Box)"
"Steve Madden Men's Dress Casual Every Day Leather Belt, Brown/Black (Oil Tanned), 42","382","362","","","","$ 25.99","","-","","B06WVL948P","0684835209885","684835209885","B0BZWZSM7D","Steve Madden","yes"
"Steve Madden Men's Dress Casual Every Day Leather Belt, Brown/Black (Oil Tanned), 34","385","363","","","","$ 25.99","","-","","B06W5P1Y9D","0684835209847","684835209847","B0BZWZSM7D","Steve Madden","no"
"Steve Madden Women's Hadyn Sandal, Light Green Leather, 6.5","156790","156790","","","$ 121.14","$ 121.14","$ 121.14","A1195MQ583AB5O","1","B0C5S68243","0197369613610","197369613610","B0CYLZYHCZ","Steve Madden","no"
"Steve Madden Women's Hadyn Sandal, Light Blue, 8","2890","2890","","","","$ 59.99","","-","","B0CVNNP7NM","0198024550332","198024550332","B0CYLZYHCZ","Steve Madden","yes"
"Steve Madden Women's Hadyn Sandal, Light Green Leather, 6","164446","164446","","","$ 121.14","$ 121.14","$ 121.14","A1195MQ583AB5O","1","B0C5S56QVX","0197369613597","197369613597","B0CYLZYHCZ","Steve Madden","no"
"Steve Madden Women's Hadyn Sandal, Denim Fabric, 6","175028","106294","","","","$ 79.95","","-","","B0BRQY9XPJ","0196829869055","196829869055","B0CYLZYHCZ","Steve Madden","yes"
"Steve Madden Women's Hadyn Sandal, Denim Fabric, 8","283959","201911","","","","$ 123.75","","-","","B0BRQYJXY9","0196829869093","196829869093","B0CYLZYHCZ","Steve Madden","yes"
"Steve Madden Women's Hadyn Sandal, Black Leather, 5.5","4406","94739","","","","$ 146.99","","-","","B0C641KGV5","0196829637036","196829637036","B0CYLZYHCZ","Steve Madden","yes"
"Steve Madden Women's Hadyn Sandal, Light Green Leather, 8","141594","141594","","","$ 121.14","$ 121.14","$ 121.14","A1195MQ583AB5O","1","B0C5S78GL8","0197369613672","197369613672","B0CYLZYHCZ","Steve Madden","no"
"Steve Madden Women's Hadyn Sandal, Light Green Leather, 10","179721","179721","","","$ 121.14","$ 121.14","$ 121.14","A1195MQ583AB5O","1","B0C5S58T5V","0197369613757","197369613757","B0CYLZYHCZ","Steve Madden","no"
"Steve Madden Women's Possession Sneaker, Pink Neon, 8.5","5591","4463","$ 99.95","1","$ 99.95","$ 183.00","$ 100.84","A2F3U3NJJC3IJO","2","B0BRQ558NP","0196829679432","196829679432","B0CFG8SG2Z","Steve Madden","no"
"Steve Madden Women's Possession Sneaker, White/Grey, 8","5476","4417","$ 79.95","2","$ 79.95","$ 177.79","$ 98.78","A1G9RBEK6CB71F","1","B0BHRLJBMB","0196361878140","196361878140","B0CFG8SG2Z","Steve Madden","no"
"Steve Madden Women's Possession Sneaker, Lime, 7.5","5538","4442","$ 79.95","15","$ 79.95","$ 99.99","$ 90.56","A1G9RBEK6CB71F","1","B09GWDFDNB","0195945873625","195945873625","B0CFG8SG2Z","Steve Madden","no"
"Steve Madden Women's Possession Sneaker, Blush Rhinestone, 8","5503","4430","$ 99.95","","$ 99.35","$ 109.99","$ 94.08","A1G9RBEK6CB71F","2","B0B99HHM1Q","0196829103364","196829103364","B0CFG8SG2Z","Steve Madden","yes"
"Steve Madden Women's Possession Sneaker, Blush Rhinestone, 9","5543","4428","$ 59.95","93","$ 59.95","$ 109.99","$ 73.63","A1G9RBEK6CB71F","2","B0B99G7YRM","0196829103425","196829103425","B0CFG8SG2Z","Steve Madden","no"
"Steve Madden Possession White/Grey Lace Up Boyfriend Chunky Platform Sneakers (White/Grey/Orange, 6)","5599","4488","$ 99.95","7","$ 99.95","$ 99.99","$ 99.86","A1G9RBEK6CB71F","1","B0B99G8V3S","0196829395196","196829395196","B0CFG8SG2Z","Steve Madden","no"
"Steve Madden Women's Possession Sneaker, White/Grey, 6","5427","4404","$ 99.95","7","$ 99.95","$ 177.79","$ 99.95","A1G9RBEK6CB71F","1","B0BHRRRD5Q","0196361878102","196361878102","B0CFG8SG2Z","Steve Madden","no"
"Steve Madden Possession White/Grey Lace Up Boyfriend Chunky Platform Sneakers (White/Grey/Orange, 6.5)","5588","4468","$ 99.95","31","$ 99.95","$ 99.99","$ 99.95","A1G9RBEK6CB71F","1","B0B99CCFZD","0196829395240","196829395240","B0CFG8SG2Z","Steve Madden","no"
"Steve Madden Women's Possession Sneaker, Black/Green, 9.5","5599","4480","$ 99.95","5","$ 99.95","$ 99.99","$ 99.95","A1G9RBEK6CB71F","1","B09M7GG3Q7","0196361475639","196361475639","B0CFG8SG2Z","Steve Madden","no"
"Steve Madden Women's Possession Sneaker, Black/Tan, 11","5504","4413","","","$ 116.60","$ 188.99","$ 124.74","-","1","B09TSS4V78","0196361358840","196361358840","B0CFG8SG2Z","Steve Madden","yes"
"Steve Madden Women's Possession Sneaker, Grey Multi, 8.5","5471","4420","$ 99.95","7","$ 99.95","$ 109.99","$ 99.95","A1G9RBEK6CB71F","1","B09M7JTZ4T","0196361426181","196361426181","B0CFG8SG2Z","Steve Madden","no"
"Steve Madden Women's Possession Sneaker, White/Grey, 7","5530","4415","$ 99.95","23","$ 99.95","$ 177.79","$ 99.95","A1G9RBEK6CB71F","1","B0BHRK848S","0196361878126","196361878126","B0CFG8SG2Z","Steve Madden","no"
"Steve Madden Women's Possession Sneaker, White/Grey, 7.5","5555","4446","$ 79.95","61","$ 79.95","$ 177.79","$ 99.45","A1G9RBEK6CB71F","1","B0BHRKPM4J","0196361878133","196361878133","B0CFG8SG2Z","Steve Madden","no"
"Steve Madden Women's Possession Sneaker, White/Grey, 6.5","5559","4469","$ 99.95","27","$ 99.95","$ 177.79","$ 70.72","A1G9RBEK6CB71F","1","B0BHRJX223","0196361878119","196361878119","B0CFG8SG2Z","Steve Madden","no"
"Steve Madden Women's Possession Sneaker, White/Grey, 8.5","5544","4444","$ 99.95","14","$ 99.95","$ 177.79","$ 88.40","A1G9RBEK6CB71F","1","B0BHRL8HJN","0196361878157","196361878157","B0CFG8SG2Z","Steve Madden","no"
"Steve Madden Women's Possession Sneaker, White/Silver, 9","5496","4466","","","$ 110.74","$ 159.71","$ 109.19","AP3VA1GJZM3EQ","1","B09QH9BHKZ","0196361656311","196361656311","B0CFG8SG2Z","Steve Madden","yes"
"Steve Madden Women's Possession Sneaker, White/Silver, 7","5492","4413","","","$ 108.05","$ 142.14","$ 106.76","AP3VA1GJZM3EQ","1","B09QH88XHS","0196361656236","196361656236","B0CFG8SG2Z","Steve Madden","yes"
"Steve Madden Women's Possession Sneaker, Pink Neon, 8","5546","4453","$ 93.90","1","$ 80.39","$ 183.00","$ 105.15","A24V851RG6UNB7","2","B0BRQ44FKL","0196829679425","196829679425","B0CFG8SG2Z","Steve Madden","no"
"Steve Madden Women's Possession Sneaker, Light Blue, 7","5592","4490","","","$ 107.48","$ 183.00","$ 108.01","AP3VA1GJZM3EQ","1","B0B6GRC1HS","0196829358955","196829358955","B0CFG8SG2Z","Steve Madden","yes"
"Steve Madden Women's Possession Sneaker, Lime, 6","5611","4457","$ 79.95","1","$ 79.95","$ 188.00","$ 97.56","A1G9RBEK6CB71F","1","B09GWBKW71","0195945873502","195945873502","B0CFG8SG2Z","Steve Madden","no"
"Steve Madden Possession White/Grey Lace Up Boyfriend Chunky Platform Sneakers (White/Grey/Orange, 8)","5556","4431","$ 79.95","3","$ 79.95","$ 99.99","$ 98.83","A1G9RBEK6CB71F","1","B0B994SXVZ","0196829395394","196829395394","B0CFG8SG2Z","Steve Madden","no"
"Steve Madden womens Possession Sneaker, Black/Green, 7 US","5625","4436","$ 79.95","1","$ 79.95","$ 99.95","$ 98.12","A1G9RBEK6CB71F","1","B09M7H8ZK6","0196361475585","196361475585","B0CFG8SG2Z","Steve Madden","no"
"Steve Madden Women's Possession Sneaker, Black/Green, 8","5552","4439","$ 99.95","36","$ 99.95","$ 99.95","$ 97.79","A1G9RBEK6CB71F","1","B09M7J8KXC","0196361475608","196361475608","B0CFG8SG2Z","Steve Madden","no"
"Steve Madden Women's Possession Sneaker, Black/Green, 6","5509","4435","$ 79.95","10","$ 79.95","$ 99.99","$ 84.01","A1G9RBEK6CB71F","1","B09M7F2NL6","0196361475561","196361475561","B0CFG8SG2Z","Steve Madden","no"
"Steve Madden Women's Possession Sneaker, Black/Green, 7.5","5500","4441","$ 79.95","72","$ 79.95","$ 99.95","$ 73.74","A1G9RBEK6CB71F","1","B09M7FS9CZ","0196361475592","196361475592","B0CFG8SG2Z","Steve Madden","no"
"Steve Madden Women's Possession Sneaker, Blush Rhinestone, 6","5557","4459","$ 99.95","49","$ 99.95","$ 109.99","$ 66.46","-","1","B0B99CBH92","0196829103241","196829103241","B0CFG8SG2Z","Steve Madden","no"
"Steve Madden Women's Possession Sneaker, White/Silver, 8","5596","4493","$ 85.22","1000","$ 85.22","$ 128.37","$ 86.62","AP3VA1GJZM3EQ","1","B09QHBKYXZ","0196361656274","196361656274","B0CFG8SG2Z","Steve Madden","no"
"Steve Madden Possession Women’s Tennis Shoes Turquoise 9.0 Inches, 6 US","5539","4463","$ 176.27","1","$ 176.27","$ 179.47","$ 176.27","A35T3I43XUSHP7","1","B0C6C92S3M","0196361819051","196361819051","B0CFG8SG2Z","Steve Madden","no"
"Steve Madden Women's Possession Sneaker, White/Blue, 9.5","5484","4418","$ 99.95","2","$ 99.95","$ 99.95","$ 99.95","A1LEM297LNF1FK, A2F3U3NJJC3IJO","2","B0BXMWC83L","0197369317112","197369317112","B0CFG8SG2Z","Steve Madden","no"
"Steve Madden Possession White/Grey Lace Up Boyfriend Chunky Platform Sneakers (White/Grey/Orange, 7.5)","5450","4390","$ 79.95","81","$ 79.95","$ 99.99","$ 98.17","A1G9RBEK6CB71F","1","B0B98R54QS","0196829395349","196829395349","B0CFG8SG2Z","Steve Madden","no"
"Steve Madden Women's Maxima Sneaker, Fuchsia Ombre, 7.5","8417","7802","","","","$ 99.95","","-","","B0C441YTVM","0197369486757","197369486757","B08YZ1SM97","Steve Madden","yes"
"Steve Madden Maxima Lace Up Sneakers Boyfriend Chunky Platform Brown Multi (Brown Multi, 5.5)","8787","7936","$ 99.95","1","$ 99.95","$ 99.99","$ 99.95","A1G9RBEK6CB71F","1","B08ZN3DNL1","0195945115558","195945115558","B08YZ1SM97","Steve Madden","no"
"Steve Madden Women's Maxima Sneaker, Light Green, 8.5","8933","7932","$ 76.24","3","$ 62.99","$ 144.00","$ 73.17","A24V851RG6UNB7","1","B09N748VVL","0196361113166","196361113166","B08YZ1SM97","Steve Madden","no"
"Steve Madden Women's Maxima Sneaker, Rose Gold, 8.5","8756","7974","$ 45.99","150","$ 45.99","$ 159.74","$ 45.92","A24V851RG6UNB7","1","B097NP67XH","0195945433614","195945433614","B08YZ1SM97","Steve Madden","no"
"Steve Madden Women's Maxima Sneaker, Rose Gold, 7.5","8625","7869","$ 46.99","83","$ 46.99","$ 119.99","$ 46.79","A24V851RG6UNB7","1","B097NPL4ZW","0195945433591","195945433591","B08YZ1SM97","Steve Madden","no"
"Steve Madden Women's Maxima Sneaker, Rose Gold, 6.5","8797","7938","$ 45.99","33","$ 45.99","$ 99.99","$ 45.99","A24V851RG6UNB7","1","B097NNLK98","0195945433577","195945433577","B08YZ1SM97","Steve Madden","no"
"Steve Madden Women's Maxima Sneaker, Lime, 8.5","8870","7994","$ 79.95","11","$ 79.95","$ 99.99","$ 94.21","A1G9RBEK6CB71F","1","B092DKDYVC","0195945337684","195945337684","B08YZ1SM97","Steve Madden","no"
"Steve Madden Women's Maxima Sneaker, Iridescent, 8.5","8653","7933","$ 42.99","31","$ 42.99","$ 99.95","$ 42.99","A24V851RG6UNB7","2","B0B53T2T3B","0196361572505","196361572505","B08YZ1SM97","Steve Madden","no"
"Steve Madden Women's Maxima Sneaker, Rose Gold, 6","8674","7930","$ 45.99","22","$ 45.99","$ 119.99","$ 45.99","A24V851RG6UNB7","1","B097NN1L22","0195945433560","195945433560","B08YZ1SM97","Steve Madden","no"
"Steve Madden Women's Maxima Sneaker, Black, 10","8755","7971","","","","$ 188.99","$ 116.06","-","","B094NZXG3Y","0195945444207","195945444207","B08YZ1SM97","Steve Madden","yes"
"Steve Madden Women's Maxima Sneaker, Iridescent, 9","8692","7926","$ 42.99","14","$ 42.99","$ 99.95","$ 42.99","A24V851RG6UNB7","1","B0B53DYFST","0196361572512","196361572512","B08YZ1SM97","Steve Madden","no"
"Steve Madden Maxima Sneakers Women Lace Up Rhinestone Chunky Low Top Knit Runner (White/Silver, 6.5)","8805","7976","$ 69.95","64","$ 69.95","$ 99.99","$ 67.57","A1G9RBEK6CB71F","1","B0B53TCZMS","0196361639697","196361639697","B08YZ1SM97","Steve Madden","no"
"Steve Madden Women's Mayven Slide Sandal, White Camel, 9.5","10039","10039","$ 89.95","","$ 89.95","$ 89.95","","-","0","B0CVNL7P35","0197369764763","197369764763","B0BRSW95CN","Steve Madden","yes"
"Steve Madden Women's Mayven Slide Sandal, White Camel, 10","13157","13615","$ 89.95","","$ 89.95","$ 89.95","","-","0","B0CVNLKXWP","0197369764787","197369764787","B0BRSW95CN","Steve Madden","yes"
"Steve Madden Women's Maxima Sneaker, Blush Multi Rhinestone, 9","8620","7901","","","","$ 99.95","","-","","B0C4M5X6N3","0197369521366","197369521366","B08YZ1SM97","Steve Madden","yes"
"Steve Madden Women's Maxima Sneaker, Denim Rhinestone, 8.5","9126","8077","","","","$ 99.95","$ 67.48","-","","B0C634SDCP","0197369500026","197369500026","B08YZ1SM97","Steve Madden","yes"
