"Title","Sales Rank: 30 days avg.","Sales Rank: 90 days avg.","Buy Box 🚚: Current","Buy Box 🚚: Stock","New: Current","New: Highest","New, 3rd Party FBM 🚚: 30 days avg.","Lowest FBM Seller","Count of retrieved live offers: New, FBM","ASIN","Product Codes: EAN","Product Codes: UPC","Parent ASIN","Brand","Prime Eligible (Buy Box)"
"THE NORTH FACE Berkeley Field Bag, Fawn Grey/Gardenia White, One Size","10296","9748","","","","$ 55.00","$ 54.59","-","","B0C3RQHVC5","0196573158436","196573158436","B0B5MQ3JK6","THE NORTH FACE","yes"
"THE NORTH FACE Men's Short Sleeve Box NSE Tee (Standard and Big Size), Coal Brown/Monogram, Large","24599","43032","","","$ 74.19","$ 87.71","$ 75.62","A20FLYA0IW2L9O","1","B0C1P9HCN8","0196573580886","196573580886","B08BF62RL8","THE NORTH FACE","no"
"THE NORTH FACE Mudder Trucker Hat, TNF Black/Brand Proud , One Size","18824","18745","","","$ 46.18","$ 47.51","$ 56.19","A3KPHGJZVOLD1G","1","B0C24RWHW9","0196573120167","196573120167","B078WCBVW8","THE NORTH FACE","yes"
"THE NORTH FACE Mudder Trucker Hat, Porcelain Green/TNF Black, One Size","18861","18542","$ 29.95","44","$ 29.95","$ 52.89","$ 29.95","A2XZ0K8FIJS0FD","1","B09KP17RFC","0193391978376","193391978376","B078WCBVW8","THE NORTH FACE","no"
"THE NORTH FACE Mudder Trucker Hat - Men's Military Olive, One Size","18941","18682","$ 30.12","4","$ 30.11","$ 46.20","$ 32.89","A2DIWEPQOXBVZ7","3","B09TPWS3K4","0196247064698","196247064698","B078WCBVW8","THE NORTH FACE","no"
"THE NORTH FACE Mudder Trucker Hat, Super Sonic Blue, One Size","18998","18595","","","$ 39.99","$ 80.15","$ 40.54","ATOE86MRWJ1J7","1","B0BGY9THLR","0196011600039","196011600039","B078WCBVW8","THE NORTH FACE","yes"
"THE NORTH FACE Mudder Trucker Hat, TNF White/Kelp Tan TNF Camo Print/Graphic Patch, One Size","18679","18483","","","","$ 38.99","","-","","B09KP255VZ","0193391978581","193391978581","B078WCBVW8","THE NORTH FACE","yes"
"THE NORTH FACE Mudder Trucker Hat, Boysenberry, One Size","19065","18688","","","$ 53.04","$ 53.04","$ 29.95","A3IN8061KSUP78","1","B0C24WVV6D","0196573138254","196573138254","B078WCBVW8","THE NORTH FACE","no"
"THE NORTH FACE Men's Short Sleeve Box Never Stop Exploring Tee (Standard and Big Size), Mineral Purple, X-Small","24156","34413","$ 33.00","6","$ 33.00","$ 33.00","$ 32.98","A2XZ0K8FIJS0FD","1","B0CHBP5MNQ","0197063483205","197063483205","B08BF62RL8","THE NORTH FACE","no"
"THE NORTH FACE Men's Short Sleeve Box Never Stop Exploring Tee (Standard and Big Size), Mineral Purple, XX-Large","24196","35835","$ 33.00","134","$ 33.00","$ 33.00","$ 32.98","A2XZ0K8FIJS0FD","1","B0CHBRGCTF","0197063483274","197063483274","B08BF62RL8","THE NORTH FACE","no"
"THE NORTH FACE Box NSE Mens Tshirt TNF Black/Ombre Graphic Sz XXL","23420","43610","","","$ 32.99","$ 48.10","$ 32.99","A2DIWEPQOXBVZ7","1","B0BH54LG3R","0196249622148","196249622148","B08BF62RL8","THE NORTH FACE","no"
