Title,Sales Rank: 30 days avg.,Sales Rank: 90 days avg.,Buy Box: Current,Buy Box: Stock,New: Current,New: Highest,"New, 3rd Party FBM 🚚: 30 days avg.",Lowest FBM Seller,"Count of retrieved live offers: New, FBM",ASIN,Product Codes: EAN,Product Codes: UPC,Parent ASIN,Brand,Prime Eligible (Buy Box),Buy Box Seller,Black_list,PID
"Cole Haan Men's, 2.ZER0GRAND Wingtip Oxford Deep Olive",,,$90.97,,$90.97,$130.63,,,,B0CJVDR1H5,196414248203,196414248203,B0CT44L17V,Cole Haan,,3rd Party (A1BNXE6U3W2NOH),V,355518079878407000
"New Balance Men's Fresh Foam Roav V1 Sneaker, Black/Light Aluminum, 8.5 W US",,,,,,$146.59,,,,B07RM7KMN6,193684935987,193684935987,B096PR9JCT,New Balance,,,V,8618867549690950000
"New Balance Women's Fresh Foam X 860 V12 Running Shoe, Mountain Teal/Pale Blue Chill, 7.5 M",43296,47313,$142.49,1,$138.15,$252.36,$194.59,ANZYNJW9IIF9C,1,B096WN4XK1,1.95E+11,195481447526,B0B8THVT7V,New Balance,yes,,V,10007832197387156860
"New Balance Men's Sneaker, Sea Salt, 46.5 EU",,,$107.21,,$92.26,$182.47,,,,B0CMQN5GJT,197375710969,197375710969,B0B8DY6MCG,New Balance,,3rd Party (A2857RBU562CVM),V,1001307478252745846
"Cole Haan Men's Grand Laser Penny Driver Driving Style Loafer, Black/Black, 11 Wide",,,,,$146.95,$220.48,,,,B0BQ5H5V7M,196414130966,196414130966,B0BPXX94PK,Cole Haan,,,V,10022156192473344753
"New Balance Women's Fresh Foam X 860 V12 Running Shoe, Light Mango/Dynomite, 7 W",,,,,,$184.46,,,,B096WKYN1Q,195481448974,195481448974,B0B8THVT7V,New Balance,,,V,10027990216959728539
"New Balance mens Fuelcell 4040 V6 Metal Baseball Shoe, Team Red/White, 8.5 US",,,,,$140.02,$184.40,,,,B08PCDS3ZW,195481139223,195481139223,B0CLDBYVSX,New Balance,,,V,10028413110801246929
"New Balance Women's 928 V1 Walking Shoe, Tan, 13 4E US",3101708,3253563,,,,$189.98,$171.99,-,,B007IH9LYE,6.03E+11,602850788581,B008CCKIOQ,New Balance,no,,V,10036062854441977228
"New Balance Men's 200 V1 Slide Sandal, Night Tide/Pink Glo/Impulse, 11",,,$36.90,,$29.95,$30.55,,,,B08PCB8T8D,195481581558,195481581558,B09QSNR38P,New Balance,,3rd Party (A1ZDKCDNB5PS5A),V,10036877339091207217
"New Balance Men's Dynasoft Nitrel V5 Trail Running Shoe, Natural Indigo/Eclipse/Pixel Green, 8.5",,,,,$117.00,$117.00,,,,B09H3PHZ8S,196307557214,196307557214,B0BYT5397L,New Balance,,,V,10040381931599473648
"New Balance Women's FuelCore Nergize Sport V1 Sneaker, Castlerock/Champagne Metallic, 10",,,,,,$109.99,,,,B07RL661BG,194182206159,194182206159,B0C7LWK3HG,New Balance,,,V,10040399058742009397
"Cole Haan Men's Grandpro Topspin Sneaker Loafer, British Tan/Egret, 9.5",,,$144.99,,$144.99,$234.99,,,,B0BQ5H6LDD,196414086300,196414086300,B08X3PZWSV,Cole Haan,,3rd Party (ADRHGNAK5VWYB),V,10045323646571897672
"New Balance Men's 411 V1 Training Shoe, Pigment/White, 10 X-Wide",,,,,,$169.99,,,,B07PJXW62N,193684164912,193684164912,B089XCM1R8,New Balance,,,V,10053156403446737784
"Cole Haan Men's Grand+ Chukka Boot, British TAN Leather, 9",,,,,$144.42,$149.00,,,,B09NZJJ982,194736926922,194736926922,B09NZGGBW6,Cole Haan,,,V,10060621218915671362
"New Balance Kid's Playgruv V1 Bungee Running Shoe, Rogue Wave/Citra Yellow, 7 Toddler",,,$44.90,,$44.90,$96.24,,,,B08BN4MKWH,195173003443,195173003443,B09FDG4FRD,New Balance,,3rd Party (A2TVRE2CB5TELZ),V,10065151347500465003
"New Balance 440 Sea Salt/Indigo US Men's 9.5, Women's 11 D (M)",,,,,$79.95,$80.00,,,,B0CN33JYDC,197375677675,197375677675,B08RY1PNZY,New Balance,,,V,10077190526577704233
"New Balance Men's Fresh Foam SPT V4 Running Shoe, Steel Gray/White, 10.5",,,,,,$79.99,,,,B09YGLB9KY,196432932108,196432932108,B09668YVJX,New Balance,,,V,10082796065934988662
"New Balance Women's 410 V8 Trail Running Shoe, Black/Bright Cyan/HI-Pink, 11",,,,,$64.95,$103.99,,,,B0BN6W8M4S,196941219998,196941219998,B0BJ8335ZM,New Balance,,,V,10106204356049890797
"Cole Haan Men's Original Grand Shortwing Oxford, Woodbury/Java, 7.5 Medium US",,,$149.95,,$149.95,$169.95,,,,B06XMY5VZF,190595356030,190595356030,B01I47RI0U,Cole Haan,,3rd Party (APV6T4RKTKPW0),V,10108322337388657370
"New Balance Women's Fresh Foam X 860 V13, White/Light Aluminum/Light Gold Metallic, 9 Wide",,,,,$234.68,$243.85,,,,B0BB358YMW,196307625128,196307625128,B0CYY2LT69,New Balance,,,V,10119619955599913624
"New Balance Women's Fresh Foam Arishi V4 Running Shoe, Lilac Chalk/Violet Shadow/Light Gold Metallic, 7 Wide",,,,,$79.95,$113.15,,,,B09H3NDJZP,196307424127,196307424127,B0CLVR2J3M,New Balance,,,V,10119783174359197743
"New Balance Men's 574 Greens Golf Shoe, Grey/White, 13",,,,,$93.25,$129.29,,,,B09C13F9J1,889993231208,889993231208,B0CMQX4RYY,New Balance,,,V,10123902475058560486
"New Balance Women's FuelCell Rebel V3 Running Shoe, White/Gold Metallic/Light Gold Metallic, 9 Wide",,,$119.99,,$106.03,$221.97,,,,B096N8SQRH,195907782897,195907782897,B0CLHNFF6X,New Balance,,3rd Party (ADRHGNAK5VWYB),V,1012800077125254550
"New Balance Women's Fresh Foam X Hierro V7 Trail Running Shoe, Stone Pink/Blacktop/Washed Burgundy, 7 Wide",,,,,,$139.99,,,,B09YBLKZF9,196432391240,196432391240,B0CLP2D65F,New Balance,,,V,10137982602367282235
"New Balance Men's 410 V7 Running Shoe, Rogue Wave/Dynomite, 10 X-Wide",,,,,$105.30,$105.30,,,,B0924ZP8BB,195173758282,195173758282,B088PRF7P4,New Balance,,,V,10138767623970849117
"New Balance Women's Fresh Foam X 860 V13, Pink Moon/Nb Burgundy, 8 Wide",,,,,$240.85,$243.79,,,,B0CCFB1JGF,196652785621,196652785621,B0CYY2LT69,New Balance,,,V,10147079976567302099
"New Balance Men's 515 V3 Sneaker, Castlerock/Raincloud/True Red, 13",,,$64.99,,$64.99,$74.99,,,,B0BHJLC44D,196941326894,196941326894,B08YXQNDVB,New Balance,,3rd Party (APMVYK5AMZ4PX),V,10154278093312552441
"New Balance Women's Fresh Foam X 1080 V13 Running Shoe, Castlerock/December Sky, 8.5 Wide",,,,,$282.90,$285.40,,,,B0BJ7MCNX9,196941396477,196941396477,B0CLB8WNMK,New Balance,,,V,10160095487366191906
"New Balance Men's 410 V8 Trail Running Shoe, Phantom/Black/Castlerock, 8.5 X-Wide",,,,,$74.13,$89.23,,,,B0BHJQ7DG5,196941163710,196941163710,B0BJ84GK32,New Balance,,,V,10172224055087482112
"THE NORTH FACE Men's Aconcagua Jacket (Standard and Big Size), Military Olive, Large",345784,270291,,,$310.43,$310.43,$310.36,ANZYNJW9IIF9C,1,B09V3FKPK1,1.96E+11,196246274739,B08BDRCMY2,THE NORTH FACE,no,,V,10175749064403388553
Tory Burch Miller Bombe Low Heel Sandals,2608469,3795045,$322.62,1,$322.62,$325.41,$322.62,ANZYNJW9IIF9C,1,B0BXHX47HK,1.96E+11,196133594834,B0BX4S4S49,Tory Burch,no,,V,10177184113094974218
"Cole Haan Men's Zerogrand All Day Runner Sneaker, Black/Natural TAN/Optic White, 9",,,,,$133.99,$142.81,,,,B0BFCSRNS9,196414174557,196414174557,B0BFZJ6MMM,Cole Haan,,,V,10177961262404896517
"New Balance Men's Fresh Foam 1080 V11 Running Shoe, Sulphur Yellow/Light Slate, 10",,,,,$185.61,$247.00,,,,B08P28G69Z,195481421106,195481421106,B07RMK42HW,New Balance,,,V,10181942072091393377
"Steve Madden Women's Feather Loafer Flat, White Leather, 9",,,$59.95,,$59.95,$106.51,,,,B07K2W4PJ4,824095972949,824095972949,B073SHYHNS,Steve Madden,,3rd Party (A1G9RBEK6CB71F),V,10192763796438970989
"Cole Haan Men's 2.Zerogrand Stitchlite Oxford, Truffle/Ivory/Syrah, 12",,,,,$159.99,$159.99,,,,B0B52VFXW4,196414096514,196414096514,B0CT44L17V,Cole Haan,,,V,10193383263889119157
"Steve Madden Women's Irenee, Gold Foil, 7.5",,,$34.99,,$24.99,$79.95,,,,B0B1352J31,196361652955,196361652955,B0CS3ZGJ4V,Steve Madden,,3rd Party (A2BMBHD2OU3XDU),V,1020074530064609610
"New Balance Women's Fresh Foam X 880 V13, White/Light Silver Metallic/Quartz Grey",,,,,,$250.72,,,,B0BSVFNJG1,196432449637,196432449637,B0D1YPV4XM,New Balance,,,V,10200869290473376818
"New Balance Women's 997H V1 Sneaker, Nb Navy/Scorpio, 6",,,,,$111.93,$111.93,,,,B0BJ7GNTTW,196941005683,196941005683,B07RYL5ZXM,New Balance,,,V,10201544921362786914
