Title,Sales Rank: 30 days avg.,Sales Rank: 90 days avg.,Buy Box: Current,Buy Box: Stock,New: Current,New: Highest,"New, 3rd Party FBM 🚚: 30 days avg.",Lowest FBM Seller,"Count of retrieved live offers: New, FBM",ASIN,Product Codes: EAN,Product Codes: UPC,Parent ASIN,Brand,Prime Eligible (Buy Box),PID,Black_list
Lacoste Long Sleeve Full Zip Sweatshirt Navy Blue 6 (XL),4077943,3889673,,,$178.57,$267.62,$178.57,-,1,B08PMDRQND,193869476694,193869476694,B0921RYRNM,Lacoste,no,12560592466330618333,V
"Laura Mercier Candleglow Soft Luminous Foundation for WoMen, Amber, 1 Ounce",246599,223201,,,$59.99,$65.34,$59.61,A1STZ8L76D7HDI,1,B01BQYQCBO,736150150776,736150150776,B073QCWTB7,Laura Mercier,yes,9997291160148669564,V
Kate Spade New York Alora Pave Black 9.5 M,7281380,7924296,$69.30,,$69.30,$331.68,,-,0,B0BH4HK6DC,196021173424,196021173424,,Kate Spade New York,yes,9985260605348249200,V
"TYR Women's Standard Durafast Elite Taylor Swim Tank, Navy Lapped, 8",539620,539947,,,,$67.56,$67.56,-,,B09K4SGS5Q,194238043394,194238043394,B09K53FZYS,TYR,yes,997615969833071483,V
TYR Chroma JAMMER/BLUE/24,2157274,2080005,$52.94,2,$47.99,$111.00,$52.94,A3V1BO3WFJIOCU,1,B089PSTQDB,36702965835,36702965835,B0CL5GJ5HY,TYR,no,9959501138352984854,V
Kate Spade New York Maribelle Outerspace 9 M,,,$150.00,,$150.00,$347.40,,-,0,B09VPP5RRZ,196021097416,196021097416,,Kate Spade New York,yes,9958208407940970848,V
"TYR Women's Durafast One Solids Swimsuit, Black/Pink, Size 28",2085208,2674167,,,$75.00,$133.74,$75.00,A3V1BO3WFJIOCU,1,B01EXNQPIK,36702582612,36702582612,B0B4ZG9VWJ,TYR,no,9913792649014709813,V
Kate Spade New York Jana Leather North South Tote (Rose Smoke),4421406,4267634,$230.11,2,$218.00,$228.00,$230.11,A1R7S5TP2M45DH,1,B09CV7K2PW,767883106587,767883106587,,Kate Spade New York,no,9909972003794382405,V
"Kate Spade Protective Hardshell Case for iPhone X,Clear Pink Glitter Dot",168148,194541,$9.99,24,$9.99,$44.99,$9.99,A3EBXORZTL9RW6,1,B07L7L3NYM,191058040992,191058040992,,Kate Spade New York,no,9889872745699801987,V
"kate spade new york Women's Morningside Stainless Steel Quartz Watch with Leather Strap, Brown, 10 (Model: KSW1716SET)",994579,1111032,$149.99,1,$149.99,$198.00,$149.99,A2EMQIH2MIFFZ2,1,B097Q712SW,796483542792,796483542792,B087TGZ1VZ,Kate Spade New York,no,9823034624300158566,V
"Kate Spade New York Vintage Cherry Dot Insulated Food Container, 0.70 LB, Multi",437102,336333,,,$24.95,$31.00,$32.90,A1S6914ST7IGDS,1,B086LKF19V,882864861528,882864861528,,Kate Spade,yes,9799432794788758612,V
Kate Spade New York Jaylee Black/French Cream 8 B (M),809048,810812,,,,$201.68,$138.29,-,,B091CBTGJ6,767883134665,767883134665,B08Z45NQWR,Kate Spade New York,yes,9779416597328913257,V
"Free People Women's Hazy Maisy Maxi Dress, Earth Combo, Pink, Floral, L",999275,1150338,,,,$228.46,$202.82,-,,B0BQLWS94C,197267111904,197267111904,B0C7HFRSG2,Free People,no,9765332403511647495,V
Kate Spade New York Staci Large Satchel Black,980393,1070080,$177.98,1,$172.00,$199.98,$177.81,A1ZOO4O7Q3NVOD,4,B09BK77XPD,767883701652,767883701652,,Kate Spade New York,no,9760894392141873461,V
Kate Spade New York Dana Large Slim Bifold Leather Wallet (Butter),2876706,2518669,,,,$216.10,$112.00,-,,B09TH46DLC,196021022609,196021022609,,Kate Spade New York,no,9752058637961726396,V
Laura Mercier Eyes Cheeks and Lips Gloss - Nomade (Nude),773976,614256,$13.00,76,$13.00,$23.80,$13.00,"A1G35A3E12TBG5, AIGMZ9YYRPEQG",6,B07SD86DW9,736150167866,736150167866,,Laura Mercier,no,9735539156274809731,V
Kate Spade New York Vale Leopard 7 B (M),,,$118.32,1,$118.32,$210.94,$149.54,AWJMXP5IJRVY4,1,B091CB2SHB,767883128640,767883128640,,Kate Spade New York,no,9733336892351017388,V
"Kate Spade New York Clipboard Folio with Low Profile Clip, Professional Padfolio Includes Lined Notepad, Pen Loop, and Pocket, Layered Logo",13542,13739,$39.99,1,$39.99,$44.99,$42.44,A25BV3FOT7QIAF,3,B098R3651F,825466128057,825466128057,B0B4XC6WM3,Kate Spade New York,no,9697107124282833059,V
Laura Mercier Velour Lip Powder Collection,754746,749340,$19.47,990,$19.47,$78.59,$19.47,AIGMZ9YYRPEQG,2,B07NZ179GT,736150169440,736150169440,B0C66N879L,Laura Mercier,no,9686824978598620912,V
