Title,Sales Rank: 30 days avg.,Sales Rank: 90 days avg.,Buy Box: Current,Buy Box: Stock,New: Current,New: Highest,"New, 3rd Party FBM 🚚: 30 days avg.",Lowest FBM Seller,"Count of retrieved live offers: New, FBM",ASIN,Product Codes: EAN,Product Codes: UPC,Parent ASIN,Brand,Prime Eligible (Buy Box),Black_list,PID
"Skechers Men's Walking Sneaker, Black Mesh Charcoal Trim, 8.5",235221,188795,$64.21,2,$56.99,$125.65,$52.92,A2OTE410JXLA5O,1,B09PY5X4VF,195969617694,195969617694,B09PZ8276W,Skechers,no,V,10067739798520664843
"Skechers Sport Women's Women's Perfect Views Sneaker, WPWP=White Pink/White/Purple, 8.5",402242,466285,$48.96,18,$48.96,$85.00,$48.96,A352291EHW83ZF,1,B099F9S6F9,195969671856,195969671856,B0CLY4Q7KK,Skechers,no,V,10083033311983508282
"Skechers Women's GO Walk Joy-Everly Sneaker, Black/Gray, 8.5 Wide",309306,277284,,,$54.95,$64.97,$54.95,A1BNXE6U3W2NOH,2,B09NL791X4,196311895050,196311895050,B09NLMC1PG,Skechers,no,V,10101871861588645217
"Skechers Sport Women's Women's Power Plunge Sneaker, GYBL=Grey/Blue, 7.5",421839,544134,$59.99,7,$59.99,$67.06,$54.99,-,1,B09HP8T3HB,195969792148,195969792148,B09HPQ78BZ,Skechers,no,V,10138654037654694516
"Skechers Men's Skech-Lite Pro Faregrove Oxford, Gray/Red, 9",241798,200995,,,$59.99,$61.86,$62.08,A2OTE410JXLA5O,2,B0BWX1DJHS,196989593043,196989593043,B0CLTXB2RF,Skechers,no,V,10147820411251983940
"Skechers Work Stacey - Women's Black/White Soft Toe, Slip Resistant, Low Athletic (11.0 M)",293641,427740,$87.99,61,$87.99,$202.77,$91.26,A37LNJJWNJFTQP,3,B01HN75R2I,683973812155,683973812155,B086N2FJ5G,Skechers,no,V,10151660279230959710
"Speedo mens Swimsuit Brief Endurance+ Splice Team Colors,Navy/Gold Splice,28",128269,120994,$38.62,1,$33.67,$55.80,$38.62,A3V1BO3WFJIOCU,2,B00DDZK1EE,786096432467,786096432467,B0CGYJLGLV,Speedo,no,V,10151751363719923003
"Skechers Women's GO Walk Flex Sandal-ELATION Slide, Natural, 5",208891,193932,,,$83.00,$90.00,$83.00,A2650U6VN1Z6TA,1,B0B9HPLX2J,196642758574,196642758574,B0CTCRFJWD,Skechers,yes,V,1017377938574847039
"Speedo Girls' Swimsuit One Piece Infinity Splice Thick Strap, Blue Atoll, 12",10854,9343,,,,$49.78,$34.58,-,,B09GFKDQMN,27556538573,27556538573,B0BY5WT44N,Speedo,yes,V,10220259337387593284
"Skechers Men's Sports Shoes, Navy Blue, 42.5 EU",219801,337208,$64.32,4,$56.99,$65.00,$53.03,A2OTE410JXLA5O,2,B0BS91RL9W,196642544726,196642544726,B09PZ8276W,Skechers,no,V,10240096886185965497
