Title,Sales Rank: 30 days avg.,Sales Rank: 90 days avg.,Buy Box: Current,Buy Box: Stock,New: Current,New: Highest,"New, 3rd Party FBM 🚚: 30 days avg.",Lowest FBM Seller,"Count of retrieved live offers: New, FBM",ASIN,Product Codes: EAN,Product Codes: UPC,Parent ASIN,Brand,Prime Eligible (Buy Box),PID,Black_list
"Tommy Hilfiger Men's Lewly Sneaker, White Multi 140, 9.5M",1096527,902955,,,,$103.51,,-,,B09ZKFDKD8,196496477973,1.96E+11,B09ZKJ459R,Tommy Hilfiger,yes,9998243962493935589,V
POLO RALPH LAUREN Microfiber Plush Long Sleeve Shawl Collar Robe Rl2000 Red Buffalo Plaid/Nevis Pony Player SM-MD,116082,94715,$83.99,1,$83.99,$150.00,$83.99,A3208L1GETM6S3,1,B09B1ZRYRD,194959604546,1.95E+11,B0CN4QYJH5,POLO RALPH LAUREN,no,9996798145191939024,V
"Tommy Hilfiger Boys' Little Short Sleeve Striped V-Neck T-Shirt, Bermuda Blue, 4",1365577,1620601,$10.11,8,$10.11,$20.99,$10.42,A12VL2HYB4PFAP,1,B076DYDF3V,192042016979,1.92E+11,B07121HKGN,Tommy Hilfiger,no,9988131492414449757,V
"Tommy Hilfiger Mens Long Sleeve T-Shirt (XX-Large, Grey)",1231922,1206842,$26.00,1,$26.00,$39.13,$27.58,A2Y8CKHQSZF3V6,1,B07DR32XMN,719220961090,7.19E+11,B01MZWODVY,Tommy Hilfiger,no,9980587933003301299,V
Free People Runner Sling Coral MD/LG,5357252,3713359,$78.59,1,$78.59,$80.97,$78.59,ANZYNJW9IIF9C,1,B09X2Y3KJD,196347407036,1.96E+11,,Free People,no,997399361746196141,V
"Tommy Hilfiger Women's Roll Tab Shirt, Sky Captain/Bright White Gingham, Medium",280684,289379,,,$50.00,$102.23,$50.96,A1W742QNB64DQ3,1,B09FW23VYN,195105290682,1.95E+11,B0CHJRM2BZ,Tommy Hilfiger,no,9970061827826310126,V
Free People Relaxed and Destroyed Skirt Blue 30,,,$51.45,,$44.50,$49.98,,-,1,B077G7YLM7,190383825915,1.90E+11,,Free People,no,9961619013050711207,V
We The Free Womens Ivy Denim Released Hem Skinny Jeans Blue 24,2311637,1964946,$49.98,1,$39.99,$39.99,$59.38,A3CAWCKGLU5320,1,B08JX2R9LG,194374274294,1.94E+11,B08M4GF76Z,Free People,no,9949366306768081553,V
Free People Real Love Embroidered Dress Moxie Combo SM (Women's 4-6),750302,965773,$105.74,1,$94.40,$203.75,$105.74,A24V851RG6UNB7,1,B0C3H4X57Q,196347921846,1.96E+11,B0C7HDYSFD,Free People,no,9946655348290373976,V
"POLO RALPH LAUREN Men Long Sleeve Pony Logo T-Shirt with Pocket (White, M)",51365,216210,$62.44,2,$55.99,$79.00,$61.52,A48T25DC7FFOI,1,B083SP9SXB,190618046092,1.91E+11,B06XSV6X8X,Polo Ralph Lauren,no,9933754115528269133,V
