Title,Sales Rank: 30 days avg.,Sales Rank: 90 days avg.,Buy Box: Current,Buy Box: Stock,New: Current,New: Highest,"New, 3rd Party FBM 🚚: 30 days avg.",Lowest FBM Seller,"Count of retrieved live offers: New, FBM",ASIN,Product Codes: UPC,Prime Eligible (Buy Box),Parent ASIN,Brand,Product Codes: EAN,PID,Black_list
Brooks Men's Ghost 14 GTX Waterproof Neutral Running Shoe - Black/Black/Ebony - 8.5 Medium,229109,171235,,,$169.76 ,$300.87 ,$169.76 ,A1MLP04OASBI2Z,1,B097F3RQY1,1.90341E+11,yes,B09963K6S5,Brooks,1.90341E+11,9971177770836208968,V
Brooks Women’s Levitate 6 Neutral Running Shoe - Peacoat/Pink Lady/Lilac Rose - 8 Medium,13092,13057,,,$173.01 ,$289.69 ,$174.60 ,AP3VA1GJZM3EQ,1,B0BJ4FNBXK,1.95394E+11,no,B0BHDSW31Q,Brooks,1.95394E+11,9947485645866700459,V
Brooks Dare Racerback 2.0 Women’s Run Bra - Asphalt - 36F,70522,93394,$74.99 ,36,$74.99 ,$161.94 ,$82.39 ,A3NWHXTQ4EBCZS,3,B09HSVSBBL,1.95394E+11,no,B0CLBNY9QK,Brooks,1.95394E+11,9925439802977364170,V
Brooks Women's Ghost 15 Neutral Running Shoe - Light Blue/Black/Yellow - 10 Medium,48,70,,,,$199.00 ,$167.18 ,-,,B0BHXSMDM1,1.95394E+11,yes,B0CKKBPDKF,Brooks,1.95394E+11,9916464321736839328,V
Brooks Levitate GTS 5 Women's Supportive Running Shoe - Grey/Peacoat/Blue Light - 5.5,320122,340486,,,$237.52 ,$250.99 ,$125.67 ,A24V851RG6UNB7,1,B09MW5RPDK,1.95394E+11,no,B0B41GFJM9,Brooks,1.95394E+11,9867803604424792169,V
Brooks Women's Glycerin GTS 20 Supportive Running Shoe - Pink/Yellow/White - 11 Medium,4098,4308,,,,$214.99 ,$99.96 ,-,,B0BHKPXKX3,1.95394E+11,yes,B0BMZMYKQ1,Brooks,1.95394E+11,9806285124968667005,V
Brooks Women's Ghost 15 Neutral Running Shoe - Black/Blackened Pearl/White - 5.5 Wide,49,70,,,$220.00 ,$250.65 ,$214.18 ,A1PF2RJVZ25QD4,1,B09RRMK8LP,1.95394E+11,no,B0CKKBPDKF,Brooks,1.95394E+11,979358469498438476,V
Brooks Women's Ghost 15 Neutral Running Shoe - Black/Blackened Pearl/White - 10 Wide,49,71,$109.95 ,8,$109.95 ,$199.99 ,$109.95 ,"AZ3EGFUU23A8C, A1R2LN4EZ9SAP8",6,B09RRMCYCQ,1.95394E+11,yes,B0CKKBPDKF,Brooks,1.95394E+11,9771229175325889978,V
Brooks Women's Ghost 15 Neutral Running Shoe - Coral/Navy/Peach - 9.5 Medium,48,70,,,$209.95 ,$209.95 ,$194.54 ,A2MZQYRHH6G2FX,1,B0BTBRZCRQ,1.95394E+11,yes,B0CKKBPDKF,Brooks,1.95394E+11,9769249614594421438,V
Brooks Men's Cascadia 16 Trail Running Shoe - Oyster Mushroom/Alloy/Orange - 8.5 Wide,12383,12694,$84.95 ,1,$84.95 ,$252.82 ,$123.25 ,-,1,B08QV17M8X,1.90341E+11,no,B08QTT8QL8,Brooks,1.90341E+11,9766839080198879084,V
