Title,Sales Rank: 30 days avg.,Sales Rank: 90 days avg.,Buy Box: Current,Buy Box: Stock,New: Current,New: Highest,"New, 3rd Party FBM 🚚: 30 days avg.",Lowest FBM Seller,"Count of retrieved live offers: New, FBM",ASIN,Product Codes: EAN,Product Codes: UPC,Parent ASIN,Brand,Prime Eligible (Buy Box)
"New Balance Boy's 4040 V6 Molded Baseball Shoe, Red/White, 5 Big Kid",257183,146608,,,$64.99 ,$64.99 ,,-,0,B08PCCDK1W,0195481162559,1.95481E+11,B09JPV5VJR,New Balance,yes
"New Balance Men's 574 Core Sneaker, Burgundy/White, 7.5",4402,2987,,,$125.93 ,$137.99 ,$137.63 ,-,0,B093QKXGQC,0195907806623,1.95908E+11,B08BN9V242,New Balance,yes
"New Balance Women's Made in US 990 V5 Sneaker, Grey/Castlerock, 6.5",70933,66465,,,,$521.00 ,,-,,B0791XV3KJ,0192662149231,1.92662E+11,B08986L1PD,New Balance,yes
"New Balance Women's Made in US 990 V5 Sneaker, Grey/Castlerock, 7.5",71435,66892,,,,$521.00 ,,-,,B079252XMK,0192662149255,1.92662E+11,B08986L1PD,New Balance,yes
"New Balance womens Made in Us 990 V5 Sneaker, Grey/Castlerock, 8 US",71889,67390,,,$200.00 ,$521.00 ,,-,0,B0791VNMLJ,0192662149262,1.92662E+11,B08986L1PD,New Balance,yes
"New Balance mens Made in Us 990 V5 Sneaker, Grey/Castlerock, 9.5 X-Wide US",34090,28218,,,$321.88 ,$486.77 ,$318.85 ,A2B9B9OGF1VYTL,2,B07979Q3GG,0192662166368,1.92662E+11,B07H2T76RK,New Balance,no
"New Balance Women's Made in US 990 V5 Sneaker, Black/Silver, 8.5 Wide",72051,66704,,,,$457.05 ,,-,,B07C7N6PDR,0192662914839,1.92663E+11,B08986L1PD,New Balance,no
"New Balance Men's Made in US 990 V5 Sneaker, Grey/Castlerock, 7",34612,28066,,,,$441.50 ,$441.50 ,-,,B0797D3GYP,0192662165859,1.92662E+11,B07H2T76RK,New Balance,no
"New Balance Women's Made in US 990 V5 Sneaker, Grey/Castlerock, 6.5 Wide",70358,65959,,,,$397.00 ,,-,,B0791SH2XT,0192662149392,1.92662E+11,B08986L1PD,New Balance,no
"New Balance Men's Made in US 990 V5 Sneaker, Grey/Castlerock, 7.5 Wide",33935,28509,,,,$397.00 ,$279.54 ,-,,B0797GD8YN,0192662166160,1.92662E+11,B07H2T76RK,New Balance,yes
"New Balance Women's Made in US 990 V5 Sneaker, Grey/Castlerock, 8.5 Wide",72120,66737,,,,$365.05 ,,-,,B0791XTTDX,0192662149439,1.92662E+11,B08986L1PD,New Balance,yes
"New Balance Women's Made in US 990 V5 Sneaker, Grey/Castlerock, 7.5 Wide",70722,66195,,,$316.07 ,$365.04 ,$321.43 ,A2B9B9OGF1VYTL,2,B0791SH2Y1,0192662149415,1.92662E+11,B08986L1PD,New Balance,yes
"New Balance Women's Made in US 990 V5 Sneaker, Grey/Castlerock, 9.5 Wide",70574,66686,,,,$365.04 ,$279.95 ,-,,B0791WM67F,0192662149453,1.92662E+11,B08986L1PD,New Balance,yes
"New Balance Men's Made in US 990 V5 Sneaker, Grey/Castlerock, 12 X-Wide",34190,28497,,,$321.88 ,$364.26 ,$321.88 ,-,1,B0797LTWLS,0192662166412,1.92662E+11,B07H2T76RK,New Balance,yes
"New Balance Women's Made in US 990 V5 Sneaker, Black/Silver, 10.5 Wide",70654,66576,,,,$362.66 ,$229.99 ,-,,B07C7RSH6Y,0192662914877,1.92663E+11,B08986L1PD,New Balance,no
"New Balance Men's 1540 V3 Running Shoe, Grey/Black, 9.5 Wide",20332,20195,,,$324.16 ,$358.10 ,$324.16 ,A2B9B9OGF1VYTL,1,B07RMFZFGR,0193684556441,1.93685E+11,B07SBTGNWK,New Balance,no
"New Balance mens Made in US 993 Sneaker , GREY , 16 D US",1617396,1832433,,,,$356.70 ,,-,,B00178UTNC,0883905367535,8.83905E+11,B001792H5O,New Balance,no
"New Balance Made in USA 990v5 Men's Casual Running Shoes, Size 9 Blue",33696,28117,,,$353.50 ,$599.50 ,$369.30 ,A2O4XN2BBGRDQ,1,B09F6Z97WK,0739980822127,7.39981E+11,B07H2T76RK,New Balance,no
"New Balance Men's 1540 V3 Running Shoe, Grey/Black, 15 X-Wide",20070,20476,,,,$355.28 ,$352.28 ,-,,B07RK8F8RW,0193684556694,1.93685E+11,B07SBTGNWK,New Balance,no
"New Balance Men's Made in US 990 V5 Sneaker, Grey/Castlerock, 16",34414,28592,,,$199.97 ,$353.47 ,$286.91 ,ABP7VDOH06O4W,2,B0797B4LZZ,0192662166009,1.92662E+11,B07H2T76RK,New Balance,no
"New Balance Men's Made in US 990 V5 Sneaker, Grey/Castlerock, 12.5 X-Wide",34051,28366,,,$321.88 ,$353.47 ,$320.26 ,ANZYNJW9IIF9C,1,B07978X38B,0192662166429,1.92662E+11,B07H2T76RK,New Balance,no
"New Balance Men's Made in US 990 V5 Sneaker, Grey/Castlerock, 10.5 X-Wide",33892,28191,,,$321.88 ,$353.46 ,$320.26 ,-,1,B0797F7VRS,0192662166382,1.92662E+11,B07H2T76RK,New Balance,yes
"New Balance Women's Made in US 990 V5 Sneaker, Grey/Castlerock, 7.5 Narrow",71541,67717,,,,$350.60 ,$315.52 ,-,,B0791ZJMD1,0192662149576,1.92662E+11,B08986L1PD,New Balance,no
"New Balance Women's Made in US 990 V5 Sneaker, Grey/Castlerock, 9 Narrow",70324,67772,,,,$350.60 ,$316.17 ,-,,B0791T6VGJ,0192662149606,1.92662E+11,B08986L1PD,New Balance,no
"New Balance Men's 1540 V3 Running Shoe, Grey/Black, 9 Wide",20945,20515,$112.00 ,1,$112.00 ,$349.06 ,,-,0,B07RMVNGP6,0193684556434,1.93685E+11,B07SBTGNWK,New Balance,yes
"New Balance Men's Made in US 990 V5 Sneaker, Grey/Castlerock, 13 Wide",34423,28468,,,,$348.43 ,$199.95 ,-,,B07978X384,0192662166276,1.92662E+11,B07H2T76RK,New Balance,no
"New Balance Men's Made in US 990 V5 Sneaker, Black/Silver, 11.5 Wide",34377,28595,,,,$348.43 ,$316.88 ,-,,B07C79SF51,0192662912316,1.92663E+11,B07H2T76RK,New Balance,yes
"New Balance Men's Made in US 990 V5 Sneaker, Grey/Castlerock, 12 Wide",34125,28368,,,,$348.42 ,$215.29 ,-,,B0797CDNJM,0192662166252,1.92662E+11,B07H2T76RK,New Balance,no
"New Balance Men's Made in US 990 V5 Sneaker, Black/Silver, 12 Wide",33545,28101,,,,$347.76 ,$189.95 ,-,,B07C79WWSB,0192662912323,1.92663E+11,B07H2T76RK,New Balance,no
