Title,Sales Rank: 30 days avg.,Sales Rank: 90 days avg.,Buy Box: Current,Buy Box: Stock,New: Current,New: Highest,Referral Fee %,"New, 3rd Party FBM: 30 days avg.",Lowest FBM Seller,"Count of retrieved live offers: New, FBM",ASIN,Product Codes: EAN,Custom_SKU,Product Codes: UPC,Parent ASIN,Brand,Prime Eligible (Amazon offer),Google_Search_Link,Match,Amazon_link,Extraction_Link,Store,Price,Min Price,Max Price,Amazon_List_price,Can_List,Blacklisted,Curr_Listed?,Buy Box ðŸšš: Stock,"New, 3rd Party FBM ðŸšš: 30 days avg.",Prime Eligible (Buy Box),Buy Box : Current,Buy Box : Stock,Buy Bo : Current,Buy Box ðŸšš: Current,Curr_match,Buy Box 🚚: Stock,"New, 3rd Party FBM 🚚: 30 days avg.",Buy Box 🚚: Current
"Tommy Hilfiger Men's Crew Sweatshirt (Medium, Grey)",484679.0,471588.0,45.98,1.0,41.16,69.99,,,A1UHXTO3R3LMBX,1.0,B082K6XJKL,0008763225678,GB008763225678,8763225678.0,B082K9KY43,Tommy Hilfiger,,https://www.google.com/search?q=8763225678+Tommy+Hilfiger+Men%27s+Crew+Sweatshirt+%28Medium%2C+Grey%29&tbm=shop,Y,https://www.amazon.com/dp/B082K6XJKL?psc=1,"https://www.google.com/shopping/product/16083135096320890139/offers?q=008763225678&prds=cid:16083135096320890139,cond:1",,,,,,N,V,0.0,,,,,,,,,,,
"Tommy Hilfiger Men's Short Sleeve Button Down Shirt in Custom Fit, Blossom, MD",1287008.0,1196887.0,64.99,1.0,64.99,122.83,,,A1VB1EYNTDWCN4,1.0,B07XPRN2GV,0008763262857,GB008763262857,8763262857.0,B09C6YR6GL,Tommy Hilfiger,,https://www.google.com/search?q=8763262857+Tommy+Hilfiger+Men%27s+Short+Sleeve+Button+Down+Shirt+in+Custom+Fit%2C+Blossom%2C+MD&tbm=shop,Y,https://www.amazon.com/dp/B07XPRN2GV?psc=1,"https://www.google.com/shopping/product/4116892937716764630/offers?q=008763262857&prds=cid:4116892937716764630,cond:1",,,,,,N,V,0.0,,,,,,,,,,,
"Tommy Hilfiger Men's Short Sleeve Button Down Shirt in Custom Fit, Tangerine Tango, SM",1311480.0,1201144.0,57.99,1.0,57.99,109.6,,,A1VB1EYNTDWCN4,1.0,B07XPX9XRY,0008763262987,GB008763262987,8763262987.0,B09C6YR6GL,Tommy Hilfiger,,https://www.google.com/search?q=8763262987+Tommy+Hilfiger+Men%27s+Short+Sleeve+Button+Down+Shirt+in+Custom+Fit%2C+Tangerine+Tango%2C+SM&tbm=shop,Y,https://www.amazon.com/dp/B07XPX9XRY?psc=1,"https://www.google.com/shopping/product/10162168999784888021/offers?q=008763262987&prds=cid:10162168999784888021,cond:1",,,,,,N,V,0.0,,,,,,,,,,,
"Tommy Hilfiger Men's Regular Short Sleeve Crewneck T Shirt with Pocket, Lemon Zest, XS",17861.0,23005.0,29.5,1.0,29.5,29.5,,,A2MNTTLXBY99QF,1.0,B07XPDSJDB,0008763270142,GB008763270142,8763270142.0,B0B1C99YPK,Tommy Hilfiger,,https://www.google.com/search?q=8763270142+Tommy+Hilfiger+Men%27s+Regular+Short+Sleeve+Crewneck+T+Shirt+with+Pocket%2C+Lemon+Zest%2C+XS&tbm=shop,Y,https://www.amazon.com/dp/B07XPDSJDB?psc=1,"https://www.google.com/shopping/product/6330964728212994980/offers?q=008763270142&prds=cid:6330964728212994980,cond:1",,,,,,N,V,0.0,,,,,,,,,,,
"Tommy Hilfiger Men's Stretch Chino Pants in Custom Fit, Spiced Coral, 34W X 34L",7035208.0,6837510.0,80.5,1.0,80.5,120,,,A3MXVU2Y0BWEIR,1.0,B07XJR4N3R,0008763298177,GB008763298177,8763298177.0,,Tommy Hilfiger,,https://www.google.com/search?q=8763298177+Tommy+Hilfiger+Men%27s+Stretch+Chino+Pants+in+Custom+Fit%2C+Spiced+Coral%2C+34W+X+34L&tbm=shop,Y,https://www.amazon.com/dp/B07XJR4N3R?psc=1,"https://www.google.com/shopping/product/5679014220003392152/offers?q=008763298177&prds=cid:5679014220003392152,cond:1",,,,,,N,V,0.0,,,,,,,,,,,
"Tommy Hilfiger mens Long Sleeve Casual Button-down in Classic Fit Button Down Shirt, Beige Hilfiger, Small US",94330.0,88355.0,62.99,,62.99,69.99,,,A1VB1EYNTDWCN4,1.0,B0846KS4GG,0008763306995,GB008763306995,8763306995.0,B0C59MDR3Y,Tommy Hilfiger,,https://www.google.com/search?q=8763306995+Tommy+Hilfiger+mens+Long+Sleeve+Casual+Button-down+in+Classic+Fit+Button+Down+Shirt%2C+Beige+Hilfiger%2C+Small+US&tbm=shop,Y,https://www.amazon.com/dp/B0846KS4GG?psc=1,"https://www.google.com/shopping/product/12322155446711149283/offers?q=008763306995&prds=cid:12322155446711149283,cond:1",,,,,,N,V,0.0,,,,,,,,,,,
"Tommy Hilfiger Mens TH Flex 5 Pocket Chino Pants (Sky Captain, 32Wx30L)",1408835.0,1500249.0,,,,79.99,,,-,,B0867NR4LQ,0008763325262,GB008763325262,8763325262.0,B0867PGS9H,Tommy Hilfiger,,https://www.google.com/search?q=8763325262+Tommy+Hilfiger+Mens+TH+Flex+5+Pocket+Chino+Pants+%28Sky+Captain%2C+32Wx30L%29&tbm=shop,Y,https://www.amazon.com/dp/B0867NR4LQ?psc=1,"https://www.google.com/shopping/product/1240678133300378570/offers?q=008763325262&prds=cid:1240678133300378570,cond:1",,,,,,N,V,0.0,,,,,,,,,,,
"Tommy Hilfiger Mens Flat Front Academy Shorts (Mallet, 36W)",1686638.0,1641595.0,39.9,3.0,39.9,39.95,,,AC2TCRMMQCMQB,2.0,B08CSYTF4C,0008763325644,GB008763325644,8763325644.0,B087WJ6GDS,Tommy Hilfiger,,https://www.google.com/search?q=8763325644+Tommy+Hilfiger+Mens+Flat+Front+Academy+Shorts+%28Mallet%2C+36W%29&tbm=shop,Y,https://www.amazon.com/dp/B08CSYTF4C?psc=1,"https://www.google.com/shopping/product/7528514328892477720/offers?q=008763325644&prds=cid:7528514328892477720,cond:1",,,,,,N,V,0.0,,,,,,,,,,,
"Tommy Hilfiger mens Short Sleeve Logo T-shirt T Shirt, Bright White, 4X-Large Tall US",17460.0,18930.0,21.99,1000.0,,49.5,,,-,1.0,B084KN2NCG,0008763326696,GB008763326696,8763326696.0,B0B15MDJKQ,Tommy Hilfiger,,https://www.google.com/search?q=8763326696+Tommy+Hilfiger+mens+Short+Sleeve+Logo+T-shirt+T+Shirt%2C+Bright+White%2C+4X-Large+Tall+US&tbm=shop,Y,https://www.amazon.com/dp/B084KN2NCG?psc=1,"https://www.google.com/shopping/product/12081729531945591337/offers?q=008763326696&prds=cid:12081729531945591337,cond:1",,,,,,N,V,0.0,,,,,,,,,,,
"Tommy Hilfiger Men's Short Sleeve Signature Stripe T-Shirt, The Deep Black, X-Small",17346.0,19037.0,50.67,2.0,44.5,54.99,,,"A1DZESJ93XXY35, A48T25DC7FFOI",3.0,B081TV9WB8,0008763402499,GB008763402499,8763402499.0,B0B15MDJKQ,Tommy Hilfiger,,https://www.google.com/search?q=8763402499+Tommy+Hilfiger+Men%27s+Short+Sleeve+Signature+Stripe+T-Shirt%2C+The+Deep+Black%2C+X-Small&tbm=shop,Y,https://www.amazon.com/dp/B081TV9WB8?psc=1,"https://www.google.com/shopping/product/12081729531945591337/offers?q=008763402499&prds=cid:12081729531945591337,cond:1",,,,,,N,V,0.0,,,,,,,,,,,
