Title,Sales Rank: 30 days avg.,Sales Rank: 90 days avg.,Buy Box: Current,Buy Box: Stock,New: Current,New: Highest,"New, 3rd Party FBM 🚚: 30 days avg.",Lowest FBM Seller,"Count of retrieved live offers: New, FBM",ASIN,Product Codes: EAN,Product Codes: UPC,Parent ASIN,Brand,Prime Eligible (Buy Box)
"THE NORTH FACE Youth Alpenglow V Waterproof, Fuscia Pink/Crlsnrs, 13",166922,104831,,,$125.65 ,$125.65 ,$125.65 ,A20FLYA0IW2L9O,1,B09TSHM2QB,0196247344608,196247344608,B0BF1C8668,THE NORTH FACE,yes
"THE NORTH FACE Youth Alpenglow V Waterproof Boot, Optic Blue/TNF Black, 6",164460,250986,,,,$131.16 ,$121.37 ,-,,B0BZ8Y2DBK,0196573296077,196573296077,B0BF1C8668,THE NORTH FACE,yes
"THE NORTH FACE Women's Winter Warm Essential ¼ Zip, Vanadis Grey, Large",606368,528372,,,,$126.44 ,,-,,B09V3H56YR,0196012539543,196012539543,B0B82PSRWZ,THE NORTH FACE,yes
"THE NORTH FACE Women's Westbrae Knit Jogger (Standard and Plus Size), TNF Medium Grey Heather, X-Small Regular",671306,1007239,$70.00 ,5,$70.00 ,$138.38 ,$70.00 ,AI815W1WMD729,1,B0B2JRNLR3,0196246232388,196246232388,B0B5MHQK79,THE NORTH FACE,no
"THE NORTH FACE Women's Waterproof Antora Parka (Standard and Plus Size), TNF Black, 3X",80339,90529,,,,$204.00 ,$127.20 ,-,,B09JTRX3C5,0680975966121,680975966121,B0CP6KKSZS,THE NORTH FACE,yes
"THE NORTH FACE Women's Waterproof Antora Parka (Standard and Plus Size), Asphalt Grey, Large",79424,89046,,,,$216.77 ,$196.35 ,-,,B0BHTHSQXT,0196010641767,196010641767,B0CP6KKSZS,THE NORTH FACE,yes
"THE NORTH FACE Women's Waterproof Antora Jacket (Standard and Plus Size), TNF Black/Wild Ginger Snowcap Mountains Print, Small",18439,23292,$142.56 ,1,$142.56 ,$164.57 ,$158.80 ,A20FLYA0IW2L9O,1,B09V3FRBZM,0196247412192,196247412192,B0CPW73SP5,THE NORTH FACE,no
"THE NORTH FACE Women's Waterproof Antora Jacket (Standard and Plus Size), Lime Cream, Large",18328,23092,,,,$112.74 ,,-,,B0BHTHZGTM,0196011668695,196011668695,B0CPW73SP5,THE NORTH FACE,yes
"THE NORTH FACE Women's Wander Short Sleeve Tee (Standard and Plus Size), TNF Light Grey Heather, Large",620202,664132,,,$84.43 ,$96.24 ,$86.10 ,A20FLYA0IW2L9O,1,B09KNXC8B3,0196009345072,196009345072,B08MV7SRTX,THE NORTH FACE,no
"THE NORTH FACE Women's Wander Short Sleeve Tee (Standard and Plus Size), TNF Black 2, X-Large",639044,652687,,,$88.87 ,$88.87 ,$88.80 ,A20FLYA0IW2L9O,1,B09KP1FSMC,0196009346390,196009346390,B08MV7SRTX,THE NORTH FACE,no
"THE NORTH FACE Women's Wander Performance Short, TNF Black 1, Large Regular",171882,561052,,,$88.84 ,$108.32 ,$88.79 ,A20FLYA0IW2L9O,1,B08MVB79H7,0193395851477,193395851477,B0CW395L9L,THE NORTH FACE,no
"THE NORTH FACE Women's Wander Performance Short, Pink Moss Abstract Geology Print, XX-Large Short",170020,174561,,,,$104.34 ,$104.34 ,-,,B0BZ8YM1WY,0196573202511,196573202511,B0CW395L9L,THE NORTH FACE,no
"THE NORTH FACE Women's Wander Performance Short, Pink Moss Abstract Geology Print, X-Small Short",168364,171950,,,,$104.34 ,$104.34 ,-,,B0BZ8WX2W6,0196573202313,196573202313,B0CW395L9L,THE NORTH FACE,no
"THE NORTH FACE Women's Wander Performance Short, Pink Moss Abstract Geology Print, X-Large Short",164598,168427,,,,$104.34 ,$104.34 ,-,,B0BZ8Z2P6X,0196573202214,196573202214,B0CW395L9L,THE NORTH FACE,no
"THE NORTH FACE Women's Wander Performance Short, Pink Moss Abstract Geology Print, Small Short",168767,168653,,,,$104.34 ,$104.34 ,-,,B0BZ8XRK4N,0196573202115,196573202115,B0CW395L9L,THE NORTH FACE,no
"THE NORTH FACE Women's Wander Performance Short, Pink Moss Abstract Geology Print, Medium Short",166351,169650,,,,$104.34 ,$104.34 ,-,,B0BZ8XFGF6,0196573201965,196573201965,B0CW395L9L,THE NORTH FACE,no
"THE NORTH FACE Women’s Venture 2 Waterproof Hooded Rain Jacket (Standard and Plus Size), TNF Black 1, XX-Large",209986,440885,,,$176.40 ,$176.40 ,$134.61 ,A20FLYA0IW2L9O,1,B01GQUWH80,0190289531149,190289531149,B09Z79Q695,THE NORTH FACE,no
