Title,Sales Rank: 30 days avg.,Sales Rank: 90 days avg.,Buy Box: Current,Buy Box: Stock,New: Current,New: Highest,"New, 3rd Party FBM 🚚: 30 days avg.",Lowest FBM Seller,"Count of retrieved live offers: New, FBM",ASIN,Product Codes: EAN,Product Codes: UPC,Parent ASIN,Brand,Prime Eligible (Buy Box)
"TYR Women's Standard Durafast One Diamondfit Swimsuit, Dark Grey, 30",158257,131901,,,,$92.14,$90.52,-,,B084D41HWY,3.67E+10,036702983020,B09LRVW2KW,TYR,no
"Kate Spade New York Women's Classic Evergreen Sleepshirt, KS51506, Scattered Dot Pink, S",3980269,5680048,$137.41,1,$137.41,$137.41,$137.41,ANZYNJW9IIF9C,1,B079RKJFXG,4.08E+10,040758506751,,Kate Spade New York,no
Kate Spade New York Gold-Tone Pavé Fox Cuff Bracelet,2085922,2085922,,,$213.16,$213.16,$213.16,-,1,B07MPQK3XL,9.87E+10,098686709041,,Kate Spade New York,no
Tory Burch Womens Miller Plated Brass Logo Stud Earring O/S,3055341,3141855,,,$152.12,$156.74,$129.37,ANZYNJW9IIF9C,1,B07943N4RC,1.90E+11,190041811991,,Tory Burch,no
"THE NORTH FACE FP Homestead Domey 3, Asphalt Grey, OS",768528,911203,$108.87,1,$108.87,$115.76,$108.87,ANZYNJW9IIF9C,1,B078Z3N2PJ,1.90E+11,190284952680,,THE NORTH FACE,no
"Lacoste Women's Legacy Short Sleeve Slim Fit Stretch Pique Polo Shirt, Blanc, 6",317834,342975,,,$146.97,$204.32,$146.97,ANZYNJW9IIF9C,1,B071J96D88,1.90E+11,190391401774,B081DM2BHD,Lacoste,no
"THE NORTH FACE Women's Venture 2 1/2 Zip Pants, TNF Black - Large Long",1187881,1119008,,,$178.75,$189.31,$174.32,ANZYNJW9IIF9C,1,B01GQUV2KY,1.91E+11,190541578677,B076T8NQ9N,THE NORTH FACE,no
THE NORTH FACE Apex Barrier Soft Shell Jacket. NF0A3LGT TNF Medium Grey Heather XL,2843846,1971973,,,$286.06,$339.06,,-,,B0778K8N5R,1.91E+11,191167689907,B0CX45F5F1,THE NORTH FACE,no
"New Balance Men's 1700 Walking Shoe, Size: 12.5 Width: D Color: Black",1036531,1676253,,,,$305.53,$259.45,-,,B075R81FXD,1.92E+11,191902046927,B07FLCM71B,New Balance,no
"New Balance Men's Cross Country Seven Spike Running Shoe, Black/Black, 12 D US",4031347,4374180,$58.30,1,$58.30,$153.88,$58.30,ANZYNJW9IIF9C,1,B075R7NCWL,1.92E+11,191902061692,B0784DCGXG,New Balance,no
"THE NORTH FACE Women's Arrowood Triclimate Jacket, TNF Black/TNF Black, X-Small",1078537,1104197,$177.85,1,$177.85,$267.09,$179.76,ANZYNJW9IIF9C,1,B07FKCK7DB,1.92E+11,192362120561,B086S7P5V5,THE NORTH FACE,no
The North Face Mens Campshire Earflap Hat Asphalt Grey One Size,2989336,7694857,,,,$84.38,$80.09,-,,B07MRHN92V,1.92E+11,192363602820,,THE NORTH FACE,no
THE NORTH FACE Thermoball Eco Vest Tnf Black Matte SM,517463,500800,$184.19,1,$184.19,$192.69,$157.36,ANZYNJW9IIF9C,1,B07MXM93R7,1.92E+11,192364478097,B0CNLJ2S96,THE NORTH FACE,no
Tory Burch Women's Gold Miller Large Hoops Earrings,2260387,3149003,,,$272.48,$272.48,$272.48,ANZYNJW9IIF9C,1,B089LTN1G8,1.92E+11,192485510737,,Tory Burch,no
Tory Burch Women's Miller Leather Laser Cut T-Strap Thong Sandal Gray Size 6,36387,49330,,,$336.18,$357.52,$337.17,ANZYNJW9IIF9C,1,B08CKFK59P,1.92E+11,192485590203,B07BHJGWD5,Tory Burch,yes
"Tory Burch Women's Patos Slides, Burnt Cuoio, Brown, 9.5 Medium US",786782,889371,$297.71,1,$297.71,$297.71,$297.71,ANZYNJW9IIF9C,1,B08R1MW3J2,1.92E+11,192485764840,B08VYF2KND,Tory Burch,no
"Tory Burch Women's Hank Sneakers, Snow White/Beige, 6.5 Medium US",2149392,1945780,,,,$436.05,,-,,B09538BXC9,1.92E+11,192485885248,B09851N2YD,Tory Burch,no
"New Balance Women's Made in US 990 V5 Sneaker, Black/Silver, 9.5",68353,59913,$157.45,2,$157.45,$334.00,$256.09,A2CEINIO4OPLWL,3,B07C7N6PF2,1.93E+11,192662914693,B08986L1PD,New Balance,yes
"New Balance Women's Made in US 990 V5 Sneaker, Black/Silver, 10.5",67047,59447,,,,$335.35,$252.26,-,,B07C7NT6W7,1.93E+11,192662914716,B08986L1PD,New Balance,yes
"New Balance mens 442 1.0 Pro Firm Ground V1 Soccer Shoe, Green/White, 8 US",827838,786027,,,$207.26,$216.83,$207.26,ANZYNJW9IIF9C,1,B07DVKPQPC,1.93E+11,192983389828,B093SJQND3,New Balance,no
"Lacoste men's Chaymon 0120 1 Cma Sneaker, Black/Green, 9 US",37055,31621,,,,$244.82,$221.22,-,,B0832BDND8,1.93E+11,193367448919,B097FTM3LT,Lacoste,yes
"Lacoste Men's Croco Slide Sandal, WHT/Off WHT, 13",54184,47344,,,,$49.95,$40.00,-,,B097FFNNGX,1.93E+11,193367733275,B072K75LV9,Lacoste,no
The North Face Base Camp Duffel M Kelp Tan Tnf Camo Print/Tnf Black One Size,154298,155853,$190.71,,$190.71,$271.88,$218.62,ANZYNJW9IIF9C,1,B09SM5M8RC,1.93E+11,193391964454,B078KNPJQ9,THE NORTH FACE,no
"THE NORTH FACE Girls' Reversible Mossbud Swirl Jacket, Paradise Pink, L",1272057,1217481,,,$199.10,$275.00,$199.10,ANZYNJW9IIF9C,1,B08BDQMD4S,1.93E+11,193394637614,B08F9Q52TQ,THE NORTH FACE,no
"THE NORTH FACE Women's Canyonlands Full Zip Hooded Sweatshirt (Standard and Plus Size), TNF Black 2, X-Large",64003,76185,$100.00,,$100.00,$145.22,$119.17,-,0,B09KMF9SJ6,1.93E+11,193394972449,B07TLD9MBN,THE NORTH FACE,yes
"New Balance Men's 411 V1 Training Shoe, Pigment/White, 12 X-Wide",49653,42912,$70.00,88,$70.00,$157.99,$138.64,ALNXDINFJN088,1,B07PJY18RQ,1.94E+11,193684164950,B089XCM1R8,New Balance,no
"New Balance mens Fresh Foam Roav V1 Sneaker, Black/Light Aluminum, 9 Wide US",954,1276,,,$115.95,$135.77,$111.39,A2L9RNVXU1JUYD,3,B07RK228SK,1.94E+11,193684935994,B096PR9JCT,New Balance,yes
"New Balance Men's Fresh Foam Roav V1 Sneaker, Black/Light Aluminum, 11 W US",953,1284,,,$119.95,$174.24,$130.04,-,0,B07RGTKHJB,1.94E+11,193684936038,B096PR9JCT,New Balance,yes
"New Balance Men's Fresh Foam 1080 V10 Running Shoe, Black/Steel, 11.5",61557,78362,,,,$208.29,$199.10,-,,B07RQ15YVJ,1.94E+11,193684985296,B07RMK42HW,New Balance,yes
Buffalo David Bitton Super Max-X Jeans Sanded Indigo Men's Super Skinny (29x32),3908348,3611173,,,$137.35,$165.43,$137.35,ANZYNJW9IIF9C,1,B088HK6SGN,1.94E+11,193851621699,,Buffalo David Bitton,no
"Buffalo David Bitton Men's Slim Ash Jeans, Dark and Sanded Black, 32W x 32L",19354,19648,,,$126.37,$126.37,$126.37,ANZYNJW9IIF9C,1,B08Q8R8VZM,1.94E+11,193851724260,B0BNYJZYZD,Buffalo David Bitton,yes
"Lacoste Men's Long Sleeve Full Zip Cotton Jersey Sweater, Navy Blue, M",699611,740812,,,,$275.71,$155.04,-,,B08QDQP4DD,1.94E+11,193869513696,B0CTXLMKL3,Lacoste,yes
"THE NORTH FACE Women's Paramount Hybrid High Rise Tight, Asphalt Grey, Large",986446,924240,,,,$166.81,$119.72,-,,B07TWHB7N8,1.94E+11,194112090414,B0848KCXY5,THE NORTH FACE,no
"THE NORTH FACE Men’s Apex Bionic 2 Jacket (Standard and Tall Sizes), TNF Dark Grey Heather, X-Small",210956,148787,$94.25,1,$94.25,$149.95,$95.97,ANZYNJW9IIF9C,2,B08BF48JQX,1.94E+11,194115693070,B07B8KVD3B,THE NORTH FACE,yes
"THE NORTH FACE Men’s Apex Bionic 2 Jacket (Standard and Tall Sizes), Aviator Navy Heather, Large Tall",207867,183137,$190.34,1,$190.34,$274.01,$190.34,ANZYNJW9IIF9C,1,B08BF55QWH,1.94E+11,194115696064,B07B8KVD3B,THE NORTH FACE,no
"New Balance Unisex MR530 Sneaker, White/Natural Indigo, 7.5 US Men",140306,320903,,,$184.40,$238.55,$154.68,ANZYNJW9IIF9C,1,B082WJF9FR,1.94E+11,194182854855,B005DCLTP0,New Balance,no
Laura Mercier Mini Ultra-Blur Talc-Free Translucent Loose Setting Powder Translucent,282015,272877,,,$41.46,$80.74,$62.78,A39WWGXFOLEB1L,2,B0CBQQZ8CV,1.94E+11,194250047554,,Laura Mercier,no
"New Balance mens 840 V4 Running Shoe, Black/White, 12.5 Wide US",585432,496717,,,$213.81,$220.29,$213.81,ANZYNJW9IIF9C,1,B0815XVV1B,1.94E+11,194389550949,B01N2JJAR1,New Balance,no
"New Balance Men's Fresh Foam 3000 V5 Turf-Trainer Baseball Shoe, Black/White, 5",445947,341702,,,$163.09,$164.75,,-,,B08167DGB4,1.94E+11,194389872645,B0BQ7WJRMM,New Balance,no
"New Balance mens Fresh Foam Beacon V3 Running Shoe, Black/White, 10 US",621350,547430,$143.85,1,$143.85,$165.31,$143.85,ANZYNJW9IIF9C,1,B0815WR1QJ,1.94E+11,194389952712,B0815TSM1X,New Balance,no
"New Balance Women's Fresh Foam 880v11, Grey/Sky, 8 Medium",144796,140386,,,$228.51,$228.51,$196.32,ANZYNJW9IIF9C,1,B08RXVTKS8,1.95E+11,194768660474,B08RY22ZM1,New Balance,no
