"Title","Sales Rank: 30 days avg.","Sales Rank: 90 days avg.","Buy Box 🚚: Current","Buy Box 🚚: Stock","New: Current","New: Highest","New, 3rd Party FBM 🚚: 30 days avg.","Lowest FBM Seller","Count of retrieved live offers: New, FBM","ASIN","Product Codes: EAN","Product Codes: UPC","Parent ASIN","Brand","Prime Eligible (Buy Box)"
"Brooks Women's Adrenaline GTS 22 Supportive Running Shoe - Peacoat/Blue Iris/Rhapsody - 8.5 Wide","83","71","","","$ 174.00","$ 174.00","$ 158.57","A3ERVGYWNCMJRK","1","B0BHKZ7J72","0195394226300","195394226300","B0C62SXDLR","Brooks","no"
"Brooks Women's Adrenaline GTS 22 Supportive Running Shoe - Purple/Dutch Blue/Lilac - 6 Medium","83","71","","","$ 169.75","$ 209.99","$ 169.75","A1MLP04OASBI2Z","1","B09MZMMSCZ","0195394089400","195394089400","B0C62SXDLR","Brooks","yes"
"Brooks Women's Adrenaline GTS 22 Supportive Running Shoe - Alloy/Blue/Green - 10 X-Wide","82","70","","","$ 163.09","$ 265.90","$ 163.08","A1MLP04OASBI2Z","1","B08QTY9VKK","0190340947056","190340947056","B0C62SXDLR","Brooks","yes"
"Brooks Women's Adrenaline GTS 22 Supportive Running Shoe - Black/Black/Ebony - 8 Medium","83","71","","","$ 139.99","$ 194.99","$ 136.38","A114I0OUP3FTFB","1","B08QVG4FP9","0190340946301","190340946301","B0C62SXDLR","Brooks","yes"
"Brooks Women's Adrenaline GTS 22 Supportive Running Shoe - Purple/Dutch Blue/Lilac - 10 Medium","83","71","","","$ 169.75","$ 209.99","$ 108.67","A1MLP04OASBI2Z","1","B09MZMHZWP","0195394089486","195394089486","B0C62SXDLR","Brooks","yes"
"Brooks Women's Adrenaline GTS 22 Supportive Running Shoe - Peacoat/Blue Iris/Rhapsody - 5.5 Medium","83","71","$ 109.95","6","$ 109.95","$ 182.00","$ 106.28","AZ3EGFUU23A8C","2","B0BHL2FNJH","0195394226119","195394226119","B0C62SXDLR","Brooks","no"
"Brooks Women's Adrenaline GTS 22 Supportive Running Shoe - Lilac/Tempest/Pink - 6.5 Medium","84","71","","","$ 173.00","$ 199.99","$ 159.46","A2F3F8BB3QYULR","1","B09MZLP7JJ","0195394075809","195394075809","B0C62SXDLR","Brooks","no"
"Brooks Women's Adrenaline GTS 22 Supportive Running Shoe - Blue/Purple/Nightlife - 11 Medium","84","71","","","$ 164.00","$ 164.00","$ 160.21","A2650U6VN1Z6TA","1","B09MJRFJBR","0195394031812","195394031812","B0C62SXDLR","Brooks","yes"
"Brooks Women's Adrenaline GTS 22 Supportive Running Shoe - Alloy/Blue/Green - 5.5 Medium","83","70","","","$ 130.35","$ 163.09","$ 130.26","A1QH0GIGON2008","1","B08QV5Q8KQ","0190340946684","190340946684","B0C62SXDLR","Brooks","yes"
"Brooks Women's Adrenaline GTS 22 Supportive Running Shoe - Peacoat/Cobalt/Mauve - 9 Medium","84","71","","","","$ 199.99","$ 168.51","-","","B09MZNCC97","0195394089318","195394089318","B0C62SXDLR","Brooks","yes"
"Brooks Women's Adrenaline GTS 22 Supportive Running Shoe - Peacoat/Blue Iris/Rhapsody - 5.5 Narrow","84","72","","","$ 134.99","$ 134.99","$ 122.72","-","1","B0BHKKDH3G","0195394226102","195394226102","B0C62SXDLR","Brooks","no"
"Brooks Women's Adrenaline GTS 22 Supportive Running Shoe - Black/Black/Ebony - 10.5 Medium","83","71","","","","$ 181.00","$ 159.93","-","","B08QV46SHD","0190340946400","190340946400","B0C62SXDLR","Brooks","yes"
"Brooks Women's Adrenaline GTS 22 Supportive Running Shoe - Peacoat/Blue Iris/Rhapsody - 8 Medium","84","71","","","$ 139.99","$ 140.00","$ 150.12","A114I0OUP3FTFB","3","B0BHKSH7CP","0195394226263","195394226263","B0C62SXDLR","Brooks","yes"
