Title,Buy Box: Current,Buy Box Seller,Buy Box: Is FBA,Amazon: Current,New: Current,New: Highest,ASIN,Product Codes: EAN,Product Codes: UPC,Parent ASIN,Brand
Cole Haan Originalgrand Wing Ox Golf Optic White/Navy Blazer/Burnt Ochre/Gum 12 D (M),$159.20 ,3rd Party (AUTFUZM21LT4F),no,,$159.20 ,$213.68 ,B0BYZ7F2WB,0196414233858,196414233858,B0BTNT4QXF,Cole Haan
"Cole Haan Women's Addie Strappy Sandals Heeled, Black Leather, 9",$99.99 ,3rd Party (AH1YFAUS3NHX2),yes,,$99.99 ,$99.99 ,B0CBCQSYNQ,0196414429381,196414429381,B0CG117ZR3,Cole Haan
"New Balance Women's 327 Sneaker, Moonbeam/Black, 6",,,no,,$204.09 ,$221.95 ,B0C9VKNCMY,0197375468112,197375468112,B0CK623514,New Balance
"Cole Haan Men's 5.Zerogrand Runner Sneaker, Pacific Blue/Tornado/Black, 11.5",,,no,,$179.99 ,$200.00 ,B0BYLRQDVF,0196414352191,196414352191,B0BPXD862F,Cole Haan
"Cole Haan Men's American Classics Pinch Penny Loafer, British Tan Scotch, 9 Wide",,,no,,$227.99 ,$227.99 ,B0BPWK9692,0196414321579,196414321579,B0BPX1BRDW,Cole Haan
"New Balance Men's Striker v3 Golf Shoe, White/Blue/Red, 9.5 Wide",,,no,,$114.98 ,$129.99 ,B09C13TXZQ,0889993227720,889993227720,B09C1H151V,New Balance
"New Balance Boys Active Shorts 4 Pack Performance Mesh Basketball Shorts Workout Gym Shorts for Boys (4-20), Size 14-16, OliveSlate Grey",$52.99 ,3rd Party (A2AFJ1SJWF3R1X),yes,,$52.99 ,$52.99 ,B0CJ1HNRM4,0195187854734,195187854734,B0CQRGR9RC,New Balance
"New Balance Boys Active Shorts 4 Pack Performance Mesh Basketball Shorts Workout Gym Shorts for Boys (4-20), Size 10-12, StoneBlue Laguna",$47.99 ,3rd Party (A2AFJ1SJWF3R1X),yes,,$47.99 ,$52.99 ,B0CJ1HN9YG,0195187854765,195187854765,B0CQRGR9RC,New Balance
"New Balance Women's Fresh Foam Velo V3 Molded Softball Shoe, Black/White, 13",,,yes,,,$89.99 ,B09K4TY7CW,0196307527682,196307527682,B0CLTTLZ7V,New Balance
Cole Haan 4.Zerogrand Oxford Black/Black 13 D (M),,,no,,$225.99 ,$230.95 ,B08GFJDZXX,0194736204679,194736204679,B0BPXVCQB6,Cole Haan
"Steve Madden Women's Bryar Ballet Flat, Black, 9",$72.41 ,3rd Party (A3V17JP5RCORRR),no,,$64.99 ,$128.62 ,B0BXQ4GP9N,0197369284353,197369284353,B0BWL9DPB5,Steve Madden
