"Title","Sales Rank: 30 days avg.","Sales Rank: 90 days avg.","Buy Box 🚚: Current","Buy Box 🚚: Stock","New: Current","New, 3rd Party FBM 🚚: 30 days avg.","Lowest FBM Seller","Count of retrieved live offers: New, FBM","ASIN","Product Codes: EAN","Product Codes: UPC","Parent ASIN","Brand","Prime Eligible (Buy Box)"
"Columbia Men's PHG Terminal Shot Game LS, Zinc/Blaze Dog Flag, Large","209596","213439","","","","$ 74.92","-","","B09KNWS9KK","0194895457664","194895457664","B08N2J5SJN","Columbia","no"
"Columbia Men's PHG Terminal Shot Game LS, Iron/Chalk Dog Flag, Large","230070","206443","$ 44.00","2","$ 44.00","$ 44.00","A3MI4PP8HUEEDQ","1","B09KNVKWPP","0194895457749","194895457749","B08N2J5SJN","Columbia","no"
"Columbia Baby Snuggly Bunny Bunting, Collegiate Navy Winterlands, 12/18","310286","215744","","","","$ 75.72","-","","B09KMLRYZJ","0194895460374","194895460374","B0CTJ2HFXG","Columbia","no"
"Columbia Baby Snuggly Bunny Bunting, Collegiate Navy Scrapscape Tonal, 12/18","1196462","1149030","","","","$ 75.62","-","","B09KMLTZCW","0194895460459","194895460459","B09TFFZ79Z","Columbia","no"
"Columbia Baby Snuggly Bunny Bunting, Black, 6/12","316913","221361","","","$ 89.99","$ 90.75","AS2PH0PQOWCVI","1","B09KMMQXDD","0194895460596","194895460596","B0CTJ2HFXG","Columbia","yes"
"Columbia Unisex Bugaboo Beanie, Red Jasper, One Size","182511","182511","","","$ 17.00","$ 21.99","A3OHBCXUTBTWI5","1","B09KP6VCLV","0194895460992","194895460992","B09KSKNZRY","Columbia","no"
"Columbia Women's Hike Pant, Black, X-Large","397609","312566","$ 51.98","1","$ 32.50","$ 51.98","A20DWJ220BE4A3","4","B09KMY74WQ","0194895466055","194895466055","B0CL84QJB8","Columbia","no"
"Columbia Men's Point Park Insulated Jacket, Spruce/Dark Mountain, Large","292452","272696","","","","","-","","B09KMD271B","0194895474043","194895474043","B09XB3J6W2","Columbia","yes"
"Columbia Men's Big & Tall Hart Mountain II Crew, Spruce, Large B&T","1305287","984477","","","","$ 162.60","-","","B09KMG76D8","0194895475934","194895475934","B0C219H9NF","Columbia","no"
"Columbia Men's Watertight II Jacket, New Olive, Medium","1301913","984338","","","$ 145.00","$ 149.99","A3S4HATA5FO3NO","1","B09KMF8FYS","0194895476023","194895476023","B0C219H9NF","Columbia","yes"
"Columbia Men's Watertight II Jacket, Warm Copper, 6X Big","1231","1199","","","","","-","","B09KMG8WX3","0194895476351","194895476351","B088YDVJH8","Columbia","no"
"Columbia Men's Watertight II Jacket, Warm Copper, 1X Big","1229","1219","","","","","-","","B09KMFZ422","0194895476405","194895476405","B088YDVJH8","Columbia","no"
"Columbia Men's Grand Trek II Down Hooded Jacket, Black, 6X Big","675164","508004","","","$ 214.30","","-","1","B09KMJL5RN","0194895511557","194895511557","B09KMX1T9H","Columbia","no"
"Columbia Men's Bonehead SS Shirt, Compass Blue, Large","8404","8723","","","","","-","","B09KNWXBJN","0194895512554","194895512554","B081W8WLGH","Columbia","no"
"Columbia Men's Collegiate Super Tamiami Long Sleeve Shirt, ALA-Red Velvet Gameday Plaid, Large","1046703","927980","","","$ 164.55","$ 153.70","A1B43WMIJ58I3U","1","B09KNV5GJC","0194895515586","194895515586","B0B3S4132W","Columbia","yes"
"Columbia Men's Glennaker Sherpa Lined Jacket, Shark/Metal, Medium","206782","160753","$ 106.38","1","$ 99.00","$ 106.11","AJO8C4WV3T95K","1","B09KMDL4SQ","0194895520306","194895520306","B07KCJSCW3","Columbia","no"
"Columbia Youth Girls Powder Lite Hooded Jacket, Black, Large","455561","356849","","","","$ 107.58","-","","B09KMDJ6CL","0194895527435","194895527435","B081KRTYSS","Columbia","no"
"Columbia Youth Girls Powder Lite Hooded Jacket, Black, X-Large","485415","367107","","","","$ 122.82","-","","B09KMDQB1K","0194895527442","194895527442","B081KRTYSS","Columbia","no"
"Columbia Men's Canyon Meadows Softshell Jacket, Black, Large","406797","342102","","","","","-","","B09KMB5HHG","0194895529545","194895529545","B0BPMYH3J8","Columbia","yes"
"Columbia Women's Glacial IV Half Zip, Blush Pink, Medium","44168","43731","","","","","-","","B09KML85LN","0194895530329","194895530329","B0994B2RHZ","Columbia","yes"
"Columbia Men's Cloudcap Fleece Glove, Stone Green/Shark, Large","1067383","910376","","","","","-","","B09KS5VR4X","0194895533986","194895533986","B0BN2NHZR2","Columbia","yes"
"Columbia Toddler Unisex Steens Mountain Overlay Hoodie, White Checkpoint/Pink Ice, 3T","729288","837433","","","","$ 39.99","-","","B09KMK18QR","0194895538905","194895538905","B0CT2BJFXM","Columbia","no"
"Columbia Men's Pike Lake Jacket, Warm Copper/Black, X-Large","601474","493067","$ 133.46","1","$ 128.00","$ 125.18","A1LAS6P62R75P0","1","B09KMDVW21","0194895547532","194895547532","B01N7LHH17","Columbia","no"
"Columbia Men's Pike Lake Jacket, Warm Copper/Black, Small","577537","511352","","","","","-","","B09KMFW518","0194895547556","194895547556","B01N7LHH17","Columbia","yes"
"Columbia Men's Great Hart Mountain III Half Zip, Collegiate Navy Heather, X-Large","283269","223463","","","$ 79.99","$ 79.99","A15KSQ8GBEWJ3O","1","B09KP38SFR","0194895547990","194895547990","B0CQ8HCHZV","Columbia","yes"
"Columbia Women's North Cascades Long Sleeve Tee, Peach Blossom/CSC Branded Solarize SLV, Large","326976","343525","","","$ 50.00","$ 50.00","A1LOKCCZ6T9D0E","1","B09KNXGRMG","0194895550211","194895550211","B09KP8M823","Columbia","no"
"Columbia Unisex PHG Logo Mesh Snap Back - High, Black, One Size","763492","432126","","","","","-","","B09KPBDCCM","0194895550549","194895550549","","Columbia","yes"
"Columbia Men's PHG Ascender Softshell Vest, Flax/Rt Edge, X-Large","294398","455456","","","","$ 78.28","-","","B09KMGBVMT","0194895557555","194895557555","B0CTT5C1CX","Columbia","yes"
