"Title","Buy Box 🚚: Current","Amazon: Current","New: Current","New: Highest","New, 3rd Party FBM 🚚: Current","eBay Used 🚚: Current","Count of retrieved live offers: New, FBM","ASIN","Product Codes: EAN","Product Codes: UPC"
"Nike Flex Plus Kids Casual Running Shoe, Football Grey/Cosmic Fuchsia, 8 Toddler","","","","$ 98.38","","","","B0C5S4WH78","0196154600798","196154600798"
"Nike Boy's Gymnastics Shoes Sneaker, Summit White Diffused Blue Light Bone, 6 AU","$ 79.48","","$ 69.99","$ 90.00","$ 79.48","","1","B0BNJR2YGN","0196154602020","196154602020"
"Nike Boy's Gymnastics Shoes Sneaker, Summit White Diffused Blue Light Bone, 38.5 EU","","","$ 74.99","$ 103.51","$ 84.48","","2","B0BNJLQR21","0196154602037","196154602037"
"Nike Unisex-Child Flex Runner 2 Running Shoes Citron Tint/Pearl Pink 10 Toddler","","","","$ 104.45","","","","B0BNJS5LQB","0196154602471","196154602471"
"Giannis Immortality 2 (DQ1942-002, Black/Electric Algae/University Gold/Pink Glow) Size 1","$ 106.34","","$ 98.39","$ 113.96","$ 106.34","","5","B0CWMDWHZL","0196154604994","196154604994"
"Nike Mens Giannis Immortality 2 (Gs) Running Shoe, HOT PUNCH/UNIVERSITY BLUE-PINK FOAM, 4.5 UK (5 US)","","","$ 121.74","$ 185.39","","","4","B0BWS63GH2","0196154605274","196154605274"
"Nike Giannis Immortality 2 (Big Kid) Hot Punch/University Blue/Pink Foam 7 Big Kid M","$ 120.00","","$ 110.90","$ 182.00","$ 119.89","","6","B0BS6TJH64","0196154605311","196154605311"
"Nike Kid's Freak 4 (GS) Basketball Shoes (Deep Royal Blue/Opti Yellow/Bright Crimson/University Gold, us_Footwear_Size_System, Big_Kid, Men, Numeric, Medium, Numeric_6)","$ 119.98","","$ 109.99","$ 176.39","","","1","B0C11WQZKP","0196154608541","196154608541"
"Nike Dunk Low Men Black/University Red-White FB3354-001 8","$ 171.19","","$ 170.85","$ 329.99","$ 170.22","","4","B0BVGVPWB2","0196154770231","196154770231"
"Nike Dunk Low Men Black/University Red-White FB3354-001 12","$ 183.75","","$ 183.75","$ 329.99","$ 183.75","","3","B0BW52DC8T","0196154770316","196154770316"
"Nike Mens Team Legend Short Sleeve Crew T-Shirt (as1, Alpha, l, Regular, Regular, Carbon Heather)","$ 31.38","","$ 31.38","$ 80.95","$ 31.95","","4","B0C5ZHPQLJ","0196154790840","196154790840"
"Nike Mens Team Legend Short Sleeve Crew T-Shirt (Medium, Team Maroon)","$ 31.95","","$ 31.95","$ 81.18","$ 31.95","","2","B0C5ZKZT8Y","0196154791465","196154791465"
"Nike Womens Legend Short Sleeve Crew T-Shirt (as1, Alpha, l, Regular, Regular, White)","$ 38.84","","$ 38.84","$ 80.95","$ 38.84","","2","B0C6VQB2CG","0196154794961","196154794961"
