Title,Buy Box 🚚: Current,Amazon: Current,New: Current,New: Highest,"New, 3rd Party FBM 🚚: Current",eBay Used 🚚: Current,"Count of retrieved live offers: New, FBM",ASIN,Product Codes: EAN,Product Codes: UPC
"Birkenstock A 630 Polyurethane Black Womens Clog 44 EU, 11 Mens",$88.90 ,,$64.90 ,$150.00 ,,,,B001I3NI1G,4.01153E+12,4011526570737
"Birkenstock womens Arizona Leather sandal, Blue, 10-10.5",,,$184.52 ,$267.32 ,$209.95 ,,1,B07KLSQGS7,4.01153E+12,4011526904235
Arizona Soft Footbed,$135.00 ,,$135.00 ,$175.99 ,$135.00 ,,2,B07KM5FFKT,4.01153E+12,4011526904310
"Birkenstock Men's Heels Open Toe Sandals, Blue Bleu Bleu, 11",,,$184.52 ,$269.55 ,$209.95 ,,3,B07KMBBVVY,4.01153E+12,4011526904358
Arizona Soft Footbed,$202.95 ,,$184.52 ,$276.35 ,$175.95 ,,3,B07KLT5L8R,4.01153E+12,4011526904396
"BIRKENSTOCK Women's 51191 Arizona Leather Sandals, Black, 42",,,$164.21 ,$376.31 ,$186.95 ,,2,B000QDU11O,4.01387E+12,4013871000662
"Birkenstock Unisex-Adult Arizona Soft Footbed Mules, Blau, 8 Narrow",,,,$275.65 ,,,,B000MSW1ES,4.01387E+12,4013871002017
"BIRKENSTOCK BIRK-51731 Arizona Leather Sandals, White, 46",,,$146.95 ,$166.95 ,,,1,B000UWPISM,4.01387E+12,4013871003359
"Birkenstock Unisex Milano, White, 12.5 US Men",,,$168.95 ,$221.80 ,$168.95 ,,1,B000MT3JCU,4.01387E+12,4013871004011
Birkenstock Women´s Milano Black Leather Sandals 37 EU (M4/L6 US) R 034191,,,,$252.95 ,,,,B07D3V2JJ2,4.01387E+12,4013871005506
Birkenstock Unisex Milano BS Birko-Flor Dark Brown Sandals 7 W / 5 M US,$112.41 ,,$112.41 ,$128.00 ,$112.41 ,,1,B000KBX808,4.01387E+12,4013871005612
Birkenstock Arizona Blue Mens Sandals Size 44 EU,$152.95 ,,$152.95 ,$209.95 ,$152.95 ,,3,B07D569JKF,4.01387E+12,4013871007357
"Birkenstock BIRK-51751 Arizona Leather Sandals, Blue, 44",$99.95 ,,$93.95 ,$119.90 ,$103.94 ,,1,B000K05K28,4.01387E+12,4013871007357
Birkenstock Women's Arizona Birko-Flo Black Sandals - 46 M EU,,,,$296.67 ,,,,B000KA0370,4.01387E+12,4013871007692
"Birkenstock Men's Sandals, White, 10",,,$130.00 ,$135.00 ,$130.00 ,,1,B000MSZWEO,4.01387E+12,4013871008392
Birkenstock Unisex Sandal Black Arizona,,,$186.95 ,$211.95 ,$185.95 ,,1,B00UFPPEAG,4.01387E+12,4013871009238
Birkenstock 3479142 Milano Black Bfl 42,$123.95 ,,$99.85 ,$310.46 ,$129.85 ,,2,B000MT3JRA,4.01387E+12,4013871012313
Arizona,,,$242.53 ,$244.53 ,$241.53 ,,3,B000MSYTXY,4.01387E+12,4013871012900
Birkenstock Unisex Sandal Taupe Arizona,,,$184.52 ,$261.10 ,$218.32 ,,2,B003ART3W6,4.01387E+12,4013871014201
"Birkenstock Boston, Unisex Adults' Clogs, Dark Brown Leather,8 UK",,,$170.39 ,$602.61 ,$170.39 ,,1,B000MT3N30,4.01387E+12,4013871014898
"Birkenstock Unisex Sandals, Shiny Black, 10 US Men",$111.32 ,,$111.32 ,$154.27 ,$111.32 ,,1,B000GLI3H0,4.01387E+12,4013871015178
Birkenstock Women´s Arizona Black Leather Sandals 37 EU (M4/L6 US) N 051193,,,$186.95 ,$230.95 ,$186.95 ,,1,B00UFQRY2Q,4.01387E+12,4013871016793
"Birkenstock Unisex Flatform Clogs, Black 060193, 10 Narrow US Men",$198.95 ,,$198.95 ,$321.95 ,$198.95 ,,3,B000MT00CW,4.01387E+12,4013871018001
"Birkenstock Men's Mules Sandals, Dark Brown, 8 Narrow",$96.20 ,,$96.15 ,$268.73 ,,,0,B000MSWZCG,4.01387E+12,4013871018759
"BIRKENSTOCK Men's Open-Back Mules, Brown, 10 Narrow",$135.11 ,,$105.11 ,$230.95 ,$175.95 ,,2,B000K9Z23G,4.01387E+12,4013871019879
"BIRKENSTOCK Women's Mules, Blue, 40 EU Schmal",$186.95 ,,$186.95 ,$250.65 ,$186.95 ,,1,B000MSW1EI,4.01387E+12,4013871020813
"Birkenstock Men's Mule Sandals, Brown Dark Brown, 10",,,$144.95 ,$205.21 ,$143.95 ,,3,B000MSWWZG,4.01387E+12,4013871021131
"Birkenstock Milano Leather Sandals, White, 40",$130.00 ,,$130.00 ,$239.89 ,$130.00 ,,1,B000UWJMOI,4.01387E+12,4013871021711
Birkenstock Arizona Leather White Sandals/Slides US Women 9.0 / Men 7.0,,,$235.73 ,$236.21 ,$235.73 ,,1,B00UFPRH4M,4.01387E+12,4013871022244
"Birkenstock Men's Undercut Open Toe Sandals, Dark Brown Dark Brown, 11",,,$144.95 ,$172.00 ,$144.95 ,,1,B000MSWWZQ,4.01387E+12,4013871022695
"Birkenstock Men's Clogs, Black Noir Noir, 8",,,$198.95 ,$543.29 ,$185.95 ,,2,B000UWRAZG,4.01387E+12,4013871025191
"Birkenstock Arizona, Unisex - Adults Sandals, Blue (Blue), 9.5 UK Narrow (44 EU)",,,$169.95 ,$195.95 ,$169.95 ,,1,B000K082N2,4.01387E+12,4013871028598
"BIRKENSTOCK Women's 51131 Arizona Leather Men's Sandals, White, 43",$114.58 ,,$114.58 ,$150.95 ,$114.58 ,,1,B000UWPGRU,4.01387E+12,4013871029335
"Birkenstock BIRK-0051191 Arizona Leather Sandals, Black, 45",,,,$156.95 ,,,,B000KA1NSS,4.01387E+12,4013871029373
Birkenstock Original Arizona Leather Narrow width 051153 (37.0 EU),$186.95 ,,$164.21 ,$207.95 ,$186.95 ,,2,B000MQ79OW,4.01387E+12,4013871029717
"Birkenstock Men's Clogs, Black Noir Noir, 12",,,$253.73 ,$322.95 ,$169.95 ,,2,B000MT20BG,4.01387E+12,4013871029960
"Birkenstock Women's Sandals, Dark Brown, 6",$123.25 ,,$123.25 ,$293.98 ,$123.25 ,,1,B000MSZWZI,4.01387E+12,4013871030898
"Birkenstock Men's Flatform Sandals, White, 38",,,$163.95 ,$258.53 ,,,1,B000MSWXBO,4.01387E+12,4013871033349
Birkenstock Women's Arizona Birko-Flo Black Sandals - 35 M EU / 4-4.5 B(M) US,,,$148.98 ,$212.71 ,$169.95 ,,2,B000K9WYZ0,4.01387E+12,4013871033387
"Birkenstock Men's Flatform Sandals, White Birko-Flor, 7",,,$166.95 ,$169.95 ,$166.95 ,,1,B000MT0RPM,4.01387E+12,4013871033905
Birkenstock Women´s Arizona Dark Brown Synthetic Sandals 38 EU (M5/L7) R 051701,,,$169.95 ,$202.26 ,$169.95 ,,1,B07CXF621T,4.01387E+12,4013871033912
"Birkenstock Unisex Mule Sandals, Black, 10 Narrow US Men",$95.25 ,,$95.25 ,$154.95 ,$95.25 ,,3,B000MSYTXO,4.01387E+12,4013871035022
"Birkenstock Men's Flatform Sandals, White, 6 Narrow",,,$170.95 ,$269.34 ,$170.95 ,,1,B000MSWCLU,4.01387E+12,4013871035220
"Birkenstock Arizona BF White, 41(EUR) - 10-10.5 (US) Narrow",,,$143.90 ,$175.95 ,,,2,B000K9WZEU,4.01387E+12,4013871036135
Birkenstock Adult's 34731 Milano White 35 EU Regular,,,$196.00 ,$199.00 ,$196.00 ,,2,B000UWJMKM,4.01387E+12,4013871037064
"Birkenstock Unisex-Adult Arizona Soft Footbed Sandals, Brown, 9",$104.95 ,,$104.45 ,$175.95 ,$98.29 ,,3,B000UWNNZC,4.01387E+12,4013871037736
"Birkenstock Unisex Casual Sandals, White, 13 US Men",,,$140.35 ,$199.95 ,$152.95 ,,2,B000MSWXG4,4.01387E+12,4013871038047
Birkenstock Men´s Arizona Black Leather Sandals 46 EU (M13) R 051191,$175.95 ,,$175.95 ,$207.95 ,$175.95 ,,1,B07F3M3KDD,4.01387E+12,4013871039211
"Birkenstock Milano, Unisex Adults' Sandals, Brown (Dunkelbraun), 3.5 UK (36 EU)",,,$159.13 ,$235.11 ,$192.93 ,,1,B003AQCIW4,4.01387E+12,4013871039433
"Birkenstock Unisex Arizona Leather Sandals, Shiny White",,,,$279.54 ,,,,B000UWNOB0,4.01387E+12,4013871040736
Birkenstock Men´s Arizona Blue Leather Sandals 46 EU (M13) N 051153,,,$186.95 ,$230.95 ,$186.95 ,,1,B00UFQAK5O,4.01387E+12,4013871041009
"Birkenstock Women's 51101 Arizona Leather Sandal, Dark Brown, 43",$98.95 ,,$98.95 ,$437.25 ,$150.18 ,,2,B000MSWZ94,4.01387E+12,4013871041603
"Birkenstock Women's Sandals, Brown Dunkelbraun, Womens 8",$129.85 ,,$92.00 ,$149.95 ,$116.00 ,,4,B003AQCJ3C,4.01387E+12,4013871042020
"Birkenstock Women's 51131 Arizona Leather Men's Sandals, White, 41",$114.58 ,,$114.58 ,$436.98 ,$114.58 ,,1,B0013W4LF4,4.01387E+12,4013871043782
Birkenstock Unisex Arizona Black Sandals - 13-13.5 2A(N) US Men,$95.25 ,,$91.28 ,$140.85 ,$95.25 ,,3,B000K9YWQE,4.01387E+12,4013871044017
Birkenstock Clogs ''Boston'' from Leather in Black 47.0 EU N,,,$198.95 ,$253.95 ,$198.95 ,,1,B003AQC0V8,4.01387E+12,4013871044499
"Birkenstock Unisex-Adult Arizona Soft Footbed Sandals, Blue 051153, 9",,,$107.39 ,$238.47 ,$127.39 ,,2,B000MSYU6U,4.01387E+12,4013871044536
Arizona,$185.95 ,,$185.95 ,$241.95 ,$152.95 ,,1,B003AQCQFS,4.01387E+12,4013871045663
"BIRKENSTOCK 34101 Birkenstock Milano Leather Women's Sandals, Dark Brown, 40",$123.25 ,,$123.25 ,$286.50 ,$123.25 ,,3,B000MSZX0M,4.01387E+12,4013871047902
"Birkenstock Unisex Casual Sandals, White, 10 US Men",$103.72 ,,$103.72 ,$166.95 ,$103.72 ,,2,B000MT0RQG,4.01387E+12,4013871048398
Birkenstock Arizona Blue Womens Leather Sandals Shoes,,,$125.82 ,$131.00 ,$151.95 ,,1,B000K05GIG,4.01387E+12,4013871049043
Birkenstock Men's Arizona Blue Leather Clogs 43 M EU,,,$107.39 ,$170.98 ,$127.39 ,,2,B0013W17PG,4.01387E+12,4013871050452
Birkenstock 3479141 Milano Black Bfl 41,$98.95 ,,$98.95 ,$306.77 ,$103.72 ,,6,B000KBV7U6,4.01387E+12,4013871056348
Birkenstock Men s Arizona Leather Sandals 42 Blue,,,$179.06 ,$184.77 ,$176.95 ,,3,B000K05OHO,4.01387E+12,4013871056508
Birkenstock Arizona Natural Leather Black Unisex Sandals (US M 11),,,$107.39 ,$207.95 ,$127.39 ,,2,B00UFVYGYK,4.01387E+12,4013871057352
Birkenstock Women´s Arizona Dark Brown Leather Sandals 38 N EU N 051103,$176.95 ,,$164.21 ,$350.02 ,$152.95 ,,2,B003AYEUPE,4.01387E+12,4013871058250
Birkenstock Women's Arizona Birko-Flo Black Sandals - 38 M EU,$101.99 ,,$101.99 ,$177.95 ,,,1,B07MZZN7QQ,4.01387E+12,4013871058779
Birkenstock Arizona Black Womens Sandals Size 38 EU,$102.13 ,,$102.13 ,$149.99 ,$102.13 ,,2,B07N1468XJ,4.01387E+12,4013871058779
"Birkenstock Women's Flatform Clogs, Black 060191, 6.5 us",,,$321.95 ,$969.90 ,$319.95 ,,1,B000UWNXG6,4.01387E+12,4013871058878
"Birkenstock Men's Arizona Soft Footbed Sandals, Black 051193, 12 Narrow",$97.99 ,,$97.99 ,$156.95 ,$97.99 ,,4,B000GLJ81U,4.01387E+12,4013871060055
"Birkenstock Unisex-Adult Arizona Soft Footbed Sandals, Blue 051153, 11",,,$107.39 ,$250.65 ,$127.39 ,,2,B000MT0SSS,4.01387E+12,4013871060109
"Birkenstock Women's Flip Flop Sandals, Brown Dark Brown, 10",$86.54 ,,$84.17 ,$149.95 ,$83.61 ,,1,B000UWPAPI,4.01387E+12,4013871061403
"BIRKENSTOCK Women's 51191 Arizona Leather Sandals, Black, 10 M US",,,$147.95 ,$383.19 ,$176.95 ,,1,B000MT0T00,4.01387E+12,4013871061526
"Birkenstock Clogs, Black, 4.5 US Unisex Big Kid",,,,$252.95 ,,,,B000MSY4QG,4.01387E+12,4013871061533
"Birkenstock Unisex Arizona Soft Footbed Sandals, Black Black 51193, 12.5 US Men",,,$107.39 ,$220.95 ,$127.39 ,,3,B000GLJ824,4.01387E+12,4013871063575
Birkenstock Unisex Arizona Brown Birko Flor Sandals - 12-12.5 D(M) US Men,,,,$199.95 ,,,,B000K9YZJ8,4.01387E+12,4013871064244
"Birkenstock Arizona Unisex Leather Sandal, Black, 6-6.5",$95.25 ,,$95.25 ,$120.00 ,$95.25 ,,4,B003ART51A,4.01387E+12,4013871064275
"Birkenstock Women's Sandals, White (Weiss), 13",$135.00 ,,$135.00 ,$135.00 ,$135.00 ,,1,B000MSY0TM,4.01387E+12,4013871064367
Birkenstock Men's Arizona Dark Brown Leather Sandals 48 M EU,$186.95 ,,$186.95 ,$432.12 ,$186.95 ,,1,B000QDZ4HU,4.01387E+12,4013871064510
"Birkenstock Men's Arizona Sandals, Brown, 13",,,$148.98 ,$299.16 ,$166.95 ,,2,B000K9YZK2,4.01387E+12,4013871064756
Arizona,,,,$395.16 ,,,,B000MSYTX4,4.01387E+12,4013871066217
"Birkenstock Milano Leather Sandals, Black Matte, 40",,,$186.95 ,$327.92 ,$186.95 ,,1,B000KBT41K,4.01387E+12,4013871071792
"Birkenstock BIRK-51793 Arizona Sandals, Black, 38 EU Regular/ 7-7.5 Narrow",$95.24 ,,$95.23 ,$109.97 ,$95.23 ,,4,B003ART524,4.01387E+12,4013871072706
Birkenstock 3479140 Milano Black Bfl 40,$89.95 ,,$89.95 ,$301.12 ,$90.95 ,,3,B000KBR2KA,4.01387E+12,4013871077879
"BIRKENSTOCK Women's Birko-Flor Florida Soft Footbed, Black - 40 M EU / 9-9.5 B(M) US",,,,$304.16 ,,,,B000UWNRX0,4.01387E+12,4013871077954
Birkenstock Unisex Arizona White Sandals - 11 D(M) US Men,$85.99 ,,$85.99 ,$137.00 ,,,0,B00N4ET21M,4.01387E+12,4013871078463
"Birkenstock Men's Casual Sandals, Brown Dunkelbraun, 37",,,$164.21 ,$244.45 ,,,2,B000MSW2B0,4.01387E+12,4013871078616
"Birkenstock Women's Clogs, White, 10.5 UK Wide",$153.90 ,,$129.90 ,$241.95 ,$153.90 ,,2,B0013W5ZDG,4.01387E+12,4013871084150
Birkenstock Men?s Boston White Leather Sandals 46 EU (M13) R 060134,,,$283.65 ,$285.65 ,$281.65 ,,2,B00TSAKJJU,4.01387E+12,4013871084167
"Birkenstock Women's Clogs and Mules, White Weiß, US:5.5",$128.90 ,,$104.90 ,$264.95 ,$128.90 ,,5,B000UWPV70,4.01387E+12,4013871084419
"Birkenstock Original Tokyo Leather Narrow Width, White 35 N EU",$153.90 ,,$129.90 ,$264.95 ,$153.90 ,,2,B0013W6HXS,4.01387E+12,4013871084471
Birkenstock ZUECO 61136 Tokio White 45 White,$153.90 ,,$129.90 ,$268.98 ,$153.90 ,,1,B0013W8A1K,4.01387E+12,4013871084570
Brkenstock Men?s Tokyo White Leather Sandals 46 Normal R 061134,,,$179.44 ,$264.95 ,$203.95 ,,2,B000QF4GTU,4.01387E+12,4013871084587
Birkenstock Tokio Super Grip Natural Leather Black Size EU 37 / US L6 M4 Regular,$143.90 ,,$119.90 ,$230.95 ,$143.90 ,,2,B0013W65FS,4.01387E+12,4013871084921
"Birkenstock Original Tokyo Leather Regular Width, Black L6 M4 37,0",$112.24 ,,$112.24 ,$180.00 ,$112.24 ,,1,B00IR4R1QC,4.01387E+12,4013871084921
"Birkenstock Men's Low-Top Slippers Mule, Schwarz, US:5.5 Black",$143.90 ,,$119.90 ,$229.95 ,$143.90 ,,3,B0015HPF3O,4.01387E+12,4013871084990
Birkenstock Men´s Tokyo Black Leather Sandals 45 EU (M12 US) R 061194,$112.56 ,,$112.56 ,$264.95 ,$112.56 ,,3,B004AEEWRO,4.01387E+12,4013871085003
Birkenstock Men´s Tokyo Black Leather Sandals 46 M EU R 061194,$114.05 ,,$114.05 ,$229.95 ,$114.05 ,,5,B004AEDZZE,4.01387E+12,4013871085010
Birkenstock Clogs ''Tokyo'' from Leather in Black 41.0 EU N,$134.90 ,,$109.90 ,$160.12 ,$133.90 ,,1,B000QE1KC2,4.01387E+12,4013871085102
Birkenstock Men's Milano Black Leather Sandals 35 M EU,$130.00 ,,$130.00 ,$189.98 ,$130.00 ,,3,B000QDZVPA,4.01387E+12,4013871086390
"Birkenstock Women's Sandal, Black, 5 AU",,,$146.95 ,$286.42 ,,,3,B003AQCLOO,4.01387E+12,4013871124924
"Birkenstock Girls Flip Flop Sandals, Black, 4.5 Big Kid",,,$104.28 ,$133.95 ,$104.28 ,,1,B000MSWSYG,4.01387E+12,4013871125846
Birkenstock Men´s Gizeh Black Patent Synthetic Sandals 41 EU (M8/L10 US) R 043661,$122.17 ,,$122.17 ,$229.95 ,$122.17 ,,2,B00O519C3G,4.01387E+12,4013871125907
Birkenstock Unisex Arizona SFB Black Birko-Flor Open Toe Sandals - Black - 5-5.5,$109.49 ,,$109.49 ,$207.95 ,$110.32 ,,3,B000XVZ9ES,4.01387E+12,4013871190318
"Birkenstock Original Tokyo Leather, Regular Width, Color: Blue, Size: Men 12, 45 EU",$139.90 ,,$139.90 ,$142.59 ,$139.90 ,,3,B0013W60LM,4.01387E+12,4013871194217
Birkenstock Arizona Soft Footbed Black Birko-Flor 9 US Mens / 11 US Womens,$106.63 ,,$106.63 ,$188.55 ,$106.63 ,,5,B000XW49X4,4.01387E+12,4013871199229
Birkenstock Men's Arizona Birko-Flor Soft Footbed Sandals - Black - 10,$104.28 ,,$102.48 ,$135.00 ,$104.28 ,,6,B000XW0VF4,4.01387E+12,4013871199236
Birkenstock Men's Arizona Black Nubuck Clogs 46 N EU,,,$169.95 ,$181.95 ,,,1,B000XW4A1U,4.01387E+12,4013871199267
"Birkenstock BIRK-551251 Arizona Sandals, Black, 40, 9-9.5 Women/7-7.5 Men",,,$110.82 ,$135.00 ,$110.82 ,,2,B000XVZ9LG,4.01387E+12,4013871203247
Birkenstock Arizona SFB Black Birko-Flor 9 US Womens / 7 US Mens,$103.72 ,,$103.72 ,$149.99 ,$103.72 ,,4,B07D499G4R,4.01387E+12,4013871203247
Birkenstock Arizona Soft Footbed Black Birko-Flor 12 US Womens / 10 US Mens,$110.32 ,,$110.32 ,$207.95 ,$110.32 ,,3,B000XW49E8,4.01387E+12,4013871203278
"Birkenstock Women's BIRK-551251 Arizona Sandals, Black, 44",$124.33 ,,$124.33 ,$499.99 ,$124.33 ,,3,B000XW0UYG,4.01387E+12,4013871203285
Birkenstock Arizona Sandals Schwarz M12,$124.33 ,,$124.33 ,$180.95 ,,,4,B07D51ZVW6,4.01387E+12,4013871203292
Birkenstock Unisex Arizona Sandals,$103.71 ,,$102.48 ,$220.36 ,$103.71 ,,7,B000XVZ9RU,4.01387E+12,4013871203292
Birkenstock Unisex Arizona Sandals,$104.28 ,,$104.28 ,$220.36 ,$104.28 ,,3,B000XW2W4M,4.01387E+12,4013871203308
"BIRKENSTOCK Women's Casual Sandals, Black, 4-4.5 M US",,,$169.95 ,$218.95 ,$169.95 ,,1,B000XW49NO,4.01387E+12,4013871203315
