Title,Sales Rank: 30 days avg.,Sales Rank: 90 days avg.,Buy Box: Current,Buy Box: Stock,New: Current,New: Highest,"New, 3rd Party FBM 🚚: 30 days avg.",Lowest FBM Seller,"Count of retrieved live offers: New, FBM",ASIN,Product Codes: EAN,Product Codes: UPC,Parent ASIN,Brand,Prime Eligible (Buy Box)
"New Balance Women's W86013A Running Shoe, Nb Navy/Orb Pink/Vintage Indigo, 8 Wide",268672,163103,,,,$139.99 ,,-,,B0C34QWWNG,0197375255972,1.97375E+11,B0D3783NK5,New Balance,yes
"New Balance Women's W86013A Running Shoe, Nb Navy/Orb Pink/Vintage Indigo, 8",142168,116274,,,$139.95 ,$236.62 ,$151.52 ,AE1A1GREFL29I,2,B0C34WTWZK,0197375255811,1.97375E+11,B0D3783NK5,New Balance,no
"New Balance Women's W86013A Running Shoe, Nb Navy/Orb Pink/Vintage Indigo, 10.5 Wide",476392,297309,,,$207.21 ,$236.62 ,$235.94 ,A20FLYA0IW2L9O,1,B0C355HCXJ,0197375256023,1.97375E+11,B0D3783NK5,New Balance,yes
"New Balance Women's W86013A Running Shoe, Nb Navy/Orb Pink/Vintage Indigo, 6.5",274864,246365,,,$139.95 ,$172.39 ,$160.16 ,AE1A1GREFL29I,2,B0C352YFKT,0197375255781,1.97375E+11,B0D3783NK5,New Balance,no
"Steve Madden Women's Roaring Sneaker, White/Green, 5.5",75361,71979,,,$99.95 ,$115.74 ,$73.81 ,A1P0NJAHEQ2TV2,1,B0BFBRBJWN,0196829589441,1.9683E+11,B07GJSL3VL,Steve Madden,no
"Steve Madden Women's Roaring Sneaker, White/Green, 11",76901,70801,$59.99 ,5,$59.99 ,$177.85 ,$51.38 ,A1G9RBEK6CB71F,1,B0BFBNHLF7,0196829589540,1.9683E+11,B07GJSL3VL,Steve Madden,no
"New Balance Women's W86013A Running Shoe, Nb Navy/Orb Pink/Vintage Indigo, 9.5 Wide",212145,167063,,,$207.21 ,$236.62 ,$234.76 ,A20FLYA0IW2L9O,1,B0C34RRB85,0197375256009,1.97375E+11,B0D3783NK5,New Balance,yes
"Steve Madden Women's Becka Pump, Black Leather, 8.5",108545,171830,,,,$106.74 ,$122.31 ,-,,B0CGT6SS38,0197369890851,1.9737E+11,B0CHTKMQGD,Steve Madden,yes
"New Balance Men's Fresh Foam Garoe Mid V1 Trail Running Shoe, Shadow Grey/Grey Matter/Blaze Orange, 10",76179,54765,,,,$100.00 ,,-,,B0BJ7HFWRR,0196941165738,1.96941E+11,B0C78RPMBS,New Balance,yes
"New Balance Men's Fresh Foam Garoe Mid V1 Trail Running Shoe, Blacktop/Shadow Grey/Sea Salt, 10.5 X-Wide",74402,53398,,,,$99.99 ,,-,,B0BJ7K2B43,0196941142241,1.96941E+11,B0C78RPMBS,New Balance,yes
"New Balance Men's Fresh Foam Garoe Mid V1 Trail Running Shoe, Shadow Grey/Grey Matter/Blaze Orange, 9.5 Wide",78171,55419,,,,$99.99 ,,-,,B0BJ7JHT8T,0196941165875,1.96941E+11,B0C78RPMBS,New Balance,yes
"LifeStride womens Averly Heeled Sandal, Black, 5.5 US",94848,84010,,,$88.09 ,$155.04 ,$98.44 ,ANZYNJW9IIF9C,1,B09NRYLP19,0093626413170,093626413170,B0C8CBGCJ8,LifeStride,yes
"New Balance Men's 574 Greens Golf Shoe, Grey/White, 11",68850,65770,,,$129.28 ,$184.40 ,$134.70 ,A31AXZ2ONSA7MG,3,B09C13F8Q4,0889993231178,8.89993E+11,B0CMQX4RYY,New Balance,no
"New Balance Men's 574 Greens Golf Shoe, Grey/White, 8",66697,64963,$88.94 ,10,$79.95 ,$99.99 ,$87.65 ,A27F0VSG73P1QR,6,B09C145379,0889993231116,8.89993E+11,B0CMQX4RYY,New Balance,no
"New Balance Men's 574 Greens Golf Shoe, Grey/White, 14",67007,65048,,,$93.25 ,$109.99 ,$115.97 ,A1L771VVVO0RJK,2,B09C12SRLS,0889993231215,8.89993E+11,B0CMQX4RYY,New Balance,yes
"New Balance Men's 574 Greens Golf Shoe, Grey/White, 12 Wide",68405,65027,,,$109.99 ,$109.99 ,$124.94 ,A1L771VVVO0RJK,1,B09C15NTB2,0889993230935,8.89993E+11,B0CMQX4RYY,New Balance,yes
"New Balance Men's 574 Greens Golf Shoe, Grey/White, 9",67626,66177,,,$126.03 ,$166.59 ,$134.27 ,AF4GO035LHAA2,3,B09C139YMY,0889993231130,8.89993E+11,B0CMQX4RYY,New Balance,yes
"New Balance mens 574 Greens Golf Shoe, True Black, 13 US",64822,64567,,,$93.55 ,$135.88 ,$114.21 ,A2857RBU562CVM,2,B09C14JQW1,0889993230799,8.89993E+11,B0CMQX4RYY,New Balance,yes
"New Balance Men's 574 Greens Golf Shoe, White, 15",65974,66188,,,,$89.99 ,,-,,B07VYRZD3K,0889993185457,8.89993E+11,B0CMQX4RYY,New Balance,no
"New Balance Men's 574 Greens Golf Shoe, Grey/White, 9.5",68514,65840,,,$126.53 ,$171.59 ,$134.35 ,AF4GO035LHAA2,3,B09C13RHMT,0889993231147,8.89993E+11,B0CMQX4RYY,New Balance,yes
New Balance Fresh Foam Roav v2 Women's Running 6.5 B(M) US White-Black-Pink,74685,72918,,,$100.00 ,$180.84 ,$100.00 ,A3KR22WY3RNM48,1,B08MWRWYXY,0195481458805,1.95481E+11,B096NVS1L4,New Balance,no
"New Balance womens 840 V3 Walking Shoe, White/Silent Grey, 7.5 US",86603,98851,,,,$166.94 ,$135.03 ,-,,B08PCGHH8P,0195481089597,1.95481E+11,B00V3N6SX6,New Balance,no
"Steve Madden Gills Grey Suede Rounded Toe Slip On Suede Low Top Sneakers (Grey Suede, 12)",77847,65465,$29.95 ,7,$29.95 ,$89.99 ,$29.95 ,A1G9RBEK6CB71F,1,B07TRFQ7KN,0824095976350,8.24096E+11,B07TB1RRK7,Steve Madden,no
"Steve Madden Gills Leopard Print Slip On Rounded Toe Casual Platform Sneakers (Leopard, 5)",75639,65181,$29.95 ,5,$29.95 ,$74.99 ,$29.95 ,A1G9RBEK6CB71F,1,B093PBB4QJ,"0193408207086, 0193408081181","193408207086, 193408081181",B07TB1RRK7,Steve Madden,no
"Steve Madden Women's Gills Sneaker, White, 9.5",75312,65685,$24.99 ,1,$24.99 ,$81.95 ,$24.99 ,A24V851RG6UNB7,1,B0BDTNWFCL,0195945955529,1.95946E+11,B07TB1RRK7,Steve Madden,no
"Steve Madden Women's Gills Sneaker, Mauve Suede, 7.5",77493,64168,$24.99 ,109,$24.99 ,$138.45 ,$24.99 ,A24V851RG6UNB7,1,B06XV3WBJ7,0661812777285,6.61813E+11,B07TB1RRK7,Steve Madden,no
"Steve Madden Women's Gills Sneaker, Tan Suede, 7.5",77969,66586,$24.99 ,34,$24.99 ,$81.95 ,$24.99 ,A24V851RG6UNB7,1,B0BDTMRC8Q,0194068430906,1.94068E+11,B07TB1RRK7,Steve Madden,no
"Steve Madden Women's Gills Sneaker, Black Leather, 9.5",78083,67702,$59.99 ,15,$59.99 ,$81.95 ,$69.95 ,A1G9RBEK6CB71F,1,B079W61B98,0829105973695,8.29106E+11,B07TB1RRK7,Steve Madden,no
"Steve Madden Womens Gills-C Sneaker, Green Camo,5.5",75927,63937,$40.19 ,3,$40.19 ,$63.95 ,$39.96 ,A3V17JP5RCORRR,1,B081P9751X,0194068364041,1.94068E+11,B07TB1RRK7,Steve Madden,no
Brooks Women’s Anthem 5 Neutral Running Shoe - Oyster/Grey/Porcelain - 11 Medium,91682,61897,,,$119.39 ,$122.90 ,$107.44 ,A11DR1KE55C6PH,1,B0B1HWC2BJ,0195394032420,1.95394E+11,B09ZF2336L,Brooks,yes
"Steve Madden Women's Leopold Chelsea Boot, Tan Suede, 5.5",72907,52047,$81.21 ,1,$68.39 ,$234.00 ,$81.21 ,A24V851RG6UNB7,2,B0961G9P5G,0195945600269,1.95946E+11,B096MHWGXN,Steve Madden,no
"New Balance Women's Fresh Foam X Tempo V2 Running Shoe, Dawn Glow/Pink Haze/Surf, 6",93553,84873,$71.97 ,1,$71.97 ,$119.95 ,$71.97 ,A1LEM297LNF1FK,2,B096NJM3XJ,0196071175355,1.96071E+11,B096NRVC69,New Balance,no
"New Balance Women's Fresh Foam X Tempo V2 Running Shoe, Black/White, 11",91318,83271,,,$174.25 ,$182.25 ,$177.15 ,A1B43WMIJ58I3U,1,B093WTC96W,0195907689127,1.95908E+11,B096NRVC69,New Balance,yes
"New Balance Women's Fresh Foam X Tempo V2 Running Shoe, Black/Sea Salt/Dark Silver Metallic, 10.5 Wide",92872,83957,,2,,$119.99 ,,-,0,B09YGSQNDY,0196432352319,1.96432E+11,B096NRVC69,New Balance,yes
