Title,Sales Rank: 30 days avg.,Sales Rank: 90 days avg.,Buy Box: Current,Buy Box: Stock,New: Current,New: Highest,"New, 3rd Party FBM 🚚: 30 days avg.",Lowest FBM Seller,"Count of retrieved live offers: New, FBM",ASIN,Product Codes: EAN,Product Codes: UPC,Parent ASIN,Brand,Prime Eligible (Buy Box)
"Steve Madden Women's Brocks Fashion Boot, Black Distressed, 5.5",134066,143362,$132.96 ,53,$132.96 ,$189.95 ,$214.45 ,-,0,B0BV17KKM7,0197369230848,1.97369E+11,B0BV15LG1D,Steve Madden,yes
"Steve Madden Women's Brocks Fashion Boot, Brown Distressed, 6",140200,142653,$121.98 ,2,$121.98 ,$189.95 ,$181.73 ,-,0,B0BV138YXB,0197369230855,1.97369E+11,B0BV15LG1D,Steve Madden,yes
"Steve Madden Women's Brocks Fashion Boot, Brown Distressed, 6.5",129362,136577,$152.61 ,7,$152.61 ,$189.95 ,$181.73 ,-,0,B0BTZR4TGQ,0197369230879,1.97369E+11,B0BV15LG1D,Steve Madden,yes
"Steve Madden Women's Brocks Fashion Boot, Black Distressed, 6.5",134978,141381,$132.96 ,17,$132.94 ,$189.95 ,$215.52 ,-,0,B0BV11ZFFS,0197369230886,1.97369E+11,B0BV15LG1D,Steve Madden,yes
"Steve Madden Women's Brocks Fashion Boot, Brown Distressed, 7",131187,138367,$152.61 ,13,$152.61 ,$189.95 ,$181.73 ,-,0,B0BV15DJQ8,0197369230893,1.97369E+11,B0BV15LG1D,Steve Madden,yes
"Steve Madden Women's Brocks Fashion Boot, Black Distressed, 7",141850,144108,$132.96 ,74,$132.96 ,$189.95 ,$189.95 ,"A2F3U3NJJC3IJO, A1LEM297LNF1FK",3,B0BTZY1BS3,0197369230909,1.97369E+11,B0BV15LG1D,Steve Madden,yes
"Steve Madden Women's Brocks Fashion Boot, Brown Distressed, 7.5",138921,139876,$137.98 ,3,$137.98 ,$189.95 ,$181.73 ,-,0,B0BTZN8HVD,0197369230916,1.97369E+11,B0BV15LG1D,Steve Madden,yes
"Steve Madden Women's Brocks Fashion Boot, Brown Distressed, 8",137083,142207,$122.44 ,1,$122.44 ,$189.95 ,$203.24 ,-,0,B0BV12GMFJ,0197369230930,1.97369E+11,B0BV15LG1D,Steve Madden,yes
"Steve Madden Women's Brocks Fashion Boot, Black Distressed, 8",133293,141206,$132.96 ,102,$132.96 ,$189.95 ,$189.95 ,"A2F3U3NJJC3IJO, A1LEM297LNF1FK",3,B0BTZLGDW7,0197369230947,1.97369E+11,B0BV15LG1D,Steve Madden,yes
"Steve Madden Women's Brocks Fashion Boot, Brown Distressed, 8.5",133391,141116,$140.20 ,3,$140.20 ,$189.95 ,$187.17 ,-,0,B0BTZYGYX4,0197369230954,1.97369E+11,B0BV15LG1D,Steve Madden,yes
"Steve Madden Women's Brocks Fashion Boot, Brown Distressed, 9",136399,140554,$127.61 ,4,$126.95 ,$189.95 ,$142.44 ,-,0,B0BTZS6WH5,0197369230978,1.97369E+11,B0BV15LG1D,Steve Madden,yes
"Steve Madden Women's Brocks Fashion Boot, Black Distressed, 9",135220,141249,$132.96 ,48,$132.96 ,$189.95 ,$189.95 ,A1LEM297LNF1FK,2,B0BV14DKV2,0197369230985,1.97369E+11,B0BV15LG1D,Steve Madden,yes
"Steve Madden Women's Brocks Fashion Boot, Brown Distressed, 9.5",130502,139968,$152.61 ,17,$152.61 ,$189.95 ,$160.45 ,A18D2S7J2SO5FF,1,B0BTZW3WV8,0197369230992,1.97369E+11,B0BV15LG1D,Steve Madden,yes
"Steve Madden Women's Brocks Fashion Boot, Black Distressed, 9.5",134992,140722,$132.96 ,1,$132.96 ,$189.95 ,$151.88 ,A1LEM297LNF1FK,1,B0BTZZVMFH,0197369231005,1.97369E+11,B0BV15LG1D,Steve Madden,yes
"Steve Madden Women's Brocks, Brown Distressed",132374,139707,$135.54 ,9,$134.83 ,$189.95 ,$142.44 ,-,0,B0BTZRQH7W,0197369231012,1.97369E+11,B0BV15LG1D,Steve Madden,yes
"Steve Madden Women's Brocks Fashion Boot, Black Distressed, 10",133513,140097,$132.96 ,94,$132.96 ,$189.95 ,$185.74 ,A1LEM297LNF1FK,1,B0BTZRP7VC,0197369231029,1.97369E+11,B0BV15LG1D,Steve Madden,yes
"Steve Madden Women's Brocks Fashion Boot, Black Distressed, 11",136296,144217,$132.96 ,39,$132.96 ,$189.99 ,,-,0,B0BTZWC3LK,0197369231043,1.97369E+11,B0BV15LG1D,Steve Madden,yes
"Steve Madden Women's Brixton Motorcycle Boot, Black Distressed, 8",383436,300433,$106.64 ,8,$106.64 ,$204.82 ,$129.02 ,A2K5XS11A849BN,3,B0C1HP3QKV,0197369231265,1.97369E+11,B0C214H9FT,Steve Madden,yes
"Steve Madden Women's Brixton Motorcycle Boot, Black Distressed, 8.5",371881,298764,$106.07 ,14,$91.60 ,$169.95 ,$105.61 ,A24V851RG6UNB7,1,B0C1HMS3KG,0197369231289,1.97369E+11,B0C214H9FT,Steve Madden,yes
"Steve Madden Women's Cienna Heeled Sandal, Tan Leather, 5.5",601379,661709,$71.47 ,1,$71.47 ,$109.00 ,,-,0,B0BTZ87TDF,0197369232330,1.97369E+11,B0BTZFJH5L,Steve Madden,yes
