"Title","Sales Rank: 30 days avg.","Sales Rank: 90 days avg.","Buy Box 🚚: Current","Buy Box 🚚: Stock","New: Current","New: Highest","New, 3rd Party FBM 🚚: 30 days avg.","Lowest FBM Seller","Count of retrieved live offers: New, FBM","ASIN","Product Codes: EAN","Product Codes: UPC","Parent ASIN","Brand","Prime Eligible (Buy Box)"
"Steve Madden Women's Possession Sneaker, Red, 6.5","6451","4953","$ 99.00","14","$ 99.00","$ 99.95","","-","0","B0BHHBYLFN","0196829243527","196829243527","B0CFG8SG2Z","Steve Madden","yes"
"Steve Madden Women's Maxima Sneaker, Pink Rhinestone, 9.5","9276","8398","","","","$ 99.95","","-","","B0BLBZ12FM","0196829233979","196829233979","B08YZ1SM97","Steve Madden","yes"
"Steve Madden Women's Possession Sneaker, Red, 7.5","6383","4915","$ 99.95","19","$ 99.95","$ 99.95","","-","0","B0BHHDJL24","0196829243541","196829243541","B0CFG8SG2Z","Steve Madden","yes"
"Steve Madden Women's Possession Sneaker, Red, 9","6446","4942","$ 99.95","19","$ 99.95","$ 184.40","","-","0","B0BHHBXL67","0196829243572","196829243572","B0CFG8SG2Z","Steve Madden","yes"
"Steve Madden Women's Possession Sneaker, Red, 10","6476","4951","$ 99.00","14","$ 99.00","$ 184.40","","-","0","B0BHHMRRTD","0196829243596","196829243596","B0CFG8SG2Z","Steve Madden","yes"
"Steve Madden Women's Mingle Mary Jane, Silver Glitter, 9.5","446051","582974","$ 65.85","2","$ 52.79","$ 159.67","$ 86.86","-","2","B0B5YGR6VS","0196829244876","196829244876","B0BLHW6CL4","Steve Madden","no"
"Steve Madden Women's Possession Sneaker, Red, 9.5","6394","4942","$ 84.43","1000","$ 83.32","$ 179.00","","-","0","B0BHGT635T","0196829243589","196829243589","B0CFG8SG2Z","Steve Madden","yes"
"Steve Madden Women's Kassiani Heeled Sandal, Pink Leather, 7.5","522676","709063","","","","$ 129.95","","-","","B0B5YHFY9F","0196829254424","196829254424","B0B5YLM3S7","Steve Madden","yes"
"Steve Madden Women's Trench Fashion Boot, Black, 9.5","879020","800985","$ 34.41","6","$ 18.52","$ 159.95","$ 35.40","A24V851RG6UNB7","1","B0B5YD3SDC","0196829245590","196829245590","B0B5YJF8NB","Steve Madden","no"
"Steve Madden Women's Lessa Open Toe Block Heel Platform Sandal Gold Size 8.5","81941","76193","$ 24.99","21","$ 24.99","$ 109.95","$ 24.99","A24V851RG6UNB7","1","B0BRTJRV6N","0196829257463","196829257463","B0CW1XQLJ7","Steve Madden","no"
"Steve Madden Women's Lessa Open Toe Block Heel Platform Sandal Gold Size 9","80374","76957","$ 24.99","26","$ 24.99","$ 109.95","$ 24.99","A24V851RG6UNB7","1","B0BRTJM7GP","0196829257470","196829257470","B0CW1XQLJ7","Steve Madden","no"
"Steve Madden Women's Lessa Open Toe Block Heel Platform Sandal Gold Size 10","82414","75885","","","","$ 109.95","$ 24.99","-","","B0BRTH7L94","0196829257494","196829257494","B0CW1XQLJ7","STEVEMADDEN","no"
"Steve Madden Women's Sunnie Sandal, Tan, 6","183308","201795","$ 72.65","6","$ 70.65","$ 89.95","$ 68.70","ANZYNJW9IIF9C","3","B0BLRJTGKZ","0196829265260","196829265260","B0BM69D5MT","Steve Madden","yes"
"Steve Madden Women's Sunnie Sandal, Bone, 7","180469","202244","$ 82.23","1","$ 82.23","$ 114.24","$ 104.66","ANZYNJW9IIF9C","2","B0BMPBS6C3","0196829265314","196829265314","B0BM69D5MT","Steve Madden","no"
"Steve Madden Women's Sunnie Sandal, Tan, 7","186834","196458","$ 89.00","1","$ 59.80","$ 100.76","$ 77.25","A1195MQ583AB5O","2","B0BLR3XDH7","0196829265321","196829265321","B0BM69D5MT","Steve Madden","yes"
"Steve Madden Women's Sunnie Sandal, Bone, 7.5","189477","199940","$ 69.30","4","$ 57.59","$ 89.95","$ 67.67","A24V851RG6UNB7","3","B0BMPR62B7","0196829265345","196829265345","B0BM69D5MT","Steve Madden","no"
"Steve Madden Women's Sunnie Sandal, Tan, 7.5","186801","200471","$ 76.72","1","$ 75.72","$ 89.95","$ 73.25","ANZYNJW9IIF9C","4","B0BLRJT4HG","0196829265352","196829265352","B0BM69D5MT","Steve Madden","no"
"Steve Madden Women's Sunnie Sandal, Tan, 8","188684","202592","$ 80.35","","$ 80.35","$ 114.24","$ 103.02","ANZYNJW9IIF9C","2","B0BLQY7Z2W","0196829265383","196829265383","B0BM69D5MT","Steve Madden","yes"
"Steve Madden Women's Sunnie Sandal, Black, 8.5","186454","203130","$ 64.63","4","$ 52.79","$ 89.95","$ 69.05","ANZYNJW9IIF9C","4","B0BLQFTYX6","0196829265390","196829265390","B0BM69D5MT","Steve Madden","no"
"Steve Madden Women's Sunnie Sandal, Black, 9","181956","197046","$ 88.90","1","$ 88.90","$ 100.76","$ 72.66","A1195MQ583AB5O","1","B0BLQVCM75","0196829265420","196829265420","B0BM69D5MT","Steve Madden","yes"
"Steve Madden Women's Sunnie Sandal, Tan, 9","181114","191472","$ 87.27","1","$ 87.27","$ 114.24","$ 109.96","A1195MQ583AB5O","1","B0BLRD9LJL","0196829265444","196829265444","B0BM69D5MT","Steve Madden","no"
"Steve Madden Women's Sunnie Sandal, Bone, 9.5","188305","203167","$ 76.74","4","$ 76.74","$ 89.95","$ 66.87","A1LEM297LNF1FK, ANZYNJW9IIF9C","3","B0BMPG796F","0196829265468","196829265468","B0BM69D5MT","Steve Madden","no"
"Steve Madden Women's Sunnie Sandal, Tan, 9.5","186336","200917","$ 76.74","3","$ 75.74","$ 100.76","$ 78.59","ANZYNJW9IIF9C","3","B0BLRJSTDN","0196829265475","196829265475","B0BM69D5MT","Steve Madden","no"
"Steve Madden Women's Sunnie Sandal, Black, 10","180536","197017","","","$ 86.64","$ 134.67","$ 117.11","A24V851RG6UNB7","2","B0BLQXQT6X","0196829265482","196829265482","B0BM69D5MT","Steve Madden","yes"
"Steve Madden Women's Starling Sneaker, Pink/Leopard, 9 M US","28417","18562","$ 75.95","19","$ 75.95","$ 83.95","","-","0","B0B641X3KV","0196829272213","196829272213","B0C62Q82KM","Steve Madden","yes"
"Steve Madden womens Mav Fashion Boot, Pink, 6 7 US","477771","256466","$ 77.93","3","$ 68.99","$ 161.63","$ 77.93","A3V17JP5RCORRR","1","B0B25W4N5N","0196829284681","196829284681","B09Z5F37KW","Steve Madden","no"
"Steve Madden womens Mav Fashion Boot, Pink, 7 8 US","484889","256958","$ 68.99","1","$ 68.99","$ 184.46","$ 76.81","ANZYNJW9IIF9C","1","B0B25X3YSG","0196829284704","196829284704","B09Z5F37KW","Steve Madden","no"
"Steve Madden womens Mav Fashion Boot, Bone, 6 7 US","502993","261945","$ 68.15","2","$ 68.15","$ 149.95","$ 69.95","-","0","B0B25SYH1L","0196829284810","196829284810","B09Z5F37KW","Steve Madden","yes"
"Steve Madden Women's Bossy Heeled Sandal, Iridescent, 6","672848","689825","","","$ 59.95","$ 102.25","$ 59.95","A3V17JP5RCORRR","1","B0B7P3N1GS","0196829285107","196829285107","B0C67N9W66","Steve Madden","no"
"Steve Madden Women's Lynden Ankle Boot, Sand, 6","228608","194177","$ 43.93","2","$ 30.99","$ 119.95","$ 45.11","A24V851RG6UNB7","1","B0BNMD8PNH","0196829298565","196829298565","B0CFBXPC1L","Steve Madden","no"
"Steve Madden Women's Bossy Heeled Sandal, Iridescent, 8.5","575498","621025","","","$ 59.95","$ 104.45","$ 59.95","A3V17JP5RCORRR","1","B0B7P3PJ5Q","0196829285206","196829285206","B0C67N9W66","Steve Madden","no"
"Steve Madden Women's Lynden Ankle Boot, Sand, 8","240515","200991","$ 44.19","21","$ 30.99","$ 119.95","$ 45.30","A24V851RG6UNB7","1","B0BNMFVL6Y","0196829298688","196829298688","B0CFBXPC1L","Steve Madden","no"
