Title,Sales Rank: 30 days avg.,Sales Rank: 90 days avg.,Buy Box: Current,Buy Box: Stock,New: Current,New: Highest,"New, 3rd Party FBM 🚚: 30 days avg.",Lowest FBM Seller,"Count of retrieved live offers: New, FBM",ASIN,Product Codes: EAN,Product Codes: UPC,Parent ASIN,Brand,Prime Eligible (Buy Box),Black_list,PID
"NIKE Women's Basketball Three Quarters high, Summit White Lt Orewood BRN White, 8",110030,83561,128,3,106.82,$132.00,$112.82,AP3VA1GJZM3EQ,3,B0CKVBDTC8,196969284886,196969284886,B07NLCD8YC,Nike,no,V,999640626036162601
NIKE Golf Gloves Mens Tour Classic III White R/H - M-L,447481,487262,27.95,1000,27.95,$42.65,$27.95,A38NC52YZMEYGW,5,B07TMH37SR,887791324245,887791324245,,Nike,no,V,998864642682220101
"NikeCourt Zoom Vapor Cage 4 Rafa Men’s Hard Court Tennis Shoes (DD1579-105, White/Action Green/Light Lemon Twist) Size 10",212665,194563,145,1,145,$168.13,$143.03,-,5,B0CKZ8QPDZ,196968965922,196968965922,B0CKZJ5PWQ,Nike,no,V,9987142106916008149
Nike Womens WMNS Dunk Low DD1503 111 White/Archeo Pink - Size 8.5W,3373,3135,225.99,1,225.99,$399.99,$228.14,"A2M9CLTM0HVHAP, ANDGSQJUYA6W9",4,B0B2C4XVKN,195243641933,195243641933,B0CPTC4924,Nike,no,V,9972777338722212145
Nike Hydrastrong Solid Brief Game Royal 36,336381,337638,38.88,4,36.94,$62.38,$38.88,A2MV3DLPXSPMWV,5,B08H8WQQXV,30673194836,30673194836,B09FJ2BFN4,Nike,no,V,9968618644017744734
"Nike Men's Jordan Air 1 Mid SE Shoes, Black/Black-metallic Gold, 8",12698,13472,226,2,225.99,$309.47,$225.85,A2O4XN2BBGRDQ,3,B08P54VWF5,194498336458,194498336458,B0CPTHD1FB,Nike,no,V,9959620465172671963
"Nike Men's Quad God Dri-FIT Training Tank Top (US, Alpha, XX-Large, Regular, Regular, Hasta/Pure Platinum)",34649,51166,26.72,3,21.99,$34.00,$26.72,A2OLOGJV257E78,2,B0BR8K5NR1,194955913987,194955913987,B0851MMFXL,Nike,no,V,9958109403743877132
"Nike Pegasus 40 Premium Men's Road Running Shoes (FJ0329-100, White/Fir/Green Strike/Malachite) Size 12",732871,1315502,149.97,1,149.97,$243.86,$151.68,A1H8MUERXJ8VLJ,3,B0C4LP672W,196607720134,196607720134,B0CBDJ3T4Y,Nike,no,V,9940142424417315452
"Nike Boy's Sportswear Just Do It. T-Shirt (Red/White/Black, Small)",61954,102311,49.89,17,40.9,$76.42,$49.18,"AC84Y246HJ6PO, A3EUP28PDPRXNL",10,B0CFBRCTD2,196151067921,196151067921,B07GX345P7,Nike,no,V,9930137523138403510
"NIKE Women's Sneaker, Black Black Summit White, 12",126747,153910,71.02,,64.69,$109.04,$65.14,AP3VA1GJZM3EQ,1,B08PDSXQBJ,194501078245,194501078245,B0B2R12L6J,Nike,no,V,9930082409462395184
Jordan Jordan 4 Retro SE (Little Kid) White/Black/Volt 2.5 Little Kid M,129493,118452,199.99,1,199.99,$200.00,$199.99,A1HUBJ4H8FIZG0,2,B097NGCNWH,195238787370,195238787370,B093YXCHG7,Nike,no,V,9925212348204811448
"NIKE Men's Running Low, White Black Light Crimson, 7",166700,255489,149.29,2,140.3,$159.45,$149.32,"AC84Y246HJ6PO, AAGYSXRML4LKF, A14S6XXWNZ07KP, ASINA8I5RMMEK, A3EUP28PDPRXNL",5,B0CKZ92M67,196604441841,196604441841,B0CPTH49SR,Nike,no,V,9905931709491049152
"Nike Air Max 270 Big Kids' Shoes (943345-602,Laser Fuchsia/Summit White-Black-White) Size 6",1149590,1405718,111.18,1,111.18,$182.63,$154.95,A340RKTM4H1EO0,6,B0CR6VRSZ9,196975918119,196975918119,B0CSHPQM74,Nike,no,V,9898459871692876627
"NIKE Men's Sneaker Three Quarters Tall, White Black Light Smoke Grey, 4",450459,677047,154.31,1,146.36,$186.59,$154.31,AF4GO035LHAA2,4,B0CKZ97Z3M,196969298586,196969298586,B0CKZJY12X,Nike,no,V,9890163625096025626
"Nike Womens Flex Experience RN 11 Nn Running Trainers, White/Metallic Silver, 10 M US",95323,80379,96.01,20,85.82,$119.95,$93.29,A1J4K4IDFX16BR,4,B0BVVCQ8TM,195866023574,195866023574,B0CPTBZZF4,Nike,no,V,9889380844524832627
Jordan Youth Air 1 Mid GS 554725 096 Shadow/Red - Size 6Y,45732,43232,173,2,148,$249.99,$147.77,A1NHQWRXPDRQVV,10,B09JFTJV8K,195243827160,195243827160,B0CR45LZCC,Nike,no,V,9870600415833795384
Jordan Mens Air 1 Mid SE 852542 104 Olympic - USA - Size 8.5,12642,13461,186,4,186,$449.00,$205.19,AFW7WNX55N5K4,2,B08RJ71354,194277045335,194277045335,B0CPTHD1FB,Nike,no,V,9868633388862100563
Nike Youth Dunk Low GS DH9765 600 Triple Pink - Size 6.5Y,50673,52019,222.3,1,222.3,$455.00,$232.73,A1657OE9TWXBSM,6,B0B42MQ3XD,196149536156,196149536156,B0CLNK8K72,Nike,no,V,9868274146217866737
"Nike Pro Dri-FIT Men's 1/4-Zip Hyper Dry Training Top, Obsidian/Game Royal/Black, Medium",312452,280929,56,50,56,$64.99,$61.85,A1EK7LD4ZSCFPB,1,B0BQJNH74H,195245007607,195245007607,B0BQJPGFGZ,Nike,no,V,985411565121791649
Nike Hydrastrong Solid Cut-Out One Piece,105053,88453,42.94,1,42.94,$76.80,$42.94,AX3KFJ045B2MD,7,B083TTTSY9,30673192528,30673192528,B08Y5918P7,Nike,no,V,9853964198966216528
Jordan Youth Air Jordan 1 Low GS 553560 500 Court Purple - Size 7Y,182537,170998,177,5,177,$406.16,$195.20,A3KCLKFFWT76LN,4,B08Q4JQD7D,194498267615,194498267615,B0BT843D6R,Nike,no,V,9850189046301193158
Nike Boy's Grade School Kawa Slides Pink | White Size 5 Medium,13442,28129,24.95,3,10.9,$54.22,$15.89,A2CBAU2OGKLCXY,4,B08NYKNYX9,194953063943,194953063943,B071FK3X8F,Nike,no,V,9844977648771415140
"NIKE Men's AIR MAX 95 PRM Running Shoe, Black MTLC Silver Game Royal Univ Red Opti Yellow, 11",134746,3100340,190,1,190,$190.00,$190.00,A1IOIMNAGA8QW8,1,B08QBDC3XQ,194955657706,194955657706,B0CTCDM4VW,Nike,no,V,9841424101372922838
Nike Boy's Vapor Select Piped Baseball Pants M Gray | Black,826284,1181050,35.76,12,35.76,$67.93,$50.45,-,5,B08HSDJ2C9,193150214608,193150214608,B08HSDBFWM,Nike,no,V,9821062378423640865
Nike JR Magista ONDA II DF FG Boys Soccer-Shoes 917776-002_1.5Y - Black/White-Cool Grey-Stadium Green,164660,4413547,71.77,1,64.99,$64.99,$71.77,A2N509IQSABIY5,2,B005K9SUSA,886059398868,886059398868,B0C6TVW8HN,Nike,no,V,9816826850635110381
Jordan Youth Air 1 Mid SE (GS) DC7248 103 - Size 5.5Y Black/University Red-White,45559,43193,206,2,206,$269.99,$207.74,AFW7WNX55N5K4,1,B09GS4LZSV,195243076261,195243076261,B0CR45LZCC,Nike,no,V,9811296804812441614
Nike Sportswear Cuffed Fleece Pants,718042,1543888,74.04,1,54.05,$99.95,$74.58,A3ESQJRCCGC8F8,1,B008PJWCHW,886548452910,886548452910,B07K5L491R,Nike,no,V,9803443292156834477
Nike Mens Air Max Plus 3 Tiger Cd7005 001 - Size 7.5,303359,247844,229,1,229,$317.00,$229.00,A2O4XN2BBGRDQ,1,B08J8KV9WY,193154400816,193154400816,B09KHB7L6C,Nike,no,V,9798934000099844866
"NIKE Unisex Performance Cushion No-Show Training Socks (3 Pairs), White/Black, Small",55608,58664,35,2,35,$64.00,$35.00,A1T89BUZK8PZX7,4,B002URF2RC,676556693500,676556693500,B06Y4DVTC4,Nike,no,V,9795426924261872683
Jordan Womens WMNS Air 1 Mid SE CZ0774 800 Bright Citrus - Size 5.5W,17977,16425,174,1,174,$360.00,$190.40,-,2,B096X5NW81,194956624455,194956624455,B0CGTHVB44,Nike,no,V,9790866416397303243
Jordan Womens WMNS Air Jordan 1 Low SE DH7820 700 Corduroy & Suede - Size 7W,19026,16520,236,2,236,$449.00,$236.51,AFW7WNX55N5K4,2,B09BJV6FNL,195238853099,195238853099,B08HSGKM3Q,Nike,no,V,9783207371783924076
"Nike Men's Air Zoom Pegasus 39 nkDH4071 001, Black/Dark Smoke Grey/White, 13",23927,19260,145,1,140.65,$238.09,$143.88,A1H8MUERXJ8VLJ,7,B09NSXV7G9,195868933710,195868933710,B0CPT8FWJV,Nike,no,V,978042418641855174
"Nike Kids Baby Boy's Color Block Full Zip Hoodie and Jogger Pants Two-Piece Track Set (3T, White(76e201-w1x)/Black)",216990,180146,46.98,9,46.98,$90.35,$45.27,A2BJMCJIG5VLMZ,2,B08GX4X1VZ,633716651251,633716651251,B07NJ67BNB,Nike,no,V,9776477873725383196
Nike Sportswear Tech Fleece Windrunner Women's Full-Zip Hoodie Size- X-Large Black/Black,303701,247065,139.39,1,138.99,$201.05,$139.68,AIMC7EES4LT9C,9,B0C9R3BFG8,196607985038,196607985038,B0CLDBX4LF,Nike,no,V,9775396007842691583
"Nike Men's KD Trey 5 X Basketball Shoes (Black/White-Volt, us_Footwear_Size_System, Adult, Men, Numeric, Medium, Numeric_10)",286895,252135,110.06,70,101.07,$106.88,$110.92,AC84Y246HJ6PO,11,B0BXQ3NR5P,195870964214,195870964214,B0CHZZD1L1,Nike,no,V,9775035366176476346
"Nike Rival Sprint Track & Field Sprinting Spikes (DC8753-001, Black/Light Smoke Grey/Dark Smoke Grey) Size 5",726656,726656,119.9,4,109.79,$132.63,$120.45,A3A8U7NR8EYN0G,5,B0CWVPQVXF,196151735967,196151735967,B0CWVTJ3DN,Nike,no,V,97722160519305678
"Nike Men's Standard Short Sleeve Hydrogu, Black, Large",60439,79355,43.25,30,37.53,$47.46,$39.85,A218NCVVSLQN1Q,1,B07XHXB8X2,30673170106,30673170106,B0CPTHJ13D,Nike,no,V,9771265292012836417
"Nike Women's Trail Running Shoes, Multicoloured White Black Summit White Phantom 100, 7 UK",148699,207455,295,1,295,$295.66,$295.00,"AGZNCPYPVIGLY, A3389DDRKC5SNE",2,B07XVVZP4X,193151406422,193151406422,B08696ZVMH,Nike,no,V,976796383065966530
"Nike Men's React Infinity Run FK Shoe, Black White Dark Grey, 7 UK",89503,78845,99.9,2,99.9,$249.98,$99.90,A2TVRE2CB5TELZ,3,B082K85ZZJ,193154311204,193154311204,B07VQGQVX5,Nike,no,V,9761487943260617996
"Nike Women's Benassi Just Do It Sandal, White/Metallic Silver, 11 Regular US",483005,536838,49.95,2,49.95,$74.90,$49.95,A2YO5R7RI9D6N1,1,B0059YG092,659658267329,659658267329,B09XX131J1,Nike,no,V,9760896877005015378
Nike Sportswear Tech Fleece Windrunner Men's Full-Zip Hoodie Size-Large,145001,145001,173.79,31,173.79,$173.90,$173.85,"A3NHPJDQF2LPC5, A14NNA3FSGTMQN, A3S897FBSOV5UF",6,B0CW648ZZY,196974853824,196974853824,B0CRP66QC1,Nike,no,V,9758171751335872042
Nike W Women Pegasus Turbo Next Nature Shoes DM3414 005 Size 6 US New in The Box Black/White,108681,108681,83.73,1,75.88,$125.00,$105.94,-,1,B0CSKLFFMR,196604431538,196604431538,B0C645JH7K,Nike,no,V,9748405511219162930
