Title,Sales Rank: 30 days avg.,Sales Rank: 90 days avg.,Buy Box: Current,Buy Box: Stock,New: Current,New: Highest,Referral Fee %,"New, 3rd Party FBM: 30 days avg.",Lowest FBM Seller,"Count of retrieved live offers: New, FBM",ASIN,Product Codes: EAN,Product Codes: UPC,Parent ASIN,Brand,Prime Eligible (Amazon offer),Custom_SKU,Google_Search_Link,Match,Amazon_link,Extraction_Link,Store,Price,Min Price,Max Price,Amazon_List_price,Can_List,Blacklisted,Curr_Listed?
Brooks Men's Ghost 14 GTX Waterproof Neutral Running Shoe - Black/Black/Ebony - 8.5 Medium,229109.0,171235.0,,,$169.76 ,$300.87 ,,,A1MLP04OASBI2Z,1.0,B097F3RQY1,190341000000.0,190341000000.0,B09963K6S5,Brooks,,GB190341000000.0,https://www.google.com/search?q=190341000000.0+Brooks+Men%27s+Ghost+14+GTX+Waterproof+Neutral+Running+Shoe+-+Black%2FBlack%2FEbony+-+8.5+Medium&tbm=shop,Y,https://www.amazon.com/dp/B097F3RQY1?psc=1,"https://www.google.com/shopping/product/9971177770836208968/offers?q=190341000000.0&prds=cid:9971177770836208968,cond:1",,,,,,N,V,0
Brooks Women’s Levitate 6 Neutral Running Shoe - Peacoat/Pink Lady/Lilac Rose - 8 Medium,13092.0,13057.0,,,$173.01 ,$289.69 ,,,AP3VA1GJZM3EQ,1.0,B0BJ4FNBXK,195394000000.0,195394000000.0,B0BHDSW31Q,Brooks,,GB195394000000.0,https://www.google.com/search?q=195394000000.0+Brooks+Women%E2%80%99s+Levitate+6+Neutral+Running+Shoe+-+Peacoat%2FPink+Lady%2FLilac+Rose+-+8+Medium&tbm=shop,Y,https://www.amazon.com/dp/B0BJ4FNBXK?psc=1,"https://www.google.com/shopping/product/9947485645866700459/offers?q=195394000000.0&prds=cid:9947485645866700459,cond:1",,,,,,N,V,0
Brooks Dare Racerback 2.0 Women’s Run Bra - Asphalt - 36F,70522.0,93394.0,$74.99 ,36.0,$74.99 ,$161.94 ,,,A3NWHXTQ4EBCZS,3.0,B09HSVSBBL,195394000000.0,195394000000.0,B0CLBNY9QK,Brooks,,GB195394000000.0,https://www.google.com/search?q=195394000000.0+Brooks+Dare+Racerback+2.0+Women%E2%80%99s+Run+Bra+-+Asphalt+-+36F&tbm=shop,Y,https://www.amazon.com/dp/B09HSVSBBL?psc=1,"https://www.google.com/shopping/product/9925439802977364170/offers?q=195394000000.0&prds=cid:9925439802977364170,cond:1",,,,,,N,V,0
Brooks Women's Ghost 15 Neutral Running Shoe - Light Blue/Black/Yellow - 10 Medium,48.0,70.0,,,,$199.00 ,,,-,,B0BHXSMDM1,195394000000.0,195394000000.0,B0CKKBPDKF,Brooks,,GB195394000000.0,https://www.google.com/search?q=195394000000.0+Brooks+Women%27s+Ghost+15+Neutral+Running+Shoe+-+Light+Blue%2FBlack%2FYellow+-+10+Medium&tbm=shop,Y,https://www.amazon.com/dp/B0BHXSMDM1?psc=1,"https://www.google.com/shopping/product/9916464321736839328/offers?q=195394000000.0&prds=cid:9916464321736839328,cond:1",,,,,,N,V,0
Brooks Levitate GTS 5 Women's Supportive Running Shoe - Grey/Peacoat/Blue Light - 5.5,320122.0,340486.0,,,$237.52 ,$250.99 ,,,A24V851RG6UNB7,1.0,B09MW5RPDK,195394000000.0,195394000000.0,B0B41GFJM9,Brooks,,GB195394000000.0,https://www.google.com/search?q=195394000000.0+Brooks+Levitate+GTS+5+Women%27s+Supportive+Running+Shoe+-+Grey%2FPeacoat%2FBlue+Light+-+5.5&tbm=shop,Y,https://www.amazon.com/dp/B09MW5RPDK?psc=1,"https://www.google.com/shopping/product/9867803604424792169/offers?q=195394000000.0&prds=cid:9867803604424792169,cond:1",,,,,,N,V,0
Brooks Women's Glycerin GTS 20 Supportive Running Shoe - Pink/Yellow/White - 11 Medium,4098.0,4308.0,,,,$214.99 ,,,-,,B0BHKPXKX3,195394000000.0,195394000000.0,B0BMZMYKQ1,Brooks,,GB195394000000.0,https://www.google.com/search?q=195394000000.0+Brooks+Women%27s+Glycerin+GTS+20+Supportive+Running+Shoe+-+Pink%2FYellow%2FWhite+-+11+Medium&tbm=shop,Y,https://www.amazon.com/dp/B0BHKPXKX3?psc=1,"https://www.google.com/shopping/product/9806285124968667005/offers?q=195394000000.0&prds=cid:9806285124968667005,cond:1",,,,,,N,V,0
Brooks Women's Ghost 15 Neutral Running Shoe - Black/Blackened Pearl/White - 5.5 Wide,49.0,70.0,,,$220.00 ,$250.65 ,,,A1PF2RJVZ25QD4,1.0,B09RRMK8LP,195394000000.0,195394000000.0,B0CKKBPDKF,Brooks,,GB195394000000.0,https://www.google.com/search?q=195394000000.0+Brooks+Women%27s+Ghost+15+Neutral+Running+Shoe+-+Black%2FBlackened+Pearl%2FWhite+-+5.5+Wide&tbm=shop,Y,https://www.amazon.com/dp/B09RRMK8LP?psc=1,"https://www.google.com/shopping/product/979358469498438476/offers?q=195394000000.0&prds=cid:979358469498438476,cond:1",,,,,,N,V,0
Brooks Women's Ghost 15 Neutral Running Shoe - Black/Blackened Pearl/White - 10 Wide,49.0,71.0,$109.95 ,8.0,$109.95 ,$199.99 ,,,"AZ3EGFUU23A8C, A1R2LN4EZ9SAP8",6.0,B09RRMCYCQ,195394000000.0,195394000000.0,B0CKKBPDKF,Brooks,,GB195394000000.0,https://www.google.com/search?q=195394000000.0+Brooks+Women%27s+Ghost+15+Neutral+Running+Shoe+-+Black%2FBlackened+Pearl%2FWhite+-+10+Wide&tbm=shop,Y,https://www.amazon.com/dp/B09RRMCYCQ?psc=1,"https://www.google.com/shopping/product/9771229175325889978/offers?q=195394000000.0&prds=cid:9771229175325889978,cond:1",,,,,,N,V,0
Brooks Women's Ghost 15 Neutral Running Shoe - Coral/Navy/Peach - 9.5 Medium,48.0,70.0,,,$209.95 ,$209.95 ,,,A2MZQYRHH6G2FX,1.0,B0BTBRZCRQ,195394000000.0,195394000000.0,B0CKKBPDKF,Brooks,,GB195394000000.0,https://www.google.com/search?q=195394000000.0+Brooks+Women%27s+Ghost+15+Neutral+Running+Shoe+-+Coral%2FNavy%2FPeach+-+9.5+Medium&tbm=shop,Y,https://www.amazon.com/dp/B0BTBRZCRQ?psc=1,"https://www.google.com/shopping/product/9769249614594421438/offers?q=195394000000.0&prds=cid:9769249614594421438,cond:1",,,,,,N,V,0
Brooks Men's Cascadia 16 Trail Running Shoe - Oyster Mushroom/Alloy/Orange - 8.5 Wide,12383.0,12694.0,$84.95 ,1.0,$84.95 ,$252.82 ,,,-,1.0,B08QV17M8X,190341000000.0,190341000000.0,B08QTT8QL8,Brooks,,GB190341000000.0,https://www.google.com/search?q=190341000000.0+Brooks+Men%27s+Cascadia+16+Trail+Running+Shoe+-+Oyster+Mushroom%2FAlloy%2FOrange+-+8.5+Wide&tbm=shop,Y,https://www.amazon.com/dp/B08QV17M8X?psc=1,"https://www.google.com/shopping/product/9766839080198879084/offers?q=190341000000.0&prds=cid:9766839080198879084,cond:1",,,,,,N,V,0
Brooks Men's Ghost 15 Neutral Running Shoe - Flintstone/Peacoat/Oak - 9.5 Wide,110.0,191.0,,,$199.03 ,$199.03 ,,,A1MLP04OASBI2Z,1.0,B09RS3K6J4,195394000000.0,195394000000.0,B09RRZXQHS,Brooks,,GB195394000000.0,https://www.google.com/search?q=195394000000.0+Brooks+Men%27s+Ghost+15+Neutral+Running+Shoe+-+Flintstone%2FPeacoat%2FOak+-+9.5+Wide&tbm=shop,Y,https://www.amazon.com/dp/B09RS3K6J4?psc=1,"https://www.google.com/shopping/product/9749740443735960407/offers?q=195394000000.0&prds=cid:9749740443735960407,cond:1",,,,,,N,V,0
