Title,Sales Rank: 30 days avg.,Sales Rank: 90 days avg.,Buy Box 🚚: Current,Buy Box 🚚: Stock,New: Current,New: Highest,"New, 3rd Party FBM 🚚: 30 days avg.",Lowest FBM Seller,"Count of retrieved live offers: New, FBM",ASIN,Product Codes: EAN,Product Codes: UPC,Parent ASIN,Brand,Prime Eligible (Buy Box)
Brooks Women's Adrenaline GTS 22 Supportive Running Shoe - Peacoat/Blue Iris/Rhapsody - 8.5 Wide,83.0,71.0,,,$ 174.00,$ 174.00,$ 158.57,A3ERVGYWNCMJRK,1.0,B0BHKZ7J72,195394226300.0,195394226300.0,B0C62SXDLR,Brooks,no
Brooks Women's Adrenaline GTS 22 Supportive Running Shoe - Purple/Dutch Blue/Lilac - 6 Medium,83.0,71.0,,,$ 169.75,$ 209.99,$ 169.75,A1MLP04OASBI2Z,1.0,B09MZMMSCZ,195394089400.0,195394089400.0,B0C62SXDLR,Brooks,yes
Brooks Women's Adrenaline GTS 22 Supportive Running Shoe - Alloy/Blue/Green - 10 X-Wide,82.0,70.0,,,$ 163.09,$ 265.90,$ 163.08,A1MLP04OASBI2Z,1.0,B08QTY9VKK,190340947056.0,190340947056.0,B0C62SXDLR,Brooks,yes
Brooks Women's Adrenaline GTS 22 Supportive Running Shoe - Black/Black/Ebony - 8 Medium,83.0,71.0,,,$ 139.99,$ 194.99,$ 136.38,A114I0OUP3FTFB,1.0,B08QVG4FP9,190340946301.0,190340946301.0,B0C62SXDLR,Brooks,yes
Brooks Women's Adrenaline GTS 22 Supportive Running Shoe - Purple/Dutch Blue/Lilac - 10 Medium,83.0,71.0,,,$ 169.75,$ 209.99,$ 108.67,A1MLP04OASBI2Z,1.0,B09MZMHZWP,195394089486.0,195394089486.0,B0C62SXDLR,Brooks,yes
Brooks Women's Adrenaline GTS 22 Supportive Running Shoe - Peacoat/Blue Iris/Rhapsody - 5.5 Medium,83.0,71.0,$ 109.95,6.0,$ 109.95,$ 182.00,$ 106.28,AZ3EGFUU23A8C,2.0,B0BHL2FNJH,195394226119.0,195394226119.0,B0C62SXDLR,Brooks,no
Brooks Women's Adrenaline GTS 22 Supportive Running Shoe - Lilac/Tempest/Pink - 6.5 Medium,84.0,71.0,,,$ 173.00,$ 199.99,$ 159.46,A2F3F8BB3QYULR,1.0,B09MZLP7JJ,195394075809.0,195394075809.0,B0C62SXDLR,Brooks,no
Brooks Women's Adrenaline GTS 22 Supportive Running Shoe - Blue/Purple/Nightlife - 11 Medium,84.0,71.0,,,$ 164.00,$ 164.00,$ 160.21,A2650U6VN1Z6TA,1.0,B09MJRFJBR,195394031812.0,195394031812.0,B0C62SXDLR,Brooks,yes
Brooks Women's Adrenaline GTS 22 Supportive Running Shoe - Alloy/Blue/Green - 5.5 Medium,83.0,70.0,,,$ 130.35,$ 163.09,$ 130.26,A1QH0GIGON2008,1.0,B08QV5Q8KQ,190340946684.0,190340946684.0,B0C62SXDLR,Brooks,yes
Brooks Women's Adrenaline GTS 22 Supportive Running Shoe - Peacoat/Cobalt/Mauve - 9 Medium,84.0,71.0,,,,$ 199.99,$ 168.51,-,,B09MZNCC97,195394089318.0,195394089318.0,B0C62SXDLR,Brooks,yes
Brooks Women's Adrenaline GTS 22 Supportive Running Shoe - Peacoat/Blue Iris/Rhapsody - 5.5 Narrow,84.0,72.0,,,$ 134.99,$ 134.99,$ 122.72,-,1.0,B0BHKKDH3G,195394226102.0,195394226102.0,B0C62SXDLR,Brooks,no
Brooks Women's Adrenaline GTS 22 Supportive Running Shoe - Black/Black/Ebony - 10.5 Medium,83.0,71.0,,,,$ 181.00,$ 159.93,-,,B08QV46SHD,190340946400.0,190340946400.0,B0C62SXDLR,Brooks,yes
Brooks Women's Adrenaline GTS 22 Supportive Running Shoe - Peacoat/Blue Iris/Rhapsody - 8 Medium,84.0,71.0,,,$ 139.99,$ 140.00,$ 150.12,A114I0OUP3FTFB,3.0,B0BHKSH7CP,195394226263.0,195394226263.0,B0C62SXDLR,Brooks,yes
Brooks Women's Adrenaline GTS 22 Supportive Running Shoe - Kentucky Blue/White/Rose - 6 Medium,84.0,71.0,$ 122.12,3.0,$ 107.17,$ 156.97,$ 117.22,-,4.0,B09RRS3PH2,195394154474.0,195394154474.0,B0C62SXDLR,Brooks,no
Brooks Women's Adrenaline GTS 22 Supportive Running Shoe - Black/Black/Ebony - 8.5 Medium,83.0,70.0,,,$ 134.99,$ 183.18,$ 133.55,A325BWLW9IYYOY,3.0,B08QVJS7FD,190340946325.0,190340946325.0,B0C62SXDLR,Brooks,yes
Brooks Women's Adrenaline GTS 22 Supportive Running Shoe - Black/Blue/Bittersweet - 10 Medium,84.0,71.0,,,$ 160.00,$ 189.99,$ 172.39,AZ3XNKNN838E9,1.0,B0BHL6SZ5F,195394246902.0,195394246902.0,B0C62SXDLR,Brooks,no
Brooks Women's Adrenaline GTS 22 Supportive Running Shoe - Alloy/Blue/Green - 12 X-Wide,83.0,71.0,,,$ 177.79,$ 243.28,$ 169.78,A1MLP04OASBI2Z,1.0,B08QVK5FVY,190340947216.0,190340947216.0,B0C62SXDLR,Brooks,no
Brooks Women's Adrenaline GTS 22 Supportive Running Shoe - Alloy/Blue/Green - 10.5 Wide,84.0,71.0,,,$ 163.15,$ 163.15,$ 160.25,A1MLP04OASBI2Z,1.0,B08QTR7SMS,190340947087.0,190340947087.0,B0C62SXDLR,Brooks,no
Brooks Women's Adrenaline GTS 22 Supportive Running Shoe - Peacoat/Blue Iris/Rhapsody - 9.5 Medium,82.0,70.0,,,$ 139.99,$ 140.00,$ 149.98,A114I0OUP3FTFB,1.0,B0BHKPXYZM,195394226355.0,195394226355.0,B0C62SXDLR,Brooks,yes
Brooks Women's Adrenaline GTS 22 Supportive Running Shoe - White/Oyster/Primer Grey - 11 Medium,85.0,72.0,,,$ 144.28,$ 243.28,$ 128.06,A3KPHGJZVOLD1G,1.0,B08QTZ5MKG,190340947919.0,190340947919.0,B0C62SXDLR,Brooks,no
Brooks Women's Adrenaline GTS 22 Supportive Running Shoe - Pink/Blackened Pearl - 8 Medium,84.0,71.0,,,$ 169.95,$ 184.99,,-,0.0,B0BHKQKW7L,195394225976.0,195394225976.0,B0C62SXDLR,Brooks,no
Brooks Womens Adrenaline GTS 22 Black/Black/Ebony 5 B - Medium,83.0,70.0,,,$ 134.99,$ 188.99,$ 124.10,A325BWLW9IYYOY,1.0,B08QV5D687,190340946189.0,190340946189.0,B0C62SXDLR,Brooks,no
Brooks Women's Adrenaline GTS 22 Supportive Running Shoe - White/Coral/Purple - 7 Medium,82.0,70.0,,,$ 163.15,$ 163.15,$ 131.11,A1MLP04OASBI2Z,1.0,B08QTRG2RF,190340947568.0,190340947568.0,B0C62SXDLR,Brooks,yes
