Title,Sales Rank: 30 days avg.,Sales Rank: 90 days avg.,Buy Box: Current,Buy Box: Stock,New: Current,New: Highest,"New, 3rd Party FBM 🚚: 30 days avg.",Lowest FBM Seller,"Count of retrieved live offers: New, FBM",ASIN,Product Codes: EAN,Product Codes: UPC,Parent ASIN,Brand,Prime Eligible (Buy Box),Custom_SKU,Google_Search_Link,Match,Amazon_link,Extraction_Link,Store,Price,Min Price,Max Price,Amazon_List_price,Can_List,Black_list,PID
"NIKE Women's Basketball Three Quarters high, Summit White Lt Orewood BRN White, 8",110030.0,83561.0,128.0,3.0,106.82,$132.00,$112.82,AP3VA1GJZM3EQ,3.0,B0CKVBDTC8,196969284886,196969284886,B07NLCD8YC,Nike,no,GB196969284886,https://www.google.com/search?q=196969284886+NIKE+Women%27s+Basketball+Three+Quarters+high%2C+Summit+White+Lt+Orewood+BRN+White%2C+8&tbm=shop,Y,https://www.amazon.com/dp/B0CKVBDTC8?psc=1,"https://www.google.com/shopping/product/999640626036162601/offers?q=196969284886&prds=cid:999640626036162601,cond:1",farfetch.com,95.0,161.5,179.55,,N,V,999640626036162601
NIKE Golf Gloves Mens Tour Classic III White R/H - M-L,447481.0,487262.0,27.95,1000.0,27.95,$42.65,$27.95,A38NC52YZMEYGW,5.0,B07TMH37SR,887791324245,887791324245,,Nike,no,GB887791324245,https://www.google.com/search?q=887791324245+NIKE+Golf+Gloves+Mens+Tour+Classic+III+White+R%2FH+-+M-L&tbm=shop,Y,https://www.amazon.com/dp/B07TMH37SR?psc=1,"https://www.google.com/shopping/product/998864642682220101/offers?q=887791324245&prds=cid:998864642682220101,cond:1",Worldwide Golf Shops,44.99,76.48,85.03,,N,V,998864642682220101
"NikeCourt Zoom Vapor Cage 4 Rafa Men’s Hard Court Tennis Shoes (DD1579-105, White/Action Green/Light Lemon Twist) Size 10",212665.0,194563.0,145.0,1.0,145.0,$168.13,$143.03,-,5.0,B0CKZ8QPDZ,196968965922,196968965922,B0CKZJ5PWQ,Nike,no,GB196968965922,https://www.google.com/search?q=196968965922+NikeCourt+Zoom+Vapor+Cage+4+Rafa+Men%E2%80%99s+Hard+Court+Tennis+Shoes+%28DD1579-105%2C+White%2FAction+Green%2FLight+Lemon+Twist%29+Size+10&tbm=shop,Y,https://www.amazon.com/dp/B0CKZ8QPDZ?psc=1,"https://www.google.com/shopping/product/9987142106916008149/offers?q=196968965922&prds=cid:9987142106916008149,cond:1",Tennis Express,120.0,204.0,226.8,,N,V,9987142106916008149
Nike Womens WMNS Dunk Low DD1503 111 White/Archeo Pink - Size 8.5W,3373.0,3135.0,225.99,1.0,225.99,$399.99,$228.14,"A2M9CLTM0HVHAP, ANDGSQJUYA6W9",4.0,B0B2C4XVKN,195243641933,195243641933,B0CPTC4924,Nike,no,GB195243641933,https://www.google.com/search?q=195243641933+Nike+Womens+WMNS+Dunk+Low+DD1503+111+White%2FArcheo+Pink+-+Size+8.5W&tbm=shop,Y,https://www.amazon.com/dp/B0B2C4XVKN?psc=1,"https://www.google.com/shopping/product/9972777338722212145/offers?q=195243641933&prds=cid:9972777338722212145,cond:1",eBay,149.95,254.91,283.41,,N,V,9972777338722212145
Nike Hydrastrong Solid Brief Game Royal 36,336381.0,337638.0,38.88,4.0,36.94,$62.38,$38.88,A2MV3DLPXSPMWV,5.0,B08H8WQQXV,30673194836,30673194836,B09FJ2BFN4,Nike,no,GB030673194836,https://www.google.com/search?q=030673194836+Nike+Hydrastrong+Solid+Brief+Game+Royal+36&tbm=shop,Y,https://www.amazon.com/dp/B08H8WQQXV?psc=1,"https://www.google.com/shopping/product/9968618644017744734/offers?q=30673194836&prds=cid:9968618644017744734,cond:1",SwimOutlet.com,53.99,91.78,102.04,,N,V,9968618644017744734
"Nike Men's Jordan Air 1 Mid SE Shoes, Black/Black-metallic Gold, 8",12698.0,13472.0,226.0,2.0,225.99,$309.47,$225.85,A2O4XN2BBGRDQ,3.0,B08P54VWF5,194498336458,194498336458,B0CPTHD1FB,Nike,no,GB194498336458,https://www.google.com/search?q=194498336458+Nike+Men%27s+Jordan+Air+1+Mid+SE+Shoes%2C+Black%2FBlack-metallic+Gold%2C+8&tbm=shop,Y,https://www.amazon.com/dp/B08P54VWF5?psc=1,"https://www.google.com/shopping/product/9959620465172671963/offers?q=194498336458&prds=cid:9959620465172671963,cond:1",eBay,131.94,224.3,249.37,225.0,Y,V,9959620465172671963
"Nike Men's Quad God Dri-FIT Training Tank Top (US, Alpha, XX-Large, Regular, Regular, Hasta/Pure Platinum)",34649.0,51166.0,26.72,3.0,21.99,$34.00,$26.72,A2OLOGJV257E78,2.0,B0BR8K5NR1,194955913987,194955913987,B0851MMFXL,Nike,no,GB194955913987,https://www.google.com/search?q=194955913987+Nike+Men%27s+Quad+God+Dri-FIT+Training+Tank+Top+%28US%2C+Alpha%2C+XX-Large%2C+Regular%2C+Regular%2C+Hasta%2FPure+Platinum%29&tbm=shop,Y,https://www.amazon.com/dp/B0BR8K5NR1?psc=1,"https://www.google.com/shopping/product/9958109403743877132/offers?q=194955913987&prds=cid:9958109403743877132,cond:1",DICK'S Sporting Goods,53.99,91.78,102.04,,N,V,9958109403743877132
"Nike Pegasus 40 Premium Men's Road Running Shoes (FJ0329-100, White/Fir/Green Strike/Malachite) Size 12",732871.0,1315502.0,149.97,1.0,149.97,$243.86,$151.68,A1H8MUERXJ8VLJ,3.0,B0C4LP672W,196607720134,196607720134,B0CBDJ3T4Y,Nike,no,GB196607720134,https://www.google.com/search?q=196607720134+Nike+Pegasus+40+Premium+Men%27s+Road+Running+Shoes+%28FJ0329-100%2C+White%2FFir%2FGreen+Strike%2FMalachite%29+Size+12&tbm=shop,Y,https://www.amazon.com/dp/B0C4LP672W?psc=1,"https://www.google.com/shopping/product/9940142424417315452/offers?q=196607720134&prds=cid:9940142424417315452,cond:1",eBay,114.0,193.8,215.46,,N,V,9940142424417315452
"Nike Boy's Sportswear Just Do It. T-Shirt (Red/White/Black, Small)",61954.0,102311.0,49.89,17.0,40.9,$76.42,$49.18,"AC84Y246HJ6PO, A3EUP28PDPRXNL",10.0,B0CFBRCTD2,196151067921,196151067921,B07GX345P7,Nike,no,GB196151067921,https://www.google.com/search?q=196151067921+Nike+Boy%27s+Sportswear+Just+Do+It.+T-Shirt+%28Red%2FWhite%2FBlack%2C+Small%29&tbm=shop,Y,https://www.amazon.com/dp/B0CFBRCTD2?psc=1,"https://www.google.com/shopping/product/9930137523138403510/offers?q=196151067921&prds=cid:9930137523138403510,cond:1",eBay - atozshop,18.95,32.21,35.82,48.89,Y,V,9930137523138403510
"NIKE Women's Sneaker, Black Black Summit White, 12",126747.0,153910.0,71.02,,64.69,$109.04,$65.14,AP3VA1GJZM3EQ,1.0,B08PDSXQBJ,194501078245,194501078245,B0B2R12L6J,Nike,no,GB194501078245,https://www.google.com/search?q=194501078245+NIKE+Women%27s+Sneaker%2C+Black+Black+Summit+White%2C+12&tbm=shop,Y,https://www.amazon.com/dp/B08PDSXQBJ?psc=1,"https://www.google.com/shopping/product/9930082409462395184/offers?q=194501078245&prds=cid:9930082409462395184,cond:1",DICK'S Sporting Goods,179.99,305.98,340.18,,N,V,9930082409462395184
Jordan Jordan 4 Retro SE (Little Kid) White/Black/Volt 2.5 Little Kid M,129493.0,118452.0,199.99,1.0,199.99,$200.00,$199.99,A1HUBJ4H8FIZG0,2.0,B097NGCNWH,195238787370,195238787370,B093YXCHG7,Nike,no,GB195238787370,https://www.google.com/search?q=195238787370+Jordan+Jordan+4+Retro+SE+%28Little+Kid%29+White%2FBlack%2FVolt+2.5+Little+Kid+M&tbm=shop,N,https://www.amazon.com/dp/B097NGCNWH?psc=1,"https://www.google.com/shopping/product/9925212348204811448/offers?q=195238787370&prds=cid:9925212348204811448,cond:1",Not Found,,,,,N,V,9925212348204811448
"NIKE Men's Running Low, White Black Light Crimson, 7",166700.0,255489.0,149.29,2.0,140.3,$159.45,$149.32,"AC84Y246HJ6PO, AAGYSXRML4LKF, A14S6XXWNZ07KP, ASINA8I5RMMEK, A3EUP28PDPRXNL",5.0,B0CKZ92M67,196604441841,196604441841,B0CPTH49SR,Nike,no,GB196604441841,https://www.google.com/search?q=196604441841+NIKE+Men%27s+Running+Low%2C+White+Black+Light+Crimson%2C+7&tbm=shop,Y,https://www.amazon.com/dp/B0CKZ92M67?psc=1,"https://www.google.com/shopping/product/9905931709491049152/offers?q=196604441841&prds=cid:9905931709491049152,cond:1",DICK'S Sporting Goods,99.99,169.98,188.98,,N,V,9905931709491049152
"Nike Air Max 270 Big Kids' Shoes (943345-602,Laser Fuchsia/Summit White-Black-White) Size 6",1149590.0,1405718.0,111.18,1.0,111.18,$182.63,$154.95,A340RKTM4H1EO0,6.0,B0CR6VRSZ9,196975918119,196975918119,B0CSHPQM74,Nike,no,GB196975918119,https://www.google.com/search?q=196975918119+Nike+Air+Max+270+Big+Kids%27+Shoes+%28943345-602%2CLaser+Fuchsia%2FSummit+White-Black-White%29+Size+6&tbm=shop,Y,https://www.amazon.com/dp/B0CR6VRSZ9?psc=1,"https://www.google.com/shopping/product/9898459871692876627/offers?q=196975918119&prds=cid:9898459871692876627,cond:1",DICK'S Sporting Goods,129.99,220.98,245.68,,N,V,9898459871692876627
"NIKE Men's Sneaker Three Quarters Tall, White Black Light Smoke Grey, 4",450459.0,677047.0,154.31,1.0,146.36,$186.59,$154.31,AF4GO035LHAA2,4.0,B0CKZ97Z3M,196969298586,196969298586,B0CKZJY12X,Nike,no,GB196969298586,https://www.google.com/search?q=196969298586+NIKE+Men%27s+Sneaker+Three+Quarters+Tall%2C+White+Black+Light+Smoke+Grey%2C+4&tbm=shop,Y,https://www.amazon.com/dp/B0CKZ97Z3M?psc=1,"https://www.google.com/shopping/product/9890163625096025626/offers?q=196969298586&prds=cid:9890163625096025626,cond:1",Nike,87.97,149.55,166.26,153.31,Y,V,9890163625096025626
"Nike Womens Flex Experience RN 11 Nn Running Trainers, White/Metallic Silver, 10 M US",95323.0,80379.0,96.01,20.0,85.82,$119.95,$93.29,A1J4K4IDFX16BR,4.0,B0BVVCQ8TM,195866023574,195866023574,B0CPTBZZF4,Nike,no,GB195866023574,https://www.google.com/search?q=195866023574+Nike+Womens+Flex+Experience+RN+11+Nn+Running+Trainers%2C+White%2FMetallic+Silver%2C+10+M+US&tbm=shop,N,https://www.amazon.com/dp/B0BVVCQ8TM?psc=1,"https://www.google.com/shopping/product/9889380844524832627/offers?q=195866023574&prds=cid:9889380844524832627,cond:1",Not Found,,,,,N,V,9889380844524832627
Jordan Youth Air 1 Mid GS 554725 096 Shadow/Red - Size 6Y,45732.0,43232.0,173.0,2.0,148.0,$249.99,$147.77,A1NHQWRXPDRQVV,10.0,B09JFTJV8K,195243827160,195243827160,B0CR45LZCC,Nike,no,GB195243827160,https://www.google.com/search?q=195243827160+Jordan+Youth+Air+1+Mid+GS+554725+096+Shadow%2FRed+-+Size+6Y&tbm=shop,Y,https://www.amazon.com/dp/B09JFTJV8K?psc=1,"https://www.google.com/shopping/product/9870600415833795384/offers?q=195243827160&prds=cid:9870600415833795384,cond:1",eBay,164.95,280.41,311.76,,N,V,9870600415833795384
Jordan Mens Air 1 Mid SE 852542 104 Olympic - USA - Size 8.5,12642.0,13461.0,186.0,4.0,186.0,$449.00,$205.19,AFW7WNX55N5K4,2.0,B08RJ71354,194277045335,194277045335,B0CPTHD1FB,Nike,no,GB194277045335,https://www.google.com/search?q=194277045335+Jordan+Mens+Air+1+Mid+SE+852542+104+Olympic+-+USA+-+Size+8.5&tbm=shop,Y,https://www.amazon.com/dp/B08RJ71354?psc=1,"https://www.google.com/shopping/product/9868633388862100563/offers?q=194277045335&prds=cid:9868633388862100563,cond:1",farfetch.com,175.0,297.5,330.75,,N,V,9868633388862100563
