Title,Sales Rank: 30 days avg.,Sales Rank: 90 days avg.,Buy Box: Current,Buy Box: Stock,New: Current,New: Highest,"New, 3rd Party FBM 🚚: 30 days avg.",Lowest FBM Seller,"Count of retrieved live offers: New, FBM",ASIN,Product Codes: EAN,Product Codes: UPC,Parent ASIN,Brand,Prime Eligible (Buy Box),Custom_SKU,Google_Search_Link,Match,Amazon_link,Extraction_Link,Store,Price,Min Price,Max Price,Amazon_List_price,Can_List,Black_list,PID
Birkenstock 1023263342 Boston SFB Pink Clay Sd N 42,234702,410690,,,280.65,$280.65,$280.19,AYN5A0CZC142X,1,B0BKNMLLPQ,887759835097,887759835097,B08431P38M,Birkenstock,no,GB0887759835097,https://www.google.com/search?q=0887759835097+Birkenstock+1023263342+Boston+SFB+Pink+Clay+Sd+N+42&tbm=shop,N,https://www.amazon.com/dp/B0BKNMLLPQ?psc=1,Not Found,Not Found,,,,,N,V,9999289380098199521
Birkenstock Unisex Arizona Essentials EVA Black Sandals - 46 M EU / 13-13.5 D(M) US,412286,166788,49.95,2,49.95,$130.00,$73.19,A3NL09MFMHKJ6C,2,B00UV55HZ2,886454426531,886454426531,B01NCNBCCK,Birkenstock,yes,GB0886454426531,https://www.google.com/search?q=0886454426531+Birkenstock+Unisex+Arizona+Essentials+EVA+Black+Sandals+-+46+M+EU+%2F+13-13.5+D%28M%29+US&tbm=shop,N,https://www.amazon.com/dp/B00UV55HZ2?psc=1,Not Found,Not Found,,,,,N,V,9988397294319361248
"Birkenstock Girls Heels Open Toe Sandals, Brown Mink Mink, 4.5 Narrow Big Kid",222982,231082,166.41,1,156,$166.41,$170.36,A325BWLW9IYYOY,5,B079NLMVYD,4.04E+12,4044477042770,B01NCNBCCK,Birkenstock,no,GB4044477042770,https://www.google.com/search?q=4044477042770+Birkenstock+Girls+Heels+Open+Toe+Sandals%2C+Brown+Mink+Mink%2C+4.5+Narrow+Big+Kid&tbm=shop,N,https://www.amazon.com/dp/B079NLMVYD?psc=1,Not Found,Not Found,,,,,N,V,9988397294319361248
Birkenstock 1011072138 Arizona Bb Cognac LTR 38,120354,206901,159.95,3,159.95,$284.07,$163.10,A2F3U3NJJC3IJO,2,B08XDYSKMN,886457178062,886457178062,B09M7NT55S,Birkenstock,no,GB0886457178062,https://www.google.com/search?q=0886457178062+Birkenstock+1011072138+Arizona+Bb+Cognac+LTR+38&tbm=shop,Y,https://www.amazon.com/dp/B08XDYSKMN?psc=1,"https://www.google.com/shopping/product/9971120641833353431/offers?q=0886457178062&prds=cid:9971120641833353431,cond:1",eBay - shoes_n_fashion,169.95,288.91,321.21,,N,V,9971120641833353431
Birkenstock Women's Gizeh Cork Footbed Thong Sandal Mocha 37 Medium EU,26482,25558,99.95,,99.95,$99.99,$109.35,A1JIMDWAF1I1XQ,1,B000MSU7VC,4.01E+12,4013871891109,B000EYBKY2,Birkenstock,yes,GB4013871891109,https://www.google.com/search?q=4013871891109+Birkenstock+Women%27s+Gizeh+Cork+Footbed+Thong+Sandal+Mocha+37+Medium+EU&tbm=shop,N,https://www.amazon.com/dp/B000MSU7VC?psc=1,"https://www.google.com/shopping/product/7401470066344885671/offers?q=4013871891109&prds=cid:7401470066344885671,cond:1",Not Found,,,,,N,V,9964899731115764741
Birkenstock 1015399145 Barbados White Eva R 45,2736033,3718630,79.95,3,79.95,$99.08,$79.95,A1C20BH4U0AX41,3,B08216Z1ZN,802436765672,802436765672,B08431P38M,Birkenstock,no,GB0802436765672,https://www.google.com/search?q=0802436765672+Birkenstock+1015399145+Barbados+White+Eva+R+45&tbm=shop,N,https://www.amazon.com/dp/B08216Z1ZN?psc=1,Not Found,Not Found,,,,,N,V,9959419251790444059
Birkenstock Zermatt Shearling 41 Narrow Cacao/Natural,664042,807324,,,109.95,$189.98,$135.00,A1C20BH4U0AX41,1,B07P15CLDK,822698099759,822698099759,B09L2NTVZC,Birkenstock,yes,GB0822698099759,https://www.google.com/search?q=0822698099759+Birkenstock+Zermatt+Shearling+41+Narrow+Cacao%2FNatural&tbm=shop,N,https://www.amazon.com/dp/B07P15CLDK?psc=1,Not Found,Not Found,,,,,N,V,9955760254824381823
Birkenstock New York Kids Black Birko-Flor 4 US Junior,1461178,2223859,71.58,1,71.58,$118.52,$71.58,A15AGXA4VOK562,2,B01BKUDNIE,"4052605232016, 5713757944743","4052605232016, 5713757944743",B07N6MNXCM,Birkenstock,no,"GB4052605232016, 5713757944743",https://www.google.com/search?q=4052605232016%2C+5713757944743+Birkenstock+New+York+Kids+Black+Birko-Flor+4+US+Junior&tbm=shop,N,https://www.amazon.com/dp/B01BKUDNIE?psc=1,Not Found,Not Found,,,,,N,V,9955216803632602473
"Birkenstock Arizona Shearling VL Women's Sandals, Pink, Size 10/10.5 US",78868,169976,164.49,1,164.49,$255.95,$203.44,AB8PP5ABO5Y5C,1,B09HKVB1JW,4.06E+12,4061416832223,B01MSYS2UL,Birkenstock,no,GB4061416832223,https://www.google.com/search?q=4061416832223+Birkenstock+Arizona+Shearling+VL+Women%27s+Sandals%2C+Pink%2C+Size+10%2F10.5+US&tbm=shop,N,https://www.amazon.com/dp/B09HKVB1JW?psc=1,"https://www.google.com/shopping/product/4696768482848977839/offers?q=4061416832223&prds=cid:4696768482848977839,cond:1",BHFO,90.99,154.68,171.97,163.49,Y,V,9940618958077276581
Birkenstock Super Birki Blue EU 43,212151,440044,,,99.95,$125.00,$99.95,A1C20BH4U0AX41,1,B000XDPJXW,736399267761,736399267761,B00I84NRP0,Birkenstock,no,GB0736399267761,https://www.google.com/search?q=0736399267761+Birkenstock+Super+Birki+Blue+EU+43&tbm=shop,Y,https://www.amazon.com/dp/B000XDPJXW?psc=1,"https://www.google.com/shopping/product/9924383621637117675/offers?q=0736399267761&prds=cid:9924383621637117675,cond:1",Zappos.com,89.95,152.91,170.01,,N,V,9924383621637117675
