Title,Sales Rank: 30 days avg.,Sales Rank: 90 days avg.,Buy Box: Current,Buy Box: Stock,New: Current,New: Highest,Referral Fee %,"New, 3rd Party FBM: 30 days avg.",Lowest FBM Seller,"Count of retrieved live offers: New, FBM",ASIN,Product Codes: EAN,Product Codes: UPC,Parent ASIN,Brand,Prime Eligible (Amazon offer),Custom_SKU,Google_Search_Link,Match,Amazon_link,Extraction_Link,Store,Price,Min Price,Max Price,Amazon_List_price,Can_List,Blacklisted,Curr_Listed?,Buy Box ðŸšš: Stock,"New, 3rd Party FBM ðŸšš: 30 days avg.",Prime Eligible (Buy Box),Buy Box : Current,Buy Box : Stock,Buy Bo : Current,Buy Box ðŸšš: Current,Curr_match,Buy Box 🚚: Stock,"New, 3rd Party FBM 🚚: 30 days avg.",Buy Box 🚚: Current
"Kate Spade New York Take Note Large Leatherette Initial Notebook, Bound Journal Includes 168 Lined Pages, G (Blue)",229189.0,224286.0,50.11,1.0,50.11,75.62,,,-,1.0,B07MNXTCVN,825466975132,825466975132,B08XK8FZCH,Kate Spade New York,,GB825466975132,https://www.google.com/search?q=825466975132+Kate+Spade+New+York+Take+Note+Large+Leatherette+Initial+Notebook%2C+Bound+Journal+Includes+168+Lined+Pages%2C+G+%28Blue%29&tbm=shop,Y,https://www.amazon.com/dp/B07MNXTCVN?psc=1,"https://www.google.com/shopping/product/4043883941689332768/offers?q=0825466975132&prds=cid:4043883941689332768,cond:1",eBay - euphoric_operations,15.0,25.5,28.05,49.11,Y,V,1.0,,,,,,,,,,,
"KATE SPADE Wickford Soup Bowl, 0.80 LB, White",101323.0,94005.0,,,37.99,60.0,,,-,1.0,B002AGJSG4,882864202406,882864202406,B0BZSVDZZ4,Kate Spade New York,,GB882864202406,https://www.google.com/search?q=882864202406+KATE+SPADE+Wickford+Soup+Bowl%2C+0.80+LB%2C+White&tbm=shop,Y,https://www.amazon.com/dp/B002AGJSG4?psc=1,"https://www.google.com/shopping/product/11197361139771889257/offers?q=0882864202406&prds=cid:11197361139771889257,cond:1",Zola,20.99,35.683,39.2513,36.99,Y,V,1.0,,,,,,,,,,,
"Steve Madden Womens Hesitant Suede Stretch Mid-Calf Boots Brown 5 Medium (B,M)",210248.0,173948.0,83.18,,67.99,139.0,,,-,1.0,B0BN5W2FTY,196361701257,196361701257,B09QHLG7BV,Steve Madden,,GB196361701257,https://www.google.com/search?q=196361701257+Steve+Madden+Womens+Hesitant+Suede+Stretch+Mid-Calf+Boots+Brown+5+Medium+%28B%2CM%29&tbm=shop,Y,https://www.amazon.com/dp/B0BN5W2FTY?psc=1,"https://www.google.com/shopping/product/17260249290505108635/offers?q=196361701257&prds=cid:17260249290505108635,cond:1",,,,,,N,V,1.0,,,no,,,,,0.0,,,
"New Balance Kid's 680 V6 Hook and Loop Running Shoe, Black/Magenta Pop/Aura, 3 Little Kid",40883.0,41389.0,,,82.92,84.92,,,ANZYNJW9IIF9C,,B093QMHD72,195907357231,195907357231,B088DZBSR2,New Balance,,GB195907357231,https://www.google.com/search?q=195907357231+New+Balance+Kid%27s+680+V6+Hook+and+Loop+Running+Shoe%2C+Black%2FMagenta+Pop%2FAura%2C+3+Little+Kid&tbm=shop,Y,https://www.amazon.com/dp/B093QMHD72?psc=1,"https://www.google.com/shopping/product/9399727616001944341/offers?q=0195907357231&prds=cid:9399727616001944341,cond:1",,,,,,N,V,1.0,,,,,,,,,,,
"Kate Spade New York Willow Drive8482 Purpose Bowl, 1.13 LB, Taupe/Grey",135757.0,133445.0,,,,36.49,,,-,,B07T5YSLGK,882864793850,882864793850,B0CGWCTX1D,Kate Spade,,GB882864793850,https://www.google.com/search?q=882864793850+Kate+Spade+New+York+Willow+Drive8482+Purpose+Bowl%2C+1.13+LB%2C+Taupe%2FGrey&tbm=shop,Y,https://www.amazon.com/dp/B07T5YSLGK?psc=1,"https://www.google.com/shopping/product/14120081416690925649/offers?q=0882864793850&prds=cid:14120081416690925649,cond:1",replacements.com,25.99,44.18299999999999,48.6013,44.18299999999999,Y,V,1.0,,,,,,,,,,,
"New Balance Men's Impact Run Short Sleeve 22, Athletic Grey, Large",186101.0,193860.0,,,81.46,81.57,,,A20FLYA0IW2L9O,1.0,B0924Y2C7B,195907328385,195907328385,B0CLSXJQ16,New Balance,,GB195907328385,https://www.google.com/search?q=195907328385+New+Balance+Men%27s+Impact+Run+Short+Sleeve+22%2C+Athletic+Grey%2C+Large&tbm=shop,Y,https://www.amazon.com/dp/B0924Y2C7B?psc=1,"https://www.google.com/shopping/product/2244548958493108932/offers?q=0195907328385&prds=cid:2244548958493108932,cond:1",TC Running Co,29.95,50.915,56.0065,80.46,Y,V,1.0,,,,,,,,,,,
Kate Spade New York Protective Hardshell Case Compatible with Apple iPhone 14 - Hollyhock Floral Clear [KSIPH-222-HHCCS],129688.0,102828.0,,,52.34,52.34,,,-,,B0BBZ524RT,650450081588,650450081588,,Kate Spade New York,,GB650450081588,https://www.google.com/search?q=650450081588+Kate+Spade+New+York+Protective+Hardshell+Case+Compatible+with+Apple+iPhone+14+-+Hollyhock+Floral+Clear+%5BKSIPH-222-HHCCS%5D&tbm=shop,Y,https://www.amazon.com/dp/B0BBZ524RT?psc=1,"https://www.google.com/shopping/product/13174099823570637175/offers?q=0650450081588&prds=cid:13174099823570637175,cond:1",eBay,30.79,52.342999999999996,57.5773,52.342999999999996,Y,V,1.0,,,,,,,,,,,
New Balance Fresh Foam Cruz v1 Reissue Black/Phantom 13 D (M),201975.0,161401.0,,,111.34,119.94,,114.00$,ANZYNJW9IIF9C,3.0,B0BPQRR41Y,196307878449,196307878449,B093ZZVL32,New Balance,yes,GB196307878449,https://www.google.com/search?q=196307878449+New+Balance+Fresh+Foam+Cruz+v1+Reissue+Black%2FPhantom+13+D+%28M%29&tbm=shop,Y,https://www.amazon.com/dp/B0BPQRR41Y?psc=1,"https://www.google.com/shopping/product/662550267963942408/offers?q=0196307878449&prds=cid:662550267963942408,cond:1",DICK'S Sporting Goods,84.99,144.48299999999998,158.9313,144.48299999999998,Y,V,1.0,,,,,,,,,,,
"New Balance Unisex 574 V2 Lace-Up Sneaker, White/Burgundy, 8 US Men",48914.0,38008.0,,,,84.99,,,-,,B09YB3YJRW,196432656448,196432656448,B01N969VZC,New Balance,yes,GB196432656448,https://www.google.com/search?q=196432656448+New+Balance+Unisex+574+V2+Lace-Up+Sneaker%2C+White%2FBurgundy%2C+8+US+Men&tbm=shop,Y,https://www.amazon.com/dp/B09YB3YJRW?psc=1,"https://www.google.com/shopping/product/12200199636089693981/offers?q=0196432656448&prds=cid:12200199636089693981,cond:1",,,,,,N,V,1.0,,,,,,,,,,,
"New Balance Women's Fresh Foam Velo V3 Turf-Trainer Softball Shoe, Black/White, 10 Wide",95041.0,143655.0,,,,89.95,,,-,,B09K4V49DZ,196307527170,196307527170,B09K5496V8,New Balance,yes,GB196307527170,https://www.google.com/search?q=196307527170+New+Balance+Women%27s+Fresh+Foam+Velo+V3+Turf-Trainer+Softball+Shoe%2C+Black%2FWhite%2C+10+Wide&tbm=shop,Y,https://www.amazon.com/dp/B09K4V49DZ?psc=1,"https://www.google.com/shopping/product/10827144765062431757/offers?q=0196307527170&prds=cid:10827144765062431757,cond:1",,,,,,N,V,1.0,,,,,,,,,,,
