Title,Sales Rank: 30 days avg.,Sales Rank: 90 days avg.,Buy Box: Current,Buy Box: Stock,New: Current,"New, 3rd Party FBM: 30 days avg.",Lowest FBM Seller,"Count of retrieved live offers: New, FBM",ASIN,Product Codes: EAN,Product Codes: UPC,Parent ASIN,Brand,Prime Eligible (Amazon offer),Custom_SKU,Google_Search_Link,Amazon_link,Match,Extraction_Link,Store,Price,Min Price,Max Price,Amazon_List_price,Can_List
"New Balance Men's 608 V5 Casual Comfort Cross Trainer, White/Navy/Red, 11 Wide",206,276,,,,,-,,B0923C7C5B,0194768210310,194768210310,B093XKL7WZ,New Balance,yes,GB194768210310,https://www.google.com/search?q=194768210310+New+Balance+Men%27s+608+V5+Casual+Comfort+Cross+Trainer%2C+White%2FNavy%2FRed%2C+11+Wide&tbm=shop,https://www.amazon.com/dp/B0923C7C5B?psc=1,Y,"https://www.google.com/shopping/product/13637089744858206057/offers?q=194768210310&prds=cid:13637089744858206057,cond:1",Kohl's,69.99,118.98,132.28,132.28,Y
"New Balance Men's 608 V5 Casual Comfort Cross Trainer, Team Away Grey/Castlerock, 15 X-Wide",203,257,74.95,7.0,74.95,74.95 $,Peltz Shoes (94% A1BNXE6U3W2NOH),1.0,B07F1N3Z3L,0192983452072,192983452072,B093XKL7WZ,New Balance,no,GB192983452072,https://www.google.com/search?q=192983452072+New+Balance+Men%27s+608+V5+Casual+Comfort+Cross+Trainer%2C+Team+Away+Grey%2FCastlerock%2C+15+X-Wide&tbm=shop,https://www.amazon.com/dp/B07F1N3Z3L?psc=1,Y,"https://www.google.com/shopping/product/6084824764254171725/offers?q=192983452072&prds=cid:6084824764254171725,cond:1",Shoe Station,79.98,135.97,151.16,,N
"New Balance Men's 608 V5 Casual Comfort Cross Trainer, White/Black/Silver, 8.5",206,275,138.54,2.0,130.59,138.54 $,Ever Onwards Store (83% AF4GO035LHAA2),1.0,B07YZR5QS3,0194182875034,194182875034,B093XKL7WZ,New Balance,no,GB194182875034,https://www.google.com/search?q=194182875034+New+Balance+Men%27s+608+V5+Casual+Comfort+Cross+Trainer%2C+White%2FBlack%2FSilver%2C+8.5&tbm=shop,https://www.amazon.com/dp/B07YZR5QS3?psc=1,Y,"https://www.google.com/shopping/product/3256067117976494261/offers?q=194182875034&prds=cid:3256067117976494261,cond:1",Kohl's,64.99,110.48,122.83,137.54,Y
"New Balance Men's 608 V5 Casual Comfort Cross Trainer, White/Black/Silver, 8 X-Wide",203,272,138.04,2.0,130.09,138.16 $,Ever Onwards Store (83% AF4GO035LHAA2),1.0,B07YZPG6SR,0194182875416,194182875416,B093XKL7WZ,New Balance,no,GB194182875416,https://www.google.com/search?q=194182875416+New+Balance+Men%27s+608+V5+Casual+Comfort+Cross+Trainer%2C+White%2FBlack%2FSilver%2C+8+X-Wide&tbm=shop,https://www.amazon.com/dp/B07YZPG6SR?psc=1,Y,"https://www.google.com/shopping/product/2924002567472190880/offers?q=194182875416&prds=cid:2924002567472190880,cond:1",Rogans Shoes,82.25,139.82,155.45,,N
"New Balance Men's 608 V5 Casual Comfort Cross Trainer, White/Navy/Red, 10",205,273,,,,,-,,B08D11FD8L,0194768210099,194768210099,B093XKL7WZ,New Balance,no,GB194768210099,https://www.google.com/search?q=194768210099+New+Balance+Men%27s+608+V5+Casual+Comfort+Cross+Trainer%2C+White%2FNavy%2FRed%2C+10&tbm=shop,https://www.amazon.com/dp/B08D11FD8L?psc=1,Y,"https://www.google.com/shopping/product/3779422549417537850/offers?q=194768210099&prds=cid:3779422549417537850,cond:1",New Balance,84.94,144.4,160.54,160.54,Y
"New Balance Men's 608 V5 Casual Comfort Cross Trainer, White/Black/Silver, 8",203,276,,,121.57,118.37 $,-,1.0,B07YZRKYTC,0194182875027,194182875027,B093XKL7WZ,New Balance,no,GB194182875027,https://www.google.com/search?q=194182875027+New+Balance+Men%27s+608+V5+Casual+Comfort+Cross+Trainer%2C+White%2FBlack%2FSilver%2C+8&tbm=shop,https://www.amazon.com/dp/B07YZRKYTC?psc=1,Y,"https://www.google.com/shopping/product/6084824764254171725/offers?q=194182875027&prds=cid:6084824764254171725,cond:1",Shoe Station,79.98,135.97,151.16,,N
"New Balance Women's Fresh Foam Roav V1 Running Shoe, Night Tide/Blue, 8.5",374,620,,,,,-,,B093QL6WWT,0195907563144,195907563144,B089S7TS2F,New Balance,yes,GB195907563144,https://www.google.com/search?q=195907563144+New+Balance+Women%27s+Fresh+Foam+Roav+V1+Running+Shoe%2C+Night+Tide%2FBlue%2C+8.5&tbm=shop,https://www.amazon.com/dp/B093QL6WWT?psc=1,Y,"https://www.google.com/shopping/product/1343744886360012007/offers?q=195907563144&prds=cid:1343744886360012007,cond:1",Zappos.com,84.95,144.41,160.56,160.56,Y
"New Balance Women's Fresh Foam Roav V1 Running Shoe, Black/Grey, 8.5 Wide",381,620,,,,,-,,B093QLDS16,0195907563861,195907563861,B089S7TS2F,New Balance,yes,GB195907563861,https://www.google.com/search?q=195907563861+New+Balance+Women%27s+Fresh+Foam+Roav+V1+Running+Shoe%2C+Black%2FGrey%2C+8.5+Wide&tbm=shop,https://www.amazon.com/dp/B093QLDS16?psc=1,Y,"https://www.google.com/shopping/product/16405623774787294959/offers?q=195907563861&prds=cid:16405623774787294959,cond:1",Not Found,,,,,N
"New Balance Women's Fresh Foam Roav V1 Running Shoe, Nimbus Cloud/Peach Glaze/Vibrant Pink, 11",377,618,76.78,2.0,76.78,,-,,B09K4VW2YC,0196307847032,196307847032,B089S7TS2F,New Balance,yes,GB196307847032,https://www.google.com/search?q=196307847032+New+Balance+Women%27s+Fresh+Foam+Roav+V1+Running+Shoe%2C+Nimbus+Cloud%2FPeach+Glaze%2FVibrant+Pink%2C+11&tbm=shop,https://www.amazon.com/dp/B09K4VW2YC?psc=1,Y,"https://www.google.com/shopping/product/14791733826567678314/offers?q=196307847032&prds=cid:14791733826567678314,cond:1",Not Found,,,,,N
"New Balance Women's Fresh Foam Roav V1 Running Shoe, White/Cobalt/Energy Lime, 8",376,618,,,,119.00 $,-,,B09K4TWFTN,0195907041710,195907041710,B089S7TS2F,New Balance,no,GB195907041710,https://www.google.com/search?q=195907041710+New+Balance+Women%27s+Fresh+Foam+Roav+V1+Running+Shoe%2C+White%2FCobalt%2FEnergy+Lime%2C+8&tbm=shop,https://www.amazon.com/dp/B09K4TWFTN?psc=1,Y,"https://www.google.com/shopping/product/5453325658412694206/offers?q=195907041710&prds=cid:5453325658412694206,cond:1",Kohl's,84.99,144.48,160.63,160.63,Y
"New Balance Women's Fresh Foam Roav V1 Sneaker, Iodine Violet/Peony, 6.5",375,617,,,104.74,106.54 $,Numoon Collection (94% A1B43WMIJ58I3U),2.0,B07HG47TX8,0193362433217,193362433217,B089S7TS2F,New Balance,no,GB193362433217,https://www.google.com/search?q=193362433217+New+Balance+Women%27s+Fresh+Foam+Roav+V1+Sneaker%2C+Iodine+Violet%2FPeony%2C+6.5&tbm=shop,https://www.amazon.com/dp/B07HG47TX8?psc=1,N,Not Found,Not Found,,,,,N
"New Balance Women's Fresh Foam Roav V1 Running Shoe, Gray/Gray, 9 Wide",375,621,,,,,-,,B093QJWDZH,0195907563588,195907563588,B089S7TS2F,New Balance,yes,GB195907563588,https://www.google.com/search?q=195907563588+New+Balance+Women%27s+Fresh+Foam+Roav+V1+Running+Shoe%2C+Gray%2FGray%2C+9+Wide&tbm=shop,https://www.amazon.com/dp/B093QJWDZH?psc=1,N,Not Found,Not Found,,,,,N
"New Balance Women's Fresh Foam Roav V1 Running Shoe, Gray/Gray, 5",375,618,,180.0,,129.44 $,"ELTCO (48% AUZHYMZYT39ZN), Warehouse Island LLC (70% AYN5A0CZC142X)",2.0,B093QH2QXT,0195907563366,195907563366,B089S7TS2F,New Balance,yes,GB195907563366,https://www.google.com/search?q=195907563366+New+Balance+Women%27s+Fresh+Foam+Roav+V1+Running+Shoe%2C+Gray%2FGray%2C+5&tbm=shop,https://www.amazon.com/dp/B093QH2QXT?psc=1,Y,"https://www.google.com/shopping/product/5453325658412694206/offers?q=195907563366&prds=cid:5453325658412694206,cond:1",Kohl's,84.99,144.48,160.63,160.63,Y
"New Balance Women's Fresh Foam Roav V1 Sneaker, Black/Sea Salt, 5",375,618,,,,107.54 $,-,,B07HFZQPJB,0193362433477,193362433477,B089S7TS2F,New Balance,no,GB193362433477,https://www.google.com/search?q=193362433477+New+Balance+Women%27s+Fresh+Foam+Roav+V1+Sneaker%2C+Black%2FSea+Salt%2C+5&tbm=shop,https://www.amazon.com/dp/B07HFZQPJB?psc=1,Y,"https://www.google.com/shopping/product/4261188213572682030/offers?q=193362433477&prds=cid:4261188213572682030,cond:1",LacrosseMonkey.com,49.98,84.97,94.46,94.46,Y
"New Balance Women's Fresh Foam Roav V1 Running Shoe, Nimbus Cloud/Peach Glaze/Dusk Blue, 7.5 Wide",373,616,,,,,-,,B09K4V81H6,0196307846813,196307846813,B089S7TS2F,New Balance,yes,GB196307846813,https://www.google.com/search?q=196307846813+New+Balance+Women%27s+Fresh+Foam+Roav+V1+Running+Shoe%2C+Nimbus+Cloud%2FPeach+Glaze%2FDusk+Blue%2C+7.5+Wide&tbm=shop,https://www.amazon.com/dp/B09K4V81H6?psc=1,Y,"https://www.google.com/shopping/product/14170757692472382079/offers?q=196307846813&prds=cid:14170757692472382079,cond:1",Foot Locker,79.99,135.98,151.18,151.18,Y
"New Balance Women's Fresh Foam Roav V1 Running Shoe, Gray/Gray, 12",374,617,,24.0,,68.48 $,Innovative techs (77% A2141PAN4SCCIJ),1.0,B093QKZB2G,0195907563496,195907563496,B089S7TS2F,New Balance,yes,GB195907563496,https://www.google.com/search?q=195907563496+New+Balance+Women%27s+Fresh+Foam+Roav+V1+Running+Shoe%2C+Gray%2FGray%2C+12&tbm=shop,https://www.amazon.com/dp/B093QKZB2G?psc=1,Y,"https://www.google.com/shopping/product/16717502736715200645/offers?q=195907563496&prds=cid:16717502736715200645,cond:1",Rack Room Shoes,89.97,152.95,170.04,170.04,Y
"New Balance Women's Fresh Foam Roav V1 Running Shoe, Electric Purple/Multi, 7",378,619,,,,141.06 $,-,,B09H3NQHLV,0196307425438,196307425438,B089S7TS2F,New Balance,yes,GB196307425438,https://www.google.com/search?q=196307425438+New+Balance+Women%27s+Fresh+Foam+Roav+V1+Running+Shoe%2C+Electric+Purple%2FMulti%2C+7&tbm=shop,https://www.amazon.com/dp/B09H3NQHLV?psc=1,N,Not Found,Not Found,,,,,N
"New Balance Women's Fresh Foam Roav V1 Sneaker, Iodine Violet/Peony, 6",376,618,,,104.74,106.90 $,Numoon Collection (94% A1B43WMIJ58I3U),2.0,B07HG47TWM,0193362433200,193362433200,B089S7TS2F,New Balance,no,GB193362433200,https://www.google.com/search?q=193362433200+New+Balance+Women%27s+Fresh+Foam+Roav+V1+Sneaker%2C+Iodine+Violet%2FPeony%2C+6&tbm=shop,https://www.amazon.com/dp/B07HG47TWM?psc=1,Y,"https://www.google.com/shopping/product/2281052635033094343/offers?q=193362433200&prds=cid:2281052635033094343,cond:1",GoalieMonkey.com,49.98,84.97,94.46,103.74,Y
"New Balance Women's Fresh Foam Roav V1 Running Shoe, Blacktop/Gum, 7",374,617,,,109.99,128.18 $,Jai Industries LLC (77% A1L771VVVO0RJK),1.0,B09XRG6MK6,0196432783397,196432783397,B089S7TS2F,New Balance,yes,GB196432783397,https://www.google.com/search?q=196432783397+New+Balance+Women%27s+Fresh+Foam+Roav+V1+Running+Shoe%2C+Blacktop%2FGum%2C+7&tbm=shop,https://www.amazon.com/dp/B09XRG6MK6?psc=1,N,Not Found,Not Found,,,,,N
"New Balance Women's Fresh Foam Roav V1 Sneaker, Moonbeam/Light Aluminum, 7.5 Wide",380,620,,,,,-,,B07RFVZ442,0194182041040,194182041040,B089S7TS2F,New Balance,yes,GB194182041040,https://www.google.com/search?q=194182041040+New+Balance+Women%27s+Fresh+Foam+Roav+V1+Sneaker%2C+Moonbeam%2FLight+Aluminum%2C+7.5+Wide&tbm=shop,https://www.amazon.com/dp/B07RFVZ442?psc=1,Y,"https://www.google.com/shopping/product/14603654854114227730/offers?q=194182041040&prds=cid:14603654854114227730,cond:1",Not Found,,,,,N
"New Balance Women's Fresh Foam Roav V1 Running Shoe, Blacktop/Gum, 9",373,618,,,,129.80 $,-,,B09XRG65KK,0196432783434,196432783434,B089S7TS2F,New Balance,yes,GB196432783434,https://www.google.com/search?q=196432783434+New+Balance+Women%27s+Fresh+Foam+Roav+V1+Running+Shoe%2C+Blacktop%2FGum%2C+9&tbm=shop,https://www.amazon.com/dp/B09XRG65KK?psc=1,N,Not Found,Not Found,,,,,N
