Title,Sales Rank: 30 days avg.,Sales Rank: 90 days avg.,Buy Box: Current,Buy Box 🚚: Stock,New: Current,"New, 3rd Party FBM 🚚: 30 days avg.",Lowest FBM Seller,"Count of retrieved live offers: New, FBM",ASIN,Product Codes: EAN,Product Codes: UPC,Parent ASIN,Brand,Prime Eligible (Buy Box),Custom_SKU,Google_Search_Link,Amazon_link,Match,Extraction_Link,Store,Price,Min Price,Max Price,Amazon_List_price,Can_List
"New Balance Men's 608 V5 Casual Comfort Cross Trainer, White/Black/Silver, 13",190,269,,,101.13,$ 111.11,AF4GO035LHAA2,1.0,B07YZPNXG3,0194182875126,194182875126,B093XKL7WZ,New Balance,yes,GB194182875126,https://www.google.com/search?q=194182875126+New+Balance+Men%27s+608+V5+Casual+Comfort+Cross+Trainer%2C+White%2FBlack%2FSilver%2C+13&tbm=shop,https://www.amazon.com/dp/B07YZPNXG3?psc=1,Y,"https://www.google.com/shopping/product/15888048326742949868/offers?q=194182875126&prds=cid:15888048326742949868,cond:1",Not Found,,,,,N
"New Balance Men's 608 V5 Casual Comfort Cross Trainer, White/Navy/Red, 12 Wide",192,274,,,,,-,,B0923BB8FN,0194768210334,194768210334,B093XKL7WZ,New Balance,yes,GB194768210334,https://www.google.com/search?q=194768210334+New+Balance+Men%27s+608+V5+Casual+Comfort+Cross+Trainer%2C+White%2FNavy%2FRed%2C+12+Wide&tbm=shop,https://www.amazon.com/dp/B0923BB8FN?psc=1,Y,"https://www.google.com/shopping/product/13903692763939176866/offers?q=194768210334&prds=cid:13903692763939176866,cond:1",Not Found,,,,,N
"New Balance Women's Fresh Foam Roav V1 Running Shoe, Blacktop/Gum, 10",340,596,,,109.99,$ 124.49,A1L771VVVO0RJK,1.0,B09XRFN2HV,0196432783458,196432783458,B089S7TS2F,New Balance,yes,GB196432783458,https://www.google.com/search?q=196432783458+New+Balance+Women%27s+Fresh+Foam+Roav+V1+Running+Shoe%2C+Blacktop%2FGum%2C+10&tbm=shop,https://www.amazon.com/dp/B09XRFN2HV?psc=1,Y,"https://www.google.com/shopping/product/9486904938213561349/offers?q=196432783458&prds=cid:9486904938213561349,cond:1",Shoe Station,89.98,152.97,170.06,,N
"New Balance Women's Fresh Foam Roav V1 Sneaker, Nb White/Black, 5 M US",341,599,,,107.98,$ 116.34,AF4GO035LHAA2,2.0,B08KH1QTKQ,0195481453602,195481453602,B089S7TS2F,New Balance,yes,GB195481453602,https://www.google.com/search?q=195481453602+New+Balance+Women%27s+Fresh+Foam+Roav+V1+Sneaker%2C+Nb+White%2FBlack%2C+5+M+US&tbm=shop,https://www.amazon.com/dp/B08KH1QTKQ?psc=1,N,Not Found,Not Found,,,,,N
"New Balance Men's 608 V5 Casual Comfort Cross Trainer, Grey Dark, 17",191,274,,,,$ 74.95,-,,B089DBSTX8,0194768277528,194768277528,B093XKL7WZ,New Balance,no,GB194768277528,https://www.google.com/search?q=194768277528+New+Balance+Men%27s+608+V5+Casual+Comfort+Cross+Trainer%2C+Grey+Dark%2C+17&tbm=shop,https://www.amazon.com/dp/B089DBSTX8?psc=1,Y,"https://www.google.com/shopping/product/16225070214042062951/offers?q=194768277528&prds=cid:16225070214042062951,cond:1",Not Found,,,,,N
"New Balance Men's 608 V5 Casual Comfort Cross Trainer, White/Navy, 8.5 XX-Wide",193,272,,,,$ 58.45,-,,B0BPN4ZCBG,0196941576008,196941576008,B093XKL7WZ,New Balance,yes,GB196941576008,https://www.google.com/search?q=196941576008+New+Balance+Men%27s+608+V5+Casual+Comfort+Cross+Trainer%2C+White%2FNavy%2C+8.5+XX-Wide&tbm=shop,https://www.amazon.com/dp/B0BPN4ZCBG?psc=1,Y,"https://www.google.com/shopping/product/9990854979965399134/offers?q=196941576008&prds=cid:9990854979965399134,cond:1",New Balance,69.94,118.9,132.19,132.19,Y
"New Balance Men's 608 V5 Casual Comfort Cross Trainer, White/Navy/Red, 11 X-Wide",191,273,,,,,-,,B08D11SDZW,0194768210501,194768210501,B093XKL7WZ,New Balance,yes,GB194768210501,https://www.google.com/search?q=194768210501+New+Balance+Men%27s+608+V5+Casual+Comfort+Cross+Trainer%2C+White%2FNavy%2FRed%2C+11+X-Wide&tbm=shop,https://www.amazon.com/dp/B08D11SDZW?psc=1,Y,"https://www.google.com/shopping/product/18073909829559129488/offers?q=194768210501&prds=cid:18073909829559129488,cond:1",New Balance,69.94,118.9,132.19,132.19,Y
"New Balance Men's 608 V5 Casual Comfort Cross Trainer, White/Black/Silver, 10.5",191,274,,,104.39,$ 112.34,AF4GO035LHAA2,1.0,B07YZNJ4K6,0194182875072,194182875072,B093XKL7WZ,New Balance,yes,GB194182875072,https://www.google.com/search?q=194182875072+New+Balance+Men%27s+608+V5+Casual+Comfort+Cross+Trainer%2C+White%2FBlack%2FSilver%2C+10.5&tbm=shop,https://www.amazon.com/dp/B07YZNJ4K6?psc=1,N,,,,,,,N
"New Balance Men's 608 V5 Casual Comfort Cross Trainer, Team Away Grey/Castlerock, 14 X-Wide",194,259,,,93.33,$ 92.21,AF4GO035LHAA2,1.0,B07F21DLR2,0192983452065,192983452065,B093XKL7WZ,New Balance,yes,GB192983452065,https://www.google.com/search?q=192983452065+New+Balance+Men%27s+608+V5+Casual+Comfort+Cross+Trainer%2C+Team+Away+Grey%2FCastlerock%2C+14+X-Wide&tbm=shop,https://www.amazon.com/dp/B07F21DLR2?psc=1,Y,"https://www.google.com/shopping/product/6222448170737564522/offers?q=192983452065&prds=cid:6222448170737564522,cond:1",Kohl's,79.99,135.98,151.18,,N
"New Balance Women's Fresh Foam Roav V1 Running Shoe, Night Tide/Blue, 8.5",335,596,,,,,-,,B093QL6WWT,0195907563144,195907563144,B089S7TS2F,New Balance,yes,GB195907563144,https://www.google.com/search?q=195907563144+New+Balance+Women%27s+Fresh+Foam+Roav+V1+Running+Shoe%2C+Night+Tide%2FBlue%2C+8.5&tbm=shop,https://www.amazon.com/dp/B093QL6WWT?psc=1,Y,"https://www.google.com/shopping/product/1343744886360012007/offers?q=195907563144&prds=cid:1343744886360012007,cond:1",Zappos.com,84.95,144.41,160.56,160.56,Y
"New Balance Women's Fresh Foam Roav V1 Running Shoe, Black/Green/White, 8.5 Wide",339,597,,,,,-,,B096NDTC3Q,0196071176925,196071176925,B089S7TS2F,New Balance,yes,GB196071176925,https://www.google.com/search?q=196071176925+New+Balance+Women%27s+Fresh+Foam+Roav+V1+Running+Shoe%2C+Black%2FGreen%2FWhite%2C+8.5+Wide&tbm=shop,https://www.amazon.com/dp/B096NDTC3Q?psc=1,Y,"https://www.google.com/shopping/product/319882378204733106/offers?q=196071176925&prds=cid:319882378204733106,cond:1",Kohl's,69.99,118.98,132.28,132.28,Y
"New Balance Men's 608 V5 Casual Comfort Cross Trainer, White/Navy/Red, 12",193,270,,,,,-,,B08CZZNXV4,0194768210136,194768210136,B093XKL7WZ,New Balance,no,GB194768210136,https://www.google.com/search?q=194768210136+New+Balance+Men%27s+608+V5+Casual+Comfort+Cross+Trainer%2C+White%2FNavy%2FRed%2C+12&tbm=shop,https://www.amazon.com/dp/B08CZZNXV4?psc=1,Y,"https://www.google.com/shopping/product/15888048326742949868/offers?q=194768210136&prds=cid:15888048326742949868,cond:1",Not Found,,,,,N
