Title,Sales Rank: 30 days avg.,Sales Rank: 90 days avg.,Buy Box: Current,Buy Box: Stock,New: Current,"New, 3rd Party FBM 🚚: 30 days avg.",Lowest FBM Seller,"Count of retrieved live offers: New, FBM",ASIN,Product Codes: EAN,Product Codes: UPC,Parent ASIN,Brand,Prime Eligible (Buy Box),Custom_SKU,Google_Search_Link,Amazon_link,Match,Extraction_Link,Store,Price,Min Price,Max Price,Amazon_List_price,Can_List
"New Balance Men's 608 V5 Casual Comfort Cross Trainer, White/Black/Silver, 11.5 X-Wide",172,263,,,103.39,$112.24 ,AF4GO035LHAA2,1.0,B07YZNNSCF,194182875485,194182875485,B093XKL7WZ,New Balance,no,GB194182875485,https://www.google.com/search?q=194182875485+New+Balance+Men%27s+608+V5+Casual+Comfort+Cross+Trainer%2C+White%2FBlack%2FSilver%2C+11.5+X-Wide&tbm=shop,https://www.amazon.com/dp/B07YZNNSCF?psc=1,Y,"https://www.google.com/shopping/product/15708578933164586921/offers?q=194182875485&prds=cid:15708578933164586921,cond:1",Kohl's,79.99,135.98,151.18,,N
"New Balance Men's 608 V5 Casual Comfort Cross Trainer, White/Black/Silver, 9.5",177,265,116.67,2.0,108.72,$120.68 ,AF4GO035LHAA2,1.0,B07YZRSRW9,194182875058,194182875058,B093XKL7WZ,New Balance,no,GB194182875058,https://www.google.com/search?q=194182875058+New+Balance+Men%27s+608+V5+Casual+Comfort+Cross+Trainer%2C+White%2FBlack%2FSilver%2C+9.5&tbm=shop,https://www.amazon.com/dp/B07YZRSRW9?psc=1,Y,"https://www.google.com/shopping/product/6084824764254171725/offers?q=194182875058&prds=cid:6084824764254171725,cond:1",Peltz Shoes,84.95,144.41,160.56,,N
"New Balance Men's 608 V5 Casual Comfort Cross Trainer, White/Black/Silver, 8.5 X-Wide",172,263,,,101.07,$109.19 ,AF4GO035LHAA2,1.0,B07YZQCZVH,194182875423,194182875423,B093XKL7WZ,New Balance,no,GB194182875423,https://www.google.com/search?q=194182875423+New+Balance+Men%27s+608+V5+Casual+Comfort+Cross+Trainer%2C+White%2FBlack%2FSilver%2C+8.5+X-Wide&tbm=shop,https://www.amazon.com/dp/B07YZQCZVH?psc=1,N,Not Found,Not Found,,,,,N
"New Balance Men's 608 V5 Casual Comfort Cross Trainer, White/Navy, 14 XX-Wide",177,264,,,,,-,,B0BPN4DH89,196941576107,196941576107,B093XKL7WZ,New Balance,yes,GB196941576107,https://www.google.com/search?q=196941576107+New+Balance+Men%27s+608+V5+Casual+Comfort+Cross+Trainer%2C+White%2FNavy%2C+14+XX-Wide&tbm=shop,https://www.amazon.com/dp/B0BPN4DH89?psc=1,N,Not Found,Not Found,,,,,N
"New Balance Men's 608 V5 Casual Comfort Cross Trainer, White/Black/Silver, 8",173,263,,,98.3,$115.57 ,-,1.0,B07YZRKYTC,194182875027,194182875027,B093XKL7WZ,New Balance,no,GB194182875027,https://www.google.com/search?q=194182875027+New+Balance+Men%27s+608+V5+Casual+Comfort+Cross+Trainer%2C+White%2FBlack%2FSilver%2C+8&tbm=shop,https://www.amazon.com/dp/B07YZRKYTC?psc=1,Y,"https://www.google.com/shopping/product/6084824764254171725/offers?q=194182875027&prds=cid:6084824764254171725,cond:1",Peltz Shoes,84.95,144.41,160.56,,N
"New Balance Men's 608 V5 Casual Comfort Cross Trainer, White/Navy, 11 XX-Wide",177,264,,,,,-,,B0BPN1246H,196941576053,196941576053,B093XKL7WZ,New Balance,yes,GB196941576053,https://www.google.com/search?q=196941576053+New+Balance+Men%27s+608+V5+Casual+Comfort+Cross+Trainer%2C+White%2FNavy%2C+11+XX-Wide&tbm=shop,https://www.amazon.com/dp/B0BPN1246H?psc=1,Y,"https://www.google.com/shopping/product/5976872976123764786/offers?q=196941576053&prds=cid:5976872976123764786,cond:1",New Balance,69.94,118.9,132.19,132.19,Y
"New Balance Men's 608 V5 Casual Comfort Cross Trainer, White/Black/Silver, 13",176,260,,,101.13,$110.30 ,AF4GO035LHAA2,1.0,B07YZPNXG3,194182875126,194182875126,B093XKL7WZ,New Balance,yes,GB194182875126,https://www.google.com/search?q=194182875126+New+Balance+Men%27s+608+V5+Casual+Comfort+Cross+Trainer%2C+White%2FBlack%2FSilver%2C+13&tbm=shop,https://www.amazon.com/dp/B07YZPNXG3?psc=1,Y,"https://www.google.com/shopping/product/15888048326742949868/offers?q=194182875126&prds=cid:15888048326742949868,cond:1",Not Found,,,,,N
"New Balance Men's 608 V5 Casual Comfort Cross Trainer, Grey Dark, 15",174,260,74.95,13.0,74.95,$74.95 ,A1BNXE6U3W2NOH,1.0,B089DBTMQN,194768277504,194768277504,B093XKL7WZ,New Balance,no,GB194768277504,https://www.google.com/search?q=194768277504+New+Balance+Men%27s+608+V5+Casual+Comfort+Cross+Trainer%2C+Grey+Dark%2C+15&tbm=shop,https://www.amazon.com/dp/B089DBTMQN?psc=1,Y,"https://www.google.com/shopping/product/6084824764254171725/offers?q=194768277504&prds=cid:6084824764254171725,cond:1",Peltz Shoes,84.95,144.41,160.56,,N
"New Balance Men's 608 V5 Casual Comfort Cross Trainer, White/Navy, 13 XX-Wide",177,267,,,,,-,,B0BPN65YSR,196941576091,196941576091,B093XKL7WZ,New Balance,yes,GB196941576091,https://www.google.com/search?q=196941576091+New+Balance+Men%27s+608+V5+Casual+Comfort+Cross+Trainer%2C+White%2FNavy%2C+13+XX-Wide&tbm=shop,https://www.amazon.com/dp/B0BPN65YSR?psc=1,Y,"https://www.google.com/shopping/product/18073909829559129488/offers?q=196941576091&prds=cid:18073909829559129488,cond:1",New Balance,69.94,118.9,132.19,132.19,Y
"New Balance Men's 608 V5 Casual Comfort Cross Trainer, White/Black/Silver, 12 X-Wide",174,259,142.38,2.0,134.43,$142.38 ,AF4GO035LHAA2,1.0,B07YZNHKS6,194182875492,194182875492,B093XKL7WZ,New Balance,no,GB194182875492,https://www.google.com/search?q=194182875492+New+Balance+Men%27s+608+V5+Casual+Comfort+Cross+Trainer%2C+White%2FBlack%2FSilver%2C+12+X-Wide&tbm=shop,https://www.amazon.com/dp/B07YZNHKS6?psc=1,N,Not Found,Not Found,,,,,N
