Title,Sales Rank: 30 days avg.,Sales Rank: 90 days avg.,Buy Box: Current,Buy Box: Stock,New: Current,New: Highest,"New, 3rd Party FBM 🚚: 30 days avg.",Lowest FBM Seller,"Count of retrieved live offers: New, FBM",ASIN,Product Codes: EAN,Product Codes: UPC,Parent ASIN,Brand,Prime Eligible (Buy Box),Custom_SKU,Google_Search_Link,Match,Amazon_link,Extraction_Link,Store,Price,Min Price,Max Price,Amazon_List_price,Can_List
"Steve Madden Women's Hadyn Sandal, Light Green Leather, 9",283423.0,283423.0,,,121.14,$121.14 ,$121.14 ,A1195MQ583AB5O,1.0,B0C5S582GH,0197369613719,197369613719,B0CYLZYHCZ,Steve Madden,no,GB197369613719,https://www.google.com/search?q=197369613719+Steve+Madden+Women%27s+Hadyn+Sandal%2C+Light+Green+Leather%2C+9&tbm=shop,Y,https://www.amazon.com/dp/B0C5S582GH?psc=1,"https://www.google.com/shopping/product/428968790038274369/offers?q=197369613719&prds=cid:428968790038274369,cond:1",Zappos.com,69.95,118.92,132.21,120.14,Y
"Steve Madden Women's Hadyn Sandal, Light Green Leather, 7.5",324871.0,324871.0,,,121.14,$121.14 ,$121.14 ,A1195MQ583AB5O,1.0,B0C5S4PZ94,0197369613658,197369613658,B0CYLZYHCZ,Steve Madden,no,GB197369613658,https://www.google.com/search?q=197369613658+Steve+Madden+Women%27s+Hadyn+Sandal%2C+Light+Green+Leather%2C+7.5&tbm=shop,Y,https://www.amazon.com/dp/B0C5S4PZ94?psc=1,"https://www.google.com/shopping/product/7262752575592804270/offers?q=197369613658&prds=cid:7262752575592804270,cond:1",Zappos.com,69.95,118.92,132.21,120.14,Y
"Steve Madden Women's Possession Sneaker, Black Multi, 6.5",4460.0,3967.0,68.99,6.0,68.99,$104.95 ,,-,0.0,B0BMJH6DFG,0196829420331,196829420331,B0CFG8SG2Z,Steve Madden,yes,GB196829420331,https://www.google.com/search?q=196829420331+Steve+Madden+Women%27s+Possession+Sneaker%2C+Black+Multi%2C+6.5&tbm=shop,Y,https://www.amazon.com/dp/B0BMJH6DFG?psc=1,"https://www.google.com/shopping/product/13066187186077318607/offers?q=196829420331&prds=cid:13066187186077318607,cond:1",6pm.com,39.99,67.98,75.58,67.99,Y
"Steve Madden Women's Possession Sneaker, Black Multi, 8",4685.0,4035.0,99.95,25.0,99.95,$104.95 ,,-,0.0,B0BMJRYDVK,0196829420362,196829420362,B0CFG8SG2Z,Steve Madden,yes,GB196829420362,https://www.google.com/search?q=196829420362+Steve+Madden+Women%27s+Possession+Sneaker%2C+Black+Multi%2C+8&tbm=shop,Y,https://www.amazon.com/dp/B0BMJRYDVK?psc=1,"https://www.google.com/shopping/product/13066187186077318607/offers?q=196829420362&prds=cid:13066187186077318607,cond:1",6pm.com,39.99,67.98,75.58,98.95,Y
"Steve Madden Women's Possession Sneaker, Lilac, 9.5",4608.0,4003.0,99.95,1.0,99.95,$99.95 ,$99.95 ,-,0.0,B0B6GQM3J3,0196829359167,196829359167,B0CFG8SG2Z,Steve Madden,yes,GB196829359167,https://www.google.com/search?q=196829359167+Steve+Madden+Women%27s+Possession+Sneaker%2C+Lilac%2C+9.5&tbm=shop,Y,https://www.amazon.com/dp/B0B6GQM3J3?psc=1,"https://www.google.com/shopping/product/13066187186077318607/offers?q=196829359167&prds=cid:13066187186077318607,cond:1",6pm.com,39.99,67.98,75.58,98.95,Y
"Steve Madden Women's Possession Sneaker, Black Multi, 9",4639.0,4033.0,99.95,7.0,99.95,$127.95 ,,-,0.0,B0BMJ61R2W,0196829420386,196829420386,B0CFG8SG2Z,Steve Madden,yes,GB196829420386,https://www.google.com/search?q=196829420386+Steve+Madden+Women%27s+Possession+Sneaker%2C+Black+Multi%2C+9&tbm=shop,Y,https://www.amazon.com/dp/B0BMJ61R2W?psc=1,"https://www.google.com/shopping/product/13066187186077318607/offers?q=196829420386&prds=cid:13066187186077318607,cond:1",6pm.com,39.99,67.98,75.58,98.95,Y
"Steve Madden Women's Possession Sneaker, Black, 9.5",4690.0,4082.0,,,,$188.00 ,$99.44 ,-,,B09GWD2VDH,0195945873762,195945873762,B0CFG8SG2Z,Steve Madden,yes,GB195945873762,https://www.google.com/search?q=195945873762+Steve+Madden+Women%27s+Possession+Sneaker%2C+Black%2C+9.5&tbm=shop,Y,https://www.amazon.com/dp/B09GWD2VDH?psc=1,"https://www.google.com/shopping/product/14487886541932180104/offers?q=195945873762&prds=cid:14487886541932180104,cond:1",Steve Madden,109.95,186.91,207.81,207.81,Y
"Steve Madden Women's Possession Sneaker, Black Multi, 7.5",4731.0,4058.0,99.95,3.0,99.95,$99.96 ,,-,0.0,B0BMJHVQ6M,0196829420355,196829420355,B0CFG8SG2Z,Steve Madden,yes,GB196829420355,https://www.google.com/search?q=196829420355+Steve+Madden+Women%27s+Possession+Sneaker%2C+Black+Multi%2C+7.5&tbm=shop,Y,https://www.amazon.com/dp/B0BMJHVQ6M?psc=1,"https://www.google.com/shopping/product/13066187186077318607/offers?q=196829420355&prds=cid:13066187186077318607,cond:1",6pm.com,39.99,67.98,75.58,98.95,Y
"Sneakers, turquoise, 8.5 US",4655.0,4074.0,176.27,3.0,176.27,$179.47 ,$176.27 ,A35T3I43XUSHP7,1.0,B0C6CFW9VZ,0196361819136,196361819136,B0CFG8SG2Z,Steve Madden,no,GB196361819136,https://www.google.com/search?q=196361819136+Sneakers%2C+turquoise%2C+8.5+US&tbm=shop,Y,https://www.amazon.com/dp/B0C6CFW9VZ?psc=1,"https://www.google.com/shopping/product/7934772901310052528/offers?q=196361819136&prds=cid:7934772901310052528,cond:1",Walmart,49.98,84.97,94.46,175.27,Y
"Steve Madden Maxima Sneakers Women Lace Up Rhinestone Chunky Low Top Knit Runner (White/Silver, 6)",8226.0,7518.0,,,99.95,$99.99 ,$73.08 ,A1G9RBEK6CB71F,1.0,B0B53JYJ38,0196361639680,196361639680,B08YZ1SM97,Steve Madden,yes,GB196361639680,https://www.google.com/search?q=196361639680+Steve+Madden+Maxima+Sneakers+Women+Lace+Up+Rhinestone+Chunky+Low+Top+Knit+Runner+%28White%2FSilver%2C+6%29&tbm=shop,Y,https://www.amazon.com/dp/B0B53JYJ38?psc=1,"https://www.google.com/shopping/product/9739411991693552592/offers?q=196361639680&prds=cid:9739411991693552592,cond:1",Steve Madden,51.98,88.37,98.24,98.95,Y
