Title,Sales Rank: 30 days avg.,Sales Rank: 90 days avg.,Buy Box 🚚: Current,Buy Box 🚚: Stock,New: Current,New: Highest,"New, 3rd Party FBM 🚚: 30 days avg.",Lowest FBM Seller,"Count of retrieved live offers: New, FBM",ASIN,Product Codes: EAN,Product Codes: UPC,Parent ASIN,Brand,Prime Eligible (Buy Box),Buy Box: Current,Buy Box: Stock,Match,Custom_SKU,Google_Search_Link,Amazon_link,Extraction_Link,Store,Price,Min Price,Max Price,Amazon_List_price,Can_List
"Tory Burch Women's Miller Patent Thong Sandal, Black, 9 Medium US",39338,51055,,,229.99,$ 406.99,$ 337.18,ANZYNJW9IIF9C,1.0,B00HG3EWMQ,0884089308512,884089308512,B07BHJGWD5,Tory Burch,yes,,,N,GB884089308512,https://www.google.com/search?q=884089308512+Tory+Burch+Women%27s+Miller+Patent+Thong+Sandal%2C+Black%2C+9+Medium+US&tbm=shop,https://www.amazon.com/dp/B00HG3EWMQ?psc=1,Not Found,Not Found,,,,,N
"Tory Burch Women's Miller Sandals, Vintage Vachetta, Brown, Tan, 9 Medium US",39093,50674,$ 198.00,1.0,198.0,$ 406.99,$ 333.57,ANZYNJW9IIF9C,1.0,B00LC4QT44,0888736088574,888736088574,B07BHJGWD5,Tory Burch,yes,,,Y,GB888736088574,https://www.google.com/search?q=888736088574+Tory+Burch+Women%27s+Miller+Sandals%2C+Vintage+Vachetta%2C+Brown%2C+Tan%2C+9+Medium+US&tbm=shop,https://www.amazon.com/dp/B00LC4QT44?psc=1,"https://www.google.com/shopping/product/5874797408129310466/offers?q=888736088574&prds=cid:5874797408129310466,cond:1",BHFO,193.99,329.78,366.64,,N
"Tory Burch Women's Miller Sandals, Petunia, Pink, 9.5 Medium US",39398,50861,$ 198.00,1.0,198.0,$ 198.00,$ 198.00,A3AQGBEJ7K4ZZ8,1.0,B0BCL5T89F,0196133580219,196133580219,B07BHJGWD5,Tory Burch,no,,,Y,GB196133580219,https://www.google.com/search?q=196133580219+Tory+Burch+Women%27s+Miller+Sandals%2C+Petunia%2C+Pink%2C+9.5+Medium+US&tbm=shop,https://www.amazon.com/dp/B0BCL5T89F?psc=1,"https://www.google.com/shopping/product/3141183513733199323/offers?q=196133580219&prds=cid:3141183513733199323,cond:1",Not Found,,,,,N
"Tory Burch Women's Miller Sandals, Vintage Vachetta, Brown, Tan, 6 Medium US",39191,50358,$ 198.00,17.0,198.0,$ 461.99,,-,0.0,B00LC4QIYA,0888736088512,888736088512,B07BHJGWD5,Tory Burch,yes,,,Y,GB888736088512,https://www.google.com/search?q=888736088512+Tory+Burch+Women%27s+Miller+Sandals%2C+Vintage+Vachetta%2C+Brown%2C+Tan%2C+6+Medium+US&tbm=shop,https://www.amazon.com/dp/B00LC4QIYA?psc=1,"https://www.google.com/shopping/product/6599022376082889560/offers?q=888736088512&prds=cid:6599022376082889560,cond:1",Sears - BHFO,195.94,333.1,370.33,,N
"Tory Burch Women's Miller Patent Thong Sandal, Black, 8.5 Medium US",40766,51178,$ 198.00,3.0,190.89,$ 406.99,$ 325.65,A3QFDCCY1NEHXW,2.0,B00DYXO132,0884089308574,884089308574,B07BHJGWD5,Tory Burch,yes,,,Y,GB884089308574,https://www.google.com/search?q=884089308574+Tory+Burch+Women%27s+Miller+Patent+Thong+Sandal%2C+Black%2C+8.5+Medium+US&tbm=shop,https://www.amazon.com/dp/B00DYXO132?psc=1,"https://www.google.com/shopping/product/1934285229632251723/offers?q=884089308574&prds=cid:1934285229632251723,cond:1",BHFO,192.99,328.08,364.75,,N
"Tory Burch Women's Miller Sandals, Seashell Pink, 5.5 Medium US",40573,51340,$ 198.00,2.0,198.0,$ 198.00,,-,0.0,B0BY3ZK6LC,0196133799727,196133799727,B07BHJGWD5,Tory Burch,yes,,,Y,GB196133799727,https://www.google.com/search?q=196133799727+Tory+Burch+Women%27s+Miller+Sandals%2C+Seashell+Pink%2C+5.5+Medium+US&tbm=shop,https://www.amazon.com/dp/B0BY3ZK6LC?psc=1,"https://www.google.com/shopping/product/5787123615880606319/offers?q=196133799727&prds=cid:5787123615880606319,cond:1",Bloomingdale's,198.0,336.6,374.22,,N
"Tory Burch Women's Miller Sandals, Merlot, Purple, 8 Medium US",39085,50840,$ 209.99,2.0,209.99,$ 238.00,$ 253.77,-,0.0,B0BW2SQ3SX,0196133790328,196133790328,B07BHJGWD5,Tory Burch,yes,,,Y,GB196133790328,https://www.google.com/search?q=196133790328+Tory+Burch+Women%27s+Miller+Sandals%2C+Merlot%2C+Purple%2C+8+Medium+US&tbm=shop,https://www.amazon.com/dp/B0BW2SQ3SX?psc=1,"https://www.google.com/shopping/product/14692376224448332739/offers?q=196133790328&prds=cid:14692376224448332739,cond:1",Zappos.com,170.69,290.17,322.6,,N
"Tory Burch Women's Miller Thong Sandals, Spark Gold, 6 Medium US",44258,54393,$ 198.00,1.0,198.0,$ 368.49,,-,0.0,B01LZBCZWV,0190041344420,190041344420,B07BHJGWD5,Tory Burch,yes,,,N,GB190041344420,https://www.google.com/search?q=190041344420+Tory+Burch+Women%27s+Miller+Thong+Sandals%2C+Spark+Gold%2C+6+Medium+US&tbm=shop,https://www.amazon.com/dp/B01LZBCZWV?psc=1,Not Found,Not Found,,,,,N
"Tory Burch Women's Miller Sandals, Argento, Silver, Metallic, 5 Medium US",40941,52352,$ 198.00,2.0,198.0,$ 198.00,,-,0.0,B0BW2L464M,0196133790137,196133790137,B07BHJGWD5,Tory Burch,yes,,,Y,GB196133790137,https://www.google.com/search?q=196133790137+Tory+Burch+Women%27s+Miller+Sandals%2C+Argento%2C+Silver%2C+Metallic%2C+5+Medium+US&tbm=shop,https://www.amazon.com/dp/B0BW2L464M?psc=1,"https://www.google.com/shopping/product/5947395177945432149/offers?q=196133790137&prds=cid:5947395177945432149,cond:1",Zappos.com,158.5,269.45,299.56,,N
"Tory Burch Women's Miller Sandals, Bright Rainbow/Royal Navy, Blue, Stripe, 7.5 Medium US",39889,52902,$ 253.88,2.0,238.0,$ 337.18,$ 253.88,A22XJXTXTCFKGS,1.0,B07XW81SJM,0192485323719,192485323719,B07BHJGWD5,Tory Burch,no,,,N,GB192485323719,https://www.google.com/search?q=192485323719+Tory+Burch+Women%27s+Miller+Sandals%2C+Bright+Rainbow%2FRoyal+Navy%2C+Blue%2C+Stripe%2C+7.5+Medium+US&tbm=shop,https://www.amazon.com/dp/B07XW81SJM?psc=1,Not Found,Not Found,,,,,N
